RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,27770,Camilo Villegas,5.26%,6,114,+0.33
2,0,30927,Brendon Todd,5.05%,10,198,+0.20
3,0,22371,Aaron Baddeley,4.11%,6,146,+0.17
4,0,29478,Kevin Kisner,3.70%,4,108,+0.50
5,0,36326,David Lipsky,3.62%,5,138,+0.80
6,0,47806,Raul Pereda,3.19%,3,94,+1.00
7,0,47993,Denny McCarthy,2.87%,5,174,+0.60
8,0,55789,Taylor Montgomery,2.78%,3,108,+0.67
9,0,25900,Lucas Glover,2.69%,5,186,+0.20
10,0,34256,Andrew Putnam,2.53%,4,158,+0.25
11,0,40058,Zac Blair,2.44%,4,164,+0.25
12,0,51997,Andrew Novak,2.41%,4,166,+0.25
13,0,47483,Will Zalatoris,2.27%,3,132,+0.33
14,0,27936,Martin Laird,2.08%,3,144,-0.33
14,0,36871,Matt NeSmith,2.08%,3,144,+0.33
14,0,33968,ThorbjÃ¸rn Olesen,2.08%,2,96,+0.50
17,0,46340,Alex Smalley,2.03%,3,148,+0.67
18,0,48084,Wesley Bryan,2.00%,2,100,E
18,0,37275,Sam Ryder,2.00%,3,150,+0.67
20,0,35532,Tom Hoge,1.98%,4,202,+0.25
21,0,30926,Chris Kirk,1.95%,3,154,+0.67
22,0,39977,Max Homa,1.90%,3,158,+0.33
23,0,50095,Austin Smotherman,1.89%,2,106,E
24,0,39324,J.J. Spaun,1.88%,3,160,E
25,0,52374,Brandon Wu,1.85%,3,162,+0.33
26,0,27139,David Skinns,1.83%,3,164,E
27,0,27649,Brandt Snedeker,1.72%,2,116,+1.00
28,0,46113,Ryan McCormick,1.64%,2,122,E
29,0,46442,Maverick McNealy,1.63%,3,184,+0.67
30,0,32757,Patton Kizzire,1.61%,2,124,-0.50
30,0,48119,Ben Taylor,1.61%,2,124,+2.00
32,0,33486,Roger Sloan,1.52%,2,132,+0.50
33,0,48319,Tom Whitney,1.47%,2,136,E
34,0,45609,Tyler Duncan,1.43%,2,140,+1.00
34,0,50188,S.H. Kim,1.43%,3,210,E
34,0,48699,Callum Tarren,1.43%,2,140,+0.50
37,0,40098,Matt Fitzpatrick,1.41%,2,142,E
38,0,47591,Eric Cole,1.40%,3,214,+0.67
39,0,26596,Ryan Moore,1.39%,2,144,+1.00
39,0,47679,Victor Perez,1.39%,2,144,+1.00
41,0,23108,Matt Kuchar,1.37%,2,146,+1.00
42,0,32640,Troy Merritt,1.35%,2,148,E
43,0,40026,Daniel Berger,1.32%,2,152,+1.00
44,0,32102,Rickie Fowler,1.30%,2,154,-0.50
45,0,55182,Tom Kim,1.27%,2,158,+0.50
46,0,54783,Dylan Wu,1.25%,2,160,+1.00
47,0,57366,Cameron Young,1.23%,2,162,+0.50
48,0,51287,Ryo Hisatsune,1.19%,2,168,E
48,0,23320,Ryan Palmer,1.19%,1,84,E
50,0,56630,Akshay Bhatia,1.16%,2,172,+1.00
51,0,39971,Sungjae Im,1.15%,2,174,+0.50
52,0,37455,Si Woo Kim,1.14%,2,176,+1.00
53,0,54628,Lee Hodges,1.10%,2,182,E
54,0,51634,Sahith Theegala,1.08%,2,186,-0.50
55,0,29535,Brice Garnett,1.04%,1,96,+2.00
56,0,32367,Jorge Campillo,.96%,1,104,E
56,0,60767,Blaine Hale Jr.,.96%,1,104,E
56,0,27330,Josh Teater,.96%,1,104,E
59,0,54591,Ben Griffin,.89%,2,224,+1.50
60,0,32070,Rafael Campos,.83%,1,120,+1.00
61,0,22405,Justin Rose,.82%,1,122,E
62,0,47663,Kevin Dougherty,.81%,1,124,+1.00
63,0,35450,Patrick Cantlay,.77%,1,130,-1.00
64,0,37378,Min Woo Lee,.76%,1,132,+1.00
65,0,33448,Justin Thomas,.75%,1,134,E
66,0,52514,Trace Crowe,.74%,1,136,E
66,0,26476,Chez Reavie,.74%,1,136,+1.00
68,0,28237,Rory McIlroy,.72%,1,138,+1.00
68,0,27214,Kevin Streelman,.72%,1,138,E
68,0,38991,Alejandro Tosti,.72%,1,138,+2.00
71,0,60067,Joe Highsmith,.71%,1,140,+3.00
72,0,30911,Tommy Fleetwood,.70%,1,142,E
72,0,46046,Scottie Scheffler,.70%,1,142,E
74,0,35310,Lanto Griffin,.69%,1,144,E
74,0,52215,Robert MacIntyre,.69%,1,144,+1.00
74,0,59143,Mac Meissner,.69%,1,144,+1.00
77,0,50497,Adrien Dumont de Chassart,.68%,1,148,E
77,0,34098,Russell Henley,.68%,1,146,-1.00
77,0,50493,Justin Suh,.68%,1,148,+1.00
80,0,33408,Tyson Alexander,.67%,1,150,E
