RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,28780,Nicholas Thompson,98' 10",98.833,1
2,0,28158,Steve Marino,85' 1",85.083,1
3,0,20634,Peter Lonard,77' 9",77.750,1
4,0,25345,Carl Pettersson,69' 0",69.000,1
5,0,24227,Justin Bolli,61' 6",61.500,1
6,0,24024,Zach Johnson,60' 0",60.000,1
7,0,22378,Trevor Immelman,59' 2",59.167,1
7,0,27770,Camilo Villegas,59' 2",59.167,1
9,0,25842,Jon Mills,58' 5",58.417,1
10,0,06621,Joe Durant,58' 2",174.417,3
11,0,12826,Paul Claxton,57' 3",57.250,1
12,0,26289,Boo Weekley,55' 4",55.333,1
13,0,08931,Glen Day,55' 3",110.500,2
14,0,08845,Scott Sterling,53' 10",107.583,2
15,0,22293,Heath Slocum,53' 1",53.083,1
16,0,07457,Steve Flesch,52' 3",156.833,3
17,0,20572,Rod Pampling,52' 0",52.000,1
18,0,10885,Robert Allenby,51' 1",102.083,2
19,0,12680,Shigeki Maruyama,50' 5",100.833,2
20,0,01941,Tom Pernice Jr.,49' 8",49.667,1
21,0,24912,Will MacKenzie,49' 4",98.667,2
22,0,20229,Stewart Cink,48' 11",48.917,1
23,0,12602,Dean Wilson,48' 0",96.000,2
24,0,10809,Jim Furyk,47' 5",47.417,1
25,0,01724,Jeff Maggert,46' 10",140.500,3
26,0,23541,Ben Crane,46' 8",46.667,1
27,0,12652,Cameron Beckman,46' 5",46.417,1
28,0,27963,Chris Stroud,45' 8",91.333,2
29,0,12823,Carlos Franco,45' 4",45.333,1
30,0,21878,Mark Wilson,44' 3",44.250,1
31,0,23718,Nathan Green,43' 8",43.667,1
32,0,23497,Tag Ridings,43' 6",43.500,1
33,0,30750,Tommy Gainey,43' 5",86.750,2
34,0,25396,Kevin Na,43' 3",86.500,2
35,0,25900,Lucas Glover,42' 8",42.667,1
36,0,20160,Charlie Wi,41' 8",83.333,2
37,0,06522,Ernie Els,41' 3",41.250,1
38,0,20098,Stuart Appleby,41' 1",41.083,1
39,0,24490,George McNeill,40' 7",40.583,1
40,0,01766,Billy Mayfair,40' 3",80.417,2
41,0,19803,Ryan Armour,40' 2",80.250,2
42,0,20378,Mathias Grönberg,40' 1",120.333,3
43,0,26679,Kevin Stadler,39' 1",195.583,5
44,0,23621,Rory Sabbatini,38' 9",77.500,2
45,0,24924,Bill Haas,38' 8",38.667,1
46,0,25349,Tim Wilkinson,38' 5",38.417,1
47,0,27933,John Merrick,37' 6",74.917,2
48,0,12705,Cliff Kresge,37' 2",74.250,2
49,0,24781,Hunter Mahan,37' 1",74.167,2
50,0,23778,Brad Adamonis,36' 7",36.583,1
50,0,08537,J.P. Hayes,36' 7",36.583,1
52,0,21805,Harrison Frazar,36' 6",145.833,4
53,0,06573,Brandt Jobe,36' 3",36.250,1
54,0,21753,Brian Davis,36' 2",72.250,2
55,0,23048,Eric Axley,36' 1",36.083,1
56,0,24358,Robert Garrigus,35' 5",141.667,4
57,0,20443,Jin Park,34' 9",34.750,1
58,0,20472,Alex Cejka,34' 5",34.417,1
58,0,22046,Geoff Ogilvy,34' 5",34.417,1
60,0,25190,Jeff Quinney,34' 1",34.083,1
61,0,08075,Jerry Kelly,33' 1",66.167,2
62,0,29718,Anthony Kim,32' 6",32.500,1
63,0,26596,Ryan Moore,31' 5",31.417,1
64,0,25364,Paul Casey,31' 2",31.167,1
65,0,01948,Tim Petrovic,31' 1",31.083,1
66,0,01313,Steve Elkington,30' 4",60.667,2
67,0,09011,David Duval,29' 10",29.833,1
68,0,02239,Scott Verplank,29' 4",29.333,1
69,0,20848,Ángel Cabrera,29' 1",29.083,1
70,0,06251,Chris DiMarco,28' 11",28.917,1
70,0,20104,Ken Duke,28' 11",57.750,2
72,0,26476,Chez Reavie,28' 4",85.000,3
73,0,01810,Phil Mickelson,27' 10",27.833,1
74,0,06197,Michael Allen,27' 7",27.583,1
75,0,10505,Shane Bertsch,24' 0",72.083,3
76,0,07867,Woody Austin,23' 3",23.250,1
77,0,02002,John Riegger,21' 8",21.667,1
78,0,10875,Todd Demsey,21' 5",42.833,2
79,0,27613,David Lutterus,19' 5",19.417,1
80,0,01024,Billy Andrade,15' 0",15.000,1
81,0,22913,John Rollins,13' 6",26.917,2
82,0,20433,Mark Hensby,13' 1",13.083,1
83,0,01473,Todd Hamilton,10' 1",10.083,1
84,0,20850,Daniel Chopra,9' 5",9.417,1
85,0,23788,D.J. Trahan,8' 2",8.167,1
86,0,12782,Tim Herron,5' 11",5.917,1
87,0,01161,Mark Calcavecchia,3' 11",3.917,1
