RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,24924,Bill Haas,2760,1,7
2,0,29221,Webb Simpson,2745,2,10,15
3,0,23983,Luke Donald,2567,1,13,193
4,0,30925,Dustin Johnson,2488,1,6,272
5,0,22405,Justin Rose,2253,1,5,507
6,0,23108,Matt Kuchar,1853,0,9,907
7,0,24781,Hunter Mahan,1800,0,9,960
8,0,27649,Brandt Snedeker,1668,1,7,1092
9,0,27095,Nick Watney,1420,2,9,1340
10,0,26476,Chez Reavie,1220,0,5,1540
11,0,24357,K.J. Choi,1207,1,8,1553
12,0,28089,Jason Day,1058,0,10,1702
13,0,20645,John Senden,1030,0,3,1730
14,0,22371,Aaron Baddeley,1007,1,5,1753
15,0,01810,Phil Mickelson,795,1,7,1965
16,0,24502,Adam Scott,778,1,7,1982
17,0,31323,Gary Woodland,773,1,6,1987
18,0,06527,Steve Stricker,740,2,5,2020
19,0,21961,Charles Howell III,708,0,7,2052
20,0,33141,Keegan Bradley,648,2,4,2112
20,0,02206,David Toms,648,1,7,2112
22,0,21878,Mark Wilson,620,2,4,2140
23,0,23623,Bo Van Pelt,610,0,5,2150
24,0,22046,Geoff Ogilvy,608,0,4,2152
25,0,25686,Jason Dufner,583,0,6,2177
26,0,25804,Bubba Watson,578,2,3,2182
27,0,24925,Jonathan Byrd,565,1,5,2195
28,0,06567,Vijay Singh,548,0,5,2212
29,0,21731,Freddie Jacobson,488,1,3,2272
30,0,24663,Y.E. Yang,440,0,5,2320
31,0,27936,Martin Laird,1589,1,6,3672
32,0,26331,Charl Schwartzel,1560,1,3,3701
33,0,27770,Camilo Villegas,1532,0,4,3729
34,0,30110,Kyle Stanley,1523,0,3,3738
35,0,23621,Rory Sabbatini,1493,1,3,3768
36,0,10809,Jim Furyk,1468,0,4,3793
37,0,26596,Ryan Moore,1465,0,4,3796
38,0,08075,Jerry Kelly,1450,0,4,3811
39,0,21753,Brian Davis,1438,0,2,3823
40,0,24024,Zach Johnson,1414,0,4,3847
41,0,12716,Charley Hoffman,1369,0,2,3892
42,0,30926,Chris Kirk,1332,1,4,3929
43,0,32102,Rickie Fowler,1323,0,4,3938
44,0,21209,Sergio Garcia,1317,0,3,3944
45,0,25900,Lucas Glover,1305,1,1,3956
46,0,19970,Robert Karlsson,1297,0,3,3964
47,0,27466,Spencer Levin,1287,0,4,3974
48,0,25345,Carl Pettersson,1284,0,4,3977
49,0,28158,Steve Marino,1262,0,3,3999
50,0,25632,Jimmy Walker,1252,0,4,4009
51,0,06573,Brandt Jobe,1238,0,4,4023
52,0,29518,Brendan Steele,1160,1,2,4101
