RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,19846,Brian Gay,45.71,650,1422
2,0,22371,Aaron Baddeley,45.37,539,1188
3,0,10423,Mike Weir,43.97,459,1044
4,0,20593,Greg Chalmers,43.61,573,1314
5,0,30926,Chris Kirk,43.51,697,1602
6,0,27649,Brandt Snedeker,42.76,608,1422
7,0,23325,Vaughn Taylor,42.75,354,828
8,0,20160,Charlie Wi,42.72,546,1278
9,0,25274,Steven Bowditch,42.48,497,1170
10,0,27895,Jonas Blixt,42.32,579,1368
11,0,01810,Phil Mickelson,42.31,594,1404
12,0,23800,Bryce Molder,42.08,606,1440
13,0,06004,Stephen Ames,42.06,371,882
14,0,34360,Patrick Reed,41.97,627,1494
15,0,23983,Luke Donald,41.86,437,1044
15,0,27963,Chris Stroud,41.86,663,1584
17,0,21731,Freddie Jacobson,41.85,452,1080
18,0,28089,Jason Day,41.74,601,1440
19,0,26758,David Hearn,41.73,661,1584
19,0,10860,Justin Leonard,41.73,646,1548
21,0,28259,Sangmoon Bae,41.63,622,1494
22,0,22792,Peter Hanson,41.60,322,774
23,0,25562,Andres Romero,41.53,441,1062
24,0,01320,Bob Estes,41.50,493,1188
25,0,21753,Brian Davis,41.45,679,1638
26,0,21961,Charles Howell III,41.44,634,1530
27,0,28237,Rory McIlroy,41.41,410,990
28,0,23409,James Driscoll,41.28,535,1296
29,0,34046,Jordan Spieth,41.19,608,1476
30,0,06527,Steve Stricker,41.13,348,846
31,0,23108,Matt Kuchar,41.06,643,1566
32,0,23541,Ben Crane,41.00,428,1044
33,0,32102,Rickie Fowler,40.99,546,1332
34,0,28475,Jeff Overton,40.95,575,1404
35,0,34409,David Lingmerth,40.93,501,1224
36,0,33461,Morgan Hoffmann,40.89,471,1152
37,0,35539,Luke Guthrie,40.79,602,1476
38,0,28307,Matt Every,40.76,653,1602
39,0,08793,Tiger Woods,40.74,440,1080
40,0,23320,Ryan Palmer,40.72,579,1422
41,0,30692,Scott Stallings,40.65,578,1422
42,0,22806,Doug LaBelle II,40.56,511,1260
43,0,24494,Erik Compton,40.54,540,1332
44,0,28500,Martin Flores,40.50,605,1494
44,0,26300,Matt Jones,40.50,605,1494
46,0,34099,Harris English,40.35,690,1710
47,0,25632,Jimmy Walker,40.34,610,1512
48,0,27644,Brian Harman,40.33,617,1530
49,0,28135,Aaron Watkins,40.28,319,792
50,0,21099,David Lynn,40.26,500,1242
51,0,08725,Tom Gillis,40.17,470,1170
52,0,30944,Jason Kokrak,40.10,563,1404
53,0,34098,Russell Henley,40.03,562,1404
54,0,12782,Tim Herron,40.00,324,810
54,0,20443,Jin Park,40.00,360,900
56,0,20098,Stuart Appleby,39.95,604,1512
57,0,24507,Jason Bohn,39.92,503,1260
58,0,28310,Lee Williams,39.91,431,1080
59,0,24227,Justin Bolli,39.80,394,990
59,0,23135,Tim Clark,39.80,437,1098
61,0,30711,Colt Knost,39.74,465,1170
62,0,27556,Ted Potter Jr.,39.71,436,1098
63,0,22295,Darron Stiles,39.68,350,882
63,0,26497,Casey Wittenberg,39.68,500,1260
65,0,20104,Ken Duke,39.66,621,1566
66,0,25834,Daniel Summerhays,39.63,592,1494
67,0,12716,Charley Hoffman,39.62,599,1512
68,0,28679,Fabián Gómez,39.57,463,1170
69,0,27770,Camilo Villegas,39.56,534,1350
70,0,35139,Richard Lee,39.54,548,1386
71,0,01724,Jeff Maggert,39.51,448,1134
