RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,0,25686,Jason Dufner,3,851,2
1,0,20104,Ken Duke,3,948,3
1,0,34099,Harris English,3,1030,2
1,0,28307,Matt Every,3,955,3
1,0,29740,Brad Fritsch,3,826,2
1,0,12716,Charley Hoffman,3,900,2
1,0,34174,John Huh,3,959,2
1,0,26289,Boo Weekley,3,1092,2
9,0,22371,Aaron Baddeley,2,694,2
9,0,27895,Jonas Blixt,2,834,1
9,0,29479,Scott Brown,2,686,1
9,0,23135,Tim Clark,2,674,0
9,0,23983,Luke Donald,2,626,2
9,0,10809,Jim Furyk,2,838,1
9,0,24924,Bill Haas,2,913,1
9,0,33461,Morgan Hoffmann,2,706,0
9,0,21961,Charles Howell III,2,914,1
9,0,24024,Zach Johnson,2,905,2
9,0,30711,Colt Knost,2,694,2
9,0,22806,Doug LaBelle II,2,757,2
9,0,26851,Marc Leishman,2,847,2
9,0,24490,George McNeill,2,742,2
9,0,25345,Carl Pettersson,2,870,0
9,0,25818,Scott Piercy,2,821,1
9,0,22913,John Rollins,2,784,2
9,0,34046,Jordan Spieth,2,892,2
9,0,26679,Kevin Stadler,2,852,2
9,0,27095,Nick Watney,2,921,2
9,0,25804,Bubba Watson,2,791,1
9,0,31323,Gary Woodland,2,975,2
31,0,10885,Robert Allenby,1,596,1
31,0,06004,Stephen Ames,1,532,0
31,0,28259,Sangmoon Bae,1,900,1
31,0,33141,Keegan Bradley,1,961,1
31,0,01116,Michael Bradley,1,554,1
31,0,32366,Kevin Chappell,1,854,1
31,0,20229,Stewart Cink,1,762,0
31,0,23452,Nicolas Colsaerts,1,515,0
31,0,23541,Ben Crane,1,635,1
31,0,21753,Brian Davis,1,978,1
31,0,23638,Brendon de Jonge,1,1192,1
31,0,28500,Martin Flores,1,898,1
31,0,32102,Rickie Fowler,1,809,1
31,0,30750,Tommy Gainey,1,920,1
31,0,24358,Robert Garrigus,1,686,0
31,0,32448,James Hahn,1,784,1
31,0,26758,David Hearn,1,949,1
31,0,31557,Jim Herman,1,600,0
31,0,12782,Tim Herron,1,486,1
31,0,25444,Justin Hicks,1,804,0
31,0,29420,Billy Horschel,1,1036,1
31,0,22378,Trevor Immelman,1,734,1
31,0,21731,Freddie Jacobson,1,662,0
31,0,06573,Brandt Jobe,1,632,1
31,0,30925,Dustin Johnson,1,769,1
31,0,08075,Jerry Kelly,1,808,1
31,0,36884,Ben Kohles,1,758,1
31,0,30944,Jason Kokrak,1,838,1
31,0,27936,Martin Laird,1,722,0
31,0,34261,Scott Langley,1,806,1
31,0,27120,Troy Matteson,1,703,1
31,0,25572,Graeme McDowell,1,538,1
31,0,28237,Rory McIlroy,1,590,1
31,0,33869,Eric Meierdierks,1,486,1
31,0,27933,John Merrick,1,854,1
31,0,01810,Phil Mickelson,1,844,0
31,0,26596,Ryan Moore,1,775,0
31,0,30163,Henrik Norlander,1,731,1
31,0,28475,Jeff Overton,1,837,0
31,0,20691,Greg Owen,1,766,0
31,0,24361,Pat Perez,1,731,1
31,0,25240,D.A. Points,1,938,0
31,0,24138,Ian Poulter,1,587,0
31,0,10213,Dicky Pride,1,726,1
31,0,26476,Chez Reavie,1,782,1
31,0,34360,Patrick Reed,1,903,1
31,0,29221,Webb Simpson,1,965,1
31,0,27649,Brandt Snedeker,1,855,1
31,0,30110,Kyle Stanley,1,767,0
31,0,33418,Shawn Stefani,1,684,1
31,0,06527,Steve Stricker,1,517,1
31,0,31560,Brian Stuard,1,794,1
31,0,27330,Josh Teater,1,875,0
31,0,28780,Nicholas Thompson,1,1068,1
31,0,02206,David Toms,1,470,1
31,0,33419,Cameron Tringale,1,852,1
31,0,27770,Camilo Villegas,1,810,1
31,0,26951,Johnson Wagner,1,645,1
31,0,28135,Aaron Watkins,1,474,0
31,0,20160,Charlie Wi,1,762,1
31,0,28310,Lee Williams,1,641,1
31,0,21878,Mark Wilson,1,567,1
