RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,28237,Rory McIlroy,16
2,0,47504,Sam Burns,15
3,0,49771,J.T. Poston,14
4,0,29725,Tony Finau,13
4,0,51977,Max Greyserman,13
4,0,34213,Grayson Murray,13
7,0,37212,Paul Barjon,12
7,0,56630,Akshay Bhatia,12
7,0,39997,Corey Conners,12
7,0,45157,Cam Davis,12
7,0,32791,K.H. Lee,12
7,0,25818,Scott Piercy,12
7,0,48119,Ben Taylor,12
14,0,59866,Nick Dunlap,11
14,0,55182,Tom Kim,11
14,0,37378,Min Woo Lee,11
14,0,51600,Jimmy Stanger,11
18,0,54576,Patrick Fishburn,10
18,0,29535,Brice Garnett,10
18,0,35310,Lanto Griffin,10
18,0,33399,Adam Hadwin,10
18,0,46717,Viktor Hovland,10
18,0,50188,S.H. Kim,10
18,0,40162,Justin Lower,10
18,0,36699,Patrick Rodgers,10
18,0,34046,Jordan Spieth,10
18,0,48699,Callum Tarren,10
18,0,31323,Gary Woodland,10
18,0,52374,Brandon Wu,10
18,0,45242,Kevin Yu,10
31,0,33141,Keegan Bradley,9
31,0,29268,Bronson Burgoon,9
31,0,35450,Patrick Cantlay,9
31,0,32366,Kevin Chappell,9
31,0,47591,Eric Cole,9
31,0,29420,Billy Horschel,9
31,0,36801,Mark Hubbard,9
31,0,39975,Michael Kim,9
31,0,37455,Si Woo Kim,9
31,0,52215,Robert MacIntyre,9
31,0,32839,Hideki Matsuyama,9
31,0,47993,Denny McCarthy,9
31,0,46442,Maverick McNealy,9
31,0,59143,Mac Meissner,9
31,0,50525,Collin Morikawa,9
31,0,30163,Henrik Norlander,9
31,0,55893,Sam Stevens,9
31,0,58168,Davis Thompson,9
31,0,27064,Jhonattan Vegas,9
50,0,52955,Ludvig Ãberg,8
50,0,34374,Erik Barnes,8
50,0,32367,Jorge Campillo,8
50,0,51766,Wyndham Clark,8
50,0,50497,Adrien Dumont de Chassart,8
50,0,34099,Harris English,8
50,0,40098,Matt Fitzpatrick,8
50,0,29936,Ryan Fox,8
50,0,52375,Doug Ghim,8
50,0,54591,Ben Griffin,8
50,0,34563,Chesson Hadley,8
50,0,57975,Harry Hall,8
50,0,27644,Brian Harman,8
50,0,51287,Ryo Hisatsune,8
50,0,52686,Rasmus Hojgaard,8
50,0,35461,Beau Hossler,8
50,0,35506,Mackenzie Hughes,8
50,0,39971,Sungjae Im,8
50,0,36799,Stephan Jaeger,8
50,0,46404,Marcus Kinhult,8
50,0,30926,Chris Kirk,8
50,0,29478,Kevin Kisner,8
50,0,36884,Ben Kohles,8
50,0,37446,Jacques Kruyswijk,8
50,0,39546,Keith Mitchell,8
50,0,26596,Ryan Moore,8
50,0,27349,Alex Noren,8
50,0,24140,Sean O'Hair,8
50,0,40250,Taylor Pendrith,8
50,0,46414,Aaron Rai,8
50,0,47983,Chad Ramey,8
50,0,46046,Scottie Scheffler,8
50,0,48867,Matti Schmid,8
50,0,24502,Adam Scott,8
50,0,63807,Neal Shipley,8
50,0,50095,Austin Smotherman,8
50,0,27214,Kevin Streelman,8
50,0,50493,Justin Suh,8
50,0,35314,Andy Sullivan,8
50,0,51634,Sahith Theegala,8
50,0,38991,Alejandro Tosti,8
50,0,40006,Erik van Rooyen,8
50,0,48640,Johannes Veerman,8
50,0,48887,Matt Wallace,8
50,0,51894,Vince Whaley,8
50,0,52513,Carson Young,8
50,0,47483,Will Zalatoris,8
97,0,33948,Byeong Hun An,7
97,0,64052,Angel Ayora,7
97,0,45522,Christiaan Bezuidenhout,7
97,0,60004,Jacob Bridgeman,7
97,0,48084,Wesley Bryan,7
97,0,24925,Jonathan Byrd,7
97,0,59442,Parker Coody,7
97,0,46435,Austin Cook,7
97,0,28089,Jason Day,7
97,0,33653,Thomas Detry,7
97,0,37338,Zecheng Dou,7
97,0,45609,Tyler Duncan,7
97,0,51349,Nico Echavarria,7
97,0,57362,Austin Eckroat,7
97,0,47079,Harrison Endycott,7
97,0,32102,Rickie Fowler,7
97,0,25900,Lucas Glover,7
97,0,59095,Chris Gotterup,7
97,0,47988,Nick Hardy,7
97,0,33597,Harry Higgs,7
97,0,49813,Daniel Hillier,7
97,0,54628,Lee Hodges,7
97,0,51696,Rico Hoey,7
97,0,35532,Tom Hoge,7
97,0,34587,Chan Kim,7
97,0,27129,Luke List,7
97,0,51950,Max McGreevy,7
97,0,32640,Troy Merritt,7
97,0,49947,Taylor Moore,7
97,0,57900,Chandler Phillips,7
97,0,22405,Justin Rose,7
97,0,37275,Sam Ryder,7
97,0,48081,Xander Schauffele,7
97,0,47888,Taiga Semikawa,7
97,0,51890,Greyson Sigg,7
97,0,39327,Ben Silverman,7
97,0,46340,Alex Smalley,7
97,0,39324,J.J. Spaun,7
97,0,49960,Sepp Straka,7
97,0,54783,Dylan Wu,7
97,0,57366,Cameron Young,7
138,0,33408,Tyson Alexander,6
138,0,22371,Aaron Baddeley,6
138,0,24846,Ricky Barnes,6
138,0,40026,Daniel Berger,6
138,0,34310,Alexander BjÃ¶rk,6
138,0,40058,Zac Blair,6
138,0,55708,Hayden Buckley,6
138,0,32070,Rafael Campos,6
138,0,34021,Bud Cauley,6
138,0,20229,Stewart Cink,6
138,0,66743,Luke Clanton,6
138,0,59836,Pierceson Coody,6
138,0,34076,Joel Dahmen,6
138,0,47663,Kevin Dougherty,6
138,0,28340,Julien Guerrier,6
138,0,24924,Bill Haas,6
138,0,32448,James Hahn,6
138,0,60767,Blaine Hale Jr.,6
138,0,54421,Garrick Higgo,6
138,0,60067,Joe Highsmith,6
138,0,60895,Kris Kim,6
138,0,48117,Kurt Kitayama,6
138,0,47420,Jake Knapp,6
138,0,23108,Matt Kuchar,6
138,0,27936,Martin Laird,6
138,0,37250,Romain Langasque,6
138,0,28775,Nate Lashley,6
138,0,45523,Thriston Lawrence,6
138,0,33204,Shane Lowry,6
138,0,46113,Ryan McCormick,6
138,0,29289,S.Y. Noh,6
138,0,51070,Vincent Norrman,6
138,0,51997,Andrew Novak,6
138,0,33968,ThorbjÃ¸rn Olesen,6
138,0,39262,Alvaro Ortiz,6
138,0,29908,C.T. Pan,6
138,0,30756,Andrea Pavan,6
138,0,28252,Seamus Power,6
138,0,26476,Chez Reavie,6
138,0,47995,Davis Riley,6
138,0,31242,Marcel Schneider,6
138,0,39113,Shubhankar Sharma,6
138,0,27139,David Skinns,6
138,0,27649,Brandt Snedeker,6
138,0,50484,Hayden Springer,6
138,0,40115,Adam Svensson,6
138,0,57364,Michael Thorbjornsen,6
138,0,30927,Brendon Todd,6
138,0,35617,Martin Trainer,6
138,0,52666,Sami Valimaki,6
138,0,54328,Norman Xiong,6
189,0,19803,Ryan Armour,5
189,0,47125,Matt Atkins,5
189,0,60369,Sam Bairstow,5
189,0,58989,Brandon Berry,5
189,0,57330,Matthis Besard,5
189,0,34255,Joseph Bramlett,5
189,0,65410,John Marshall Butler,5
189,0,52372,Cameron Champ,5
189,0,48936,Ugo Coussaud,5
189,0,52514,Trace Crowe,5
189,0,50762,Alejandro Del Rey,5
189,0,29970,Dylan Frittelli,5
189,0,56149,Wilson Furr,5
189,0,56762,Will Gordon,5
189,0,31646,Emiliano Grillo,5
189,0,35901,Paul Haley II,5
189,0,37428,Evan Harmeling,5
189,0,34098,Russell Henley,5
189,0,31557,Jim Herman,5
189,0,64594,Angel Hidalgo Portillo,5
189,0,39977,Max Homa,5
189,0,30957,Max Kieffer,5
189,0,32757,Patton Kizzire,5
189,0,54813,Philip Knowles,5
189,0,35879,Kelly Kraft,5
189,0,58696,Peter Kuest,5
189,0,36326,David Lipsky,5
189,0,35449,Adam Long,5
189,0,34466,Peter Malnati,5
189,0,33413,Ben Martin,5
189,0,54370,Erik Matthewson,5
189,0,58944,Blake McShea,5
189,0,25198,Francesco Molinari,5
189,0,55789,Taylor Montgomery,5
189,0,55420,Cooper Musselman,5
189,0,51635,Chris Nido,5
189,0,48153,Matthieu Pavon,5
189,0,51003,Marco Penge,5
189,0,47679,Victor Perez,5
189,0,36824,Paul Peterson,5
189,0,34256,Andrew Putnam,5
189,0,48052,Max Rottluff,5
189,0,46646,Antoine Rozner,5
189,0,47347,Adam Schenk,5
189,0,66583,Taisei Shimizu,5
189,0,29221,Webb Simpson,5
189,0,35891,Cameron Smith,5
189,0,34431,Robert Streb,5
189,0,25493,Nick Taylor,5
189,0,33448,Justin Thomas,5
189,0,32333,Kevin Tway,5
189,0,27770,Camilo Villegas,5
189,0,25632,Jimmy Walker,5
189,0,47128,Richy Werenski,5
189,0,48319,Tom Whitney,5
189,0,55454,Carl Yuan,5
245,0,28259,Sangmoon Bae,4
245,0,33404,Chris Baker,4
245,0,24671,David Bradshaw,4
245,0,28420,Ryan Brehm,4
245,0,51363,George Bryan IV,4
245,0,66630,Beck Burnette,4
245,0,58816,Marcus Byrd,4
245,0,26499,Rafa Cabrera Bello,4
245,0,49590,Frankie Capan III,4
245,0,50488,Chris Crawford,4
245,0,59077,Spencer Cross,4
245,0,58605,Quade Cummins,4
245,0,39067,MJ Daffue,4
245,0,33459,Jens Dantorp,4
245,0,61520,Santiago de la Fuente,4
245,0,51680,Alistair Docherty,4
245,0,50527,Jared du Toit,4
245,0,25686,Jason Dufner,4
245,0,30911,Tommy Fleetwood,4
245,0,55074,Sebastian Friedrichsen,4
245,0,64576,Nick Gabrelcik,4
245,0,30750,Tommy Gainey,4
245,0,24358,Robert Garrigus,4
245,0,35564,Joel Girrbach,4
245,0,39954,Cody Gribble,4
245,0,24980,Scott Gutschewski,4
245,0,47987,Cole Hammer,4
245,0,34363,Tyrrell Hatton,4
245,0,49120,Kensei Hirata,4
245,0,12716,Charley Hoffman,4
245,0,52453,Nicolai HÃ¸jgaard,4
245,0,27141,J.B. Holmes,4
245,0,54869,Chase Johnson,4
245,0,24024,Zach Johnson,4
