RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,22378,Trevor Immelman,69.1,38,55,-6.00
2,0,28307,Matt Every,68.8,55,80,-13.00
3,0,06527,Steve Stricker,68.2,15,22,-3.00
4,0,20229,Stewart Cink,63.0,34,54,-6.00
5,0,24781,Hunter Mahan,62.8,27,43,-1.00
6,0,33869,Eric Meierdierks,61.5,16,26,-2.00
7,0,21961,Charles Howell III,60.2,65,108,-8.00
8,0,24494,Erik Compton,59.5,47,79,-8.00
8,0,26758,David Hearn,59.5,47,79,-7.00
10,0,23452,Nicolas Colsaerts,59.4,19,32,-3.00
10,0,02206,David Toms,59.4,19,32,-2.00
12,0,26497,Casey Wittenberg,59.3,32,54,-9.00
13,0,30925,Dustin Johnson,59.2,29,49,-3.00
14,0,21099,David Lynn,59.1,26,44,-4.00
15,0,24924,Bill Haas,59.0,36,61,-3.00
16,0,06567,Vijay Singh,58.6,34,58,-4.00
16,0,28780,Nicholas Thompson,58.6,41,70,-10.00
18,0,33419,Cameron Tringale,58.5,38,65,-12.00
19,0,23541,Ben Crane,58.3,28,48,-5.00
20,0,31557,Jim Herman,58.1,18,31,-1.00
20,0,22405,Justin Rose,58.1,25,43,-4.00
22,0,30163,Henrik Norlander,57.8,26,45,-4.00
23,0,10809,Jim Furyk,57.4,27,47,-7.00
24,0,12716,Charley Hoffman,57.3,43,75,-9.00
25,0,27436,Graham DeLaet,56.9,29,51,-5.00
25,0,30852,Ryo Ishikawa,56.9,37,65,-5.00
27,0,01810,Phil Mickelson,56.7,34,60,-11.00
28,0,06573,Brandt Jobe,56.5,26,46,E
29,0,23409,James Driscoll,56.4,31,55,-4.00
30,0,30944,Jason Kokrak,55.9,38,68,-11.00
30,0,22913,John Rollins,55.9,33,59,-7.00
32,0,20098,Stuart Appleby,55.8,43,77,-11.00
33,0,23497,Tag Ridings,55.6,30,54,-4.00
33,0,27649,Brandt Snedeker,55.6,25,45,-6.00
35,0,23983,Luke Donald,55.3,26,47,-1.00
36,0,20443,Jin Park,55.2,16,29,-3.00
37,0,23108,Matt Kuchar,54.9,39,71,-11.00
38,0,21753,Brian Davis,54.8,34,62,-5.00
38,0,26289,Boo Weekley,54.8,46,84,-1.00
40,0,22371,Aaron Baddeley,54.7,29,53,-8.00
40,0,35539,Luke Guthrie,54.7,35,64,-12.00
40,0,23353,J.J. Henry,54.7,29,53,-2.00
40,0,25444,Justin Hicks,54.7,29,53,-6.00
44,0,32102,Rickie Fowler,54.5,30,55,-5.00
44,0,28679,Fabián Gómez,54.5,36,66,-4.00
46,0,28475,Jeff Overton,54.3,44,81,-9.00
47,0,06522,Ernie Els,54.2,32,59,-6.00
47,0,27770,Camilo Villegas,54.2,32,59,-1.00
49,0,29420,Billy Horschel,54.1,46,85,-12.00
49,0,34174,John Huh,54.1,33,61,-2.00
51,0,23320,Ryan Palmer,53.8,35,65,-7.00
52,0,26951,Johnson Wagner,53.7,22,41,-1.00
53,0,01116,Michael Bradley,53.2,25,47,-3.00
53,0,31560,Brian Stuard,53.2,33,62,-1.00
55,0,20572,Rod Pampling,53.1,17,32,-3.00
56,0,30926,Chris Kirk,53.0,44,83,-10.00
57,0,28135,Aaron Watkins,52.9,18,34,-3.00
58,0,25686,Jason Dufner,52.7,29,55,-4.00
59,0,27120,Troy Matteson,52.6,30,57,-3.00
60,0,32366,Kevin Chappell,52.5,31,59,-6.00
60,0,22621,Ben Curtis,52.5,21,40,E
62,0,25900,Lucas Glover,52.3,23,44,-5.00
63,0,10885,Robert Allenby,51.9,28,54,-6.00
63,0,12510,Chad Campbell,51.9,41,79,-4.00
63,0,25562,Andres Romero,51.9,27,52,-3.00
66,0,24490,George McNeill,51.8,29,56,-5.00
67,0,21528,Henrik Stenson,51.7,15,29,-2.00
68,0,24846,Ricky Barnes,51.6,33,64,-9.00
68,0,30110,Kyle Stanley,51.6,33,64,-8.00
70,0,27895,Jonas Blixt,51.5,35,68,-9.00
70,0,32448,James Hahn,51.5,34,66,-9.00
70,0,23325,Vaughn Taylor,51.5,17,33,-2.00
73,0,27556,Ted Potter Jr.,51.3,20,39,-2.00
74,0,26851,Marc Leishman,51.1,24,47,-5.00
75,0,22056,Cameron Percy,51.0,26,51,-5.00
76,0,20593,Greg Chalmers,50.8,33,65,-13.00
77,0,34099,Harris English,50.6,42,83,-10.00
77,0,31202,William McGirt,50.6,43,85,-9.00
79,0,24227,Justin Bolli,50.0,23,46,-4.00
