RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,34098,Russell Henley,9.68%,87,899,+0.11
2,0,27644,Brian Harman,9.81%,108,1101,+0.14
3,0,33204,Shane Lowry,10.45%,89,852,+0.08
4,0,52375,Doug Ghim,10.57%,115,1088,-0.06
5,0,30927,Brendon Todd,10.75%,133,1237,+0.08
6,0,46414,Aaron Rai,10.85%,112,1032,+0.04
7,0,29535,Brice Garnett,11.26%,67,595,+0.13
8,0,33141,Keegan Bradley,11.37%,113,994,+0.17
9,0,46046,Scottie Scheffler,11.43%,99,866,-0.08
10,0,26596,Ryan Moore,11.45%,101,882,-0.01
11,0,57362,Austin Eckroat,11.52%,125,1085,+0.10
12,0,49960,Sepp Straka,11.61%,107,922,+0.11
13,0,36884,Ben Kohles,11.68%,118,1010,+0.16
14,0,23108,Matt Kuchar,11.75%,109,928,+0.17
15,0,25900,Lucas Glover,11.92%,128,1074,E
16,0,52513,Carson Young,12.14%,124,1021,+0.17
17,0,48153,Matthieu Pavon,12.24%,90,735,+0.04
18,0,29420,Billy Horschel,12.35%,114,923,E
19,0,33399,Adam Hadwin,12.36%,122,987,+0.06
20,0,34587,Chan Kim,12.45%,121,972,-0.01
20,0,23320,Ryan Palmer,12.45%,61,490,-0.16
22,0,28252,Seamus Power,12.57%,155,1233,+0.11
23,0,56630,Akshay Bhatia,12.59%,138,1096,+0.01
24,0,34374,Erik Barnes,12.76%,75,588,+0.01
25,0,31646,Emiliano Grillo,12.77%,137,1073,+0.15
25,0,30926,Chris Kirk,12.77%,120,940,-0.06
27,0,28775,Nate Lashley,12.88%,110,854,-0.06
28,0,30911,Tommy Fleetwood,12.95%,116,896,+0.15
29,0,35450,Patrick Cantlay,12.99%,100,770,+0.04
30,0,34099,Harris English,13.03%,142,1090,+0.06
31,0,35461,Beau Hossler,13.10%,143,1092,-0.03
32,0,26476,Chez Reavie,13.31%,103,774,+0.12
33,0,32791,K.H. Lee,13.33%,124,930,+0.10
34,0,50525,Collin Morikawa,13.35%,128,959,+0.07
35,0,47420,Jake Knapp,13.42%,127,946,+0.07
36,0,59143,Mac Meissner,13.44%,120,893,-0.08
37,0,37455,Si Woo Kim,13.48%,146,1083,+0.04
37,0,47995,Davis Riley,13.48%,129,957,+0.07
39,0,39971,Sungjae Im,13.56%,149,1099,-0.08
40,0,25493,Nick Taylor,13.57%,143,1054,-0.06
41,0,55708,Hayden Buckley,13.60%,113,831,+0.08
41,0,34046,Jordan Spieth,13.60%,119,875,E
43,0,48887,Matt Wallace,13.67%,108,790,+0.03
44,0,54628,Lee Hodges,13.69%,163,1191,+0.16
45,0,51890,Greyson Sigg,13.71%,125,912,+0.03
46,0,50188,S.H. Kim,13.73%,169,1231,+0.02
47,0,47504,Sam Burns,13.79%,127,921,+0.02
48,0,27349,Alex Noren,13.87%,115,829,-0.09
49,0,40115,Adam Svensson,13.90%,193,1388,+0.07
50,0,48319,Tom Whitney,13.93%,96,689,+0.20
51,0,57900,Chandler Phillips,14.01%,144,1028,+0.01
52,0,40098,Matt Fitzpatrick,14.04%,121,862,+0.06
53,0,60067,Joe Highsmith,14.07%,112,796,-0.02
54,0,58168,Davis Thompson,14.16%,156,1102,+0.08
55,0,54783,Dylan Wu,14.18%,136,959,-0.05
56,0,27649,Brandt Snedeker,14.23%,102,717,+0.02
57,0,32367,Jorge Campillo,14.26%,81,568,+0.04
58,0,52955,Ludvig Ãberg,14.30%,132,923,+0.01
59,0,45522,Christiaan Bezuidenhout,14.31%,143,999,+0.10
59,0,52372,Cameron Champ,14.31%,96,671,+0.10
61,0,39997,Corey Conners,14.33%,156,1089,-0.03
62,0,22405,Justin Rose,14.42%,107,742,+0.11
63,0,30163,Henrik Norlander,14.45%,98,678,+0.03
64,0,55454,Carl Yuan,14.46%,106,733,+0.09
65,0,29908,C.T. Pan,14.47%,114,788,+0.10
66,0,34256,Andrew Putnam,14.48%,151,1043,+0.03
67,0,36799,Stephan Jaeger,14.50%,146,1007,+0.03
68,0,51349,Nico Echavarria,14.52%,140,964,+0.01
69,0,40026,Daniel Berger,14.53%,121,833,+0.08
70,0,52514,Trace Crowe,14.60%,106,726,-0.04
71,0,36326,David Lipsky,14.64%,117,799,+0.03
72,0,47591,Eric Cole,14.67%,194,1322,+0.01
73,0,24024,Zach Johnson,14.69%,88,599,+0.14
74,0,32102,Rickie Fowler,14.80%,140,946,+0.06
75,0,29221,Webb Simpson,14.81%,100,675,+0.13
76,0,29725,Tony Finau,14.85%,146,983,-0.04
77,0,37275,Sam Ryder,14.87%,123,827,+0.03
77,0,57366,Cameron Young,14.87%,149,1002,-0.02
79,0,32070,Rafael Campos,14.95%,90,602,+0.10
80,0,49771,J.T. Poston,14.99%,162,1081,+0.10
81,0,40162,Justin Lower,15.03%,171,1138,-0.02
82,0,34076,Joel Dahmen,15.08%,152,1008,+0.14
83,0,55182,Tom Kim,15.11%,152,1006,+0.03
84,0,28420,Ryan Brehm,15.14%,94,621,+0.16
85,0,57975,Harry Hall,15.20%,145,954,-0.12
85,0,40250,Taylor Pendrith,15.20%,148,974,+0.05
87,0,39546,Keith Mitchell,15.23%,159,1044,-0.02
88,0,45157,Cam Davis,15.34%,152,991,+0.18
88,0,51287,Ryo Hisatsune,15.34%,147,958,+0.14
90,0,48084,Wesley Bryan,15.43%,75,486,-0.08
91,0,28089,Jason Day,15.55%,128,823,E
92,0,29478,Kevin Kisner,15.64%,102,652,+0.16
93,0,27129,Luke List,15.65%,143,914,+0.06
94,0,33448,Justin Thomas,15.71%,129,821,-0.04
95,0,36801,Mark Hubbard,15.73%,191,1214,+0.07
96,0,48867,Matti Schmid,15.78%,136,862,+0.01
97,0,27936,Martin Laird,15.84%,127,802,-0.03
98,0,48081,Xander Schauffele,15.86%,151,952,-0.07
99,0,47983,Chad Ramey,15.91%,151,949,+0.07
100,0,50095,Austin Smotherman,15.97%,84,526,-0.01
100,0,27064,Jhonattan Vegas,15.97%,133,833,-0.06
102,0,36871,Matt NeSmith,16.05%,138,860,+0.04
103,0,51634,Sahith Theegala,16.14%,190,1177,-0.04
104,0,50497,Adrien Dumont de Chassart,16.22%,128,789,+0.12
104,0,39975,Michael Kim,16.22%,139,857,+0.11
106,0,40058,Zac Blair,16.28%,167,1026,+0.05
107,0,32640,Troy Merritt,16.38%,131,800,-0.01
108,0,27139,David Skinns,16.40%,152,927,-0.02
109,0,28237,Rory McIlroy,16.49%,142,861,+0.05
110,0,60004,Jacob Bridgeman,16.52%,136,823,-0.04
111,0,34563,Chesson Hadley,16.53%,139,841,+0.09
111,0,24502,Adam Scott,16.53%,142,859,-0.08
113,0,52215,Robert MacIntyre,16.57%,143,863,-0.09
114,0,40006,Erik van Rooyen,16.58%,161,971,+0.01
115,0,52666,Sami Valimaki,16.60%,129,777,+0.06
116,0,39977,Max Homa,16.61%,158,951,+0.05
117,0,51894,Vince Whaley,16.62%,122,734,+0.02
118,0,33948,Byeong Hun An,16.68%,153,917,-0.08
118,0,55893,Sam Stevens,16.68%,182,1091,-0.03
120,0,27214,Kevin Streelman,16.69%,132,791,E
121,0,34255,Joseph Bramlett,16.70%,164,982,+0.01
122,0,32333,Kevin Tway,16.72%,104,622,+0.03
123,0,39327,Ben Silverman,16.73%,164,980,+0.05
124,0,34021,Bud Cauley,16.76%,118,704,E
124,0,34466,Peter Malnati,16.76%,156,931,+0.12
126,0,47993,Denny McCarthy,16.82%,185,1100,+0.09
127,0,45609,Tyler Duncan,16.93%,131,774,+0.13
128,0,36699,Patrick Rodgers,16.96%,209,1232,-0.03
129,0,52453,Nicolai HÃ¸jgaard,16.99%,104,612,+0.10
130,0,22371,Aaron Baddeley,17.04%,137,804,+0.03
130,0,46441,Robby Shelton,17.04%,154,904,+0.05
132,0,48117,Kurt Kitayama,17.05%,165,968,-0.04
133,0,59866,Nick Dunlap,17.14%,151,881,+0.09
134,0,51997,Andrew Novak,17.16%,180,1049,+0.06
135,0,46717,Viktor Hovland,17.17%,125,728,+0.04
136,0,33408,Tyson Alexander,17.19%,143,832,+0.10
136,0,47347,Adam Schenk,17.19%,193,1123,+0.06
138,0,35506,Mackenzie Hughes,17.20%,200,1163,-0.01
138,0,46442,Maverick McNealy,17.20%,188,1093,+0.01
140,0,39324,J.J. Spaun,17.23%,173,1004,+0.08
141,0,47679,Victor Perez,17.31%,143,826,+0.13
142,0,29936,Ryan Fox,17.32%,163,941,+0.03
143,0,49947,Taylor Moore,17.41%,211,1212,-0.06
144,0,47483,Will Zalatoris,17.45%,141,808,+0.08
145,0,35310,Lanto Griffin,17.46%,140,802,-0.02
145,0,33486,Roger Sloan,17.46%,129,739,+0.05
147,0,32757,Patton Kizzire,17.62%,129,732,-0.05
148,0,46340,Alex Smalley,17.63%,144,817,+0.02
149,0,32839,Hideki Matsuyama,17.64%,157,890,+0.04
149,0,27770,Camilo Villegas,17.64%,109,618,+0.07
151,0,51696,Rico Hoey,17.70%,163,921,+0.02
152,0,37378,Min Woo Lee,17.72%,143,807,E
153,0,51977,Max Greyserman,17.73%,155,874,-0.05
154,0,51070,Vincent Norrman,17.74%,113,637,+0.19
155,0,32366,Kevin Chappell,17.76%,100,563,+0.03
156,0,31323,Gary Woodland,17.99%,177,984,+0.15
157,0,56149,Wilson Furr,18.04%,114,632,+0.06
157,0,54421,Garrick Higgo,18.04%,155,859,+0.10
159,0,33968,ThorbjÃ¸rn Olesen,18.06%,97,537,-0.05
160,0,50493,Justin Suh,18.17%,155,853,+0.09
161,0,47806,Raul Pereda,18.29%,90,492,+0.07
162,0,46113,Ryan McCormick,18.37%,115,626,-0.16
163,0,45242,Kevin Yu,18.40%,168,913,+0.01
164,0,54591,Ben Griffin,18.49%,230,1244,-0.01
165,0,50484,Hayden Springer,18.56%,142,765,+0.01
166,0,55789,Taylor Montgomery,18.57%,117,630,+0.04
167,0,59836,Pierceson Coody,18.68%,159,851,+0.16
168,0,52374,Brandon Wu,18.92%,164,867,-0.03
169,0,59442,Parker Coody,18.99%,124,653,+0.09
170,0,35532,Tom Hoge,19.08%,240,1258,+0.05
171,0,35617,Martin Trainer,19.14%,107,559,-0.05
172,0,33653,Thomas Detry,19.28%,172,892,+0.10
173,0,60767,Blaine Hale Jr.,19.31%,100,518,+0.03
173,0,38991,Alejandro Tosti,19.31%,162,839,+0.12
175,0,51766,Wyndham Clark,19.49%,167,857,+0.04
176,0,48119,Ben Taylor,19.57%,144,736,+0.05
177,0,37212,Paul Barjon,19.77%,119,602,-0.03
178,0,54576,Patrick Fishburn,19.84%,153,771,-0.01
179,0,27330,Josh Teater,19.89%,104,523,+0.06
180,0,12716,Charley Hoffman,19.98%,166,831,+0.02
181,0,47663,Kevin Dougherty,20.24%,137,677,-0.04
182,0,47988,Nick Hardy,20.95%,221,1055,+0.07
183,0,48699,Callum Tarren,22.43%,177,789,+0.04
184,0,59095,Chris Gotterup,22.80%,202,886,-0.03
