RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,34046,Jordan Spieth,3800,5,15
2,0,21528,Henrik Stenson,2307,0,8,1493
3,0,28089,Jason Day,2290,5,11,1510
4,0,32102,Rickie Fowler,1838,2,7,1962
5,0,25804,Bubba Watson,1680,2,10,2120
6,0,24024,Zach Johnson,1450,1,10,2350
7,0,30925,Dustin Johnson,1360,1,11,2440
8,0,22405,Justin Rose,1235,1,8,2565
9,0,29926,Danny Lee,1123,1,8,2677
10,0,12716,Charley Hoffman,992,1,7,2808
11,0,40026,Daniel Berger,878,0,6,2922
12,0,34360,Patrick Reed,656,1,4,3144
13,0,25364,Paul Casey,632,0,8,3168
14,0,27141,J.B. Holmes,618,1,7,3182
15,0,28237,Rory McIlroy,602,2,7,3198
16,0,32839,Hideki Matsuyama,558,0,9,3242
16,0,25632,Jimmy Walker,558,2,6,3242
18,0,34431,Robert Streb,542,1,9,3258
19,0,23108,Matt Kuchar,530,0,7,3270
20,0,25274,Steven Bowditch,454,1,2,3346
21,0,29478,Kevin Kisner,444,0,6,3356
22,0,25818,Scott Piercy,432,1,5,3368
23,0,27649,Brandt Snedeker,416,1,8,3384
24,0,36689,Brooks Koepka,414,1,8,3386
25,0,25396,Kevin Na,410,0,7,3390
26,0,28259,Sangmoon Bae,390,1,5,3410
27,0,24924,Bill Haas,380,1,5,3420
28,0,34099,Harris English,360,0,3,3440
29,0,10809,Jim Furyk,304,1,7,3496
30,0,26329,Louis Oosthuizen,176,0,6,3624
31,0,25834,Daniel Summerhays,1501,0,5,5469
32,0,33448,Justin Thomas,1498,0,7,5472
33,0,26300,Matt Jones,1445,0,4,5525
34,0,33122,Russell Knox,1435,0,3,5535
35,0,33413,Ben Martin,1417,1,5,5553
36,0,33419,Cameron Tringale,1390,0,3,5580
37,0,34409,David Lingmerth,1387,1,4,5583
38,0,23320,Ryan Palmer,1386,0,5,5584
39,0,26596,Ryan Moore,1374,1,4,5596
40,0,24507,Jason Bohn,1373,0,6,5597
41,0,31323,Gary Woodland,1300,0,4,5670
42,0,24140,Sean O'Hair,1293,0,3,5677
43,0,29725,Tony Finau,1293,0,5,5677
44,0,30926,Chris Kirk,1291,1,3,5679
45,0,24361,Pat Perez,1287,0,2,5683
46,0,30927,Brendon Todd,1279,0,4,5691
47,0,23638,Brendon de Jonge,1228,0,3,5742
48,0,29221,Webb Simpson,1213,0,5,5757
49,0,24781,Hunter Mahan,1208,0,4,5762
50,0,29518,Brendan Steele,1204,0,4,5766
51,0,32448,James Hahn,1202,1,2,5768
52,0,32366,Kevin Chappell,1186,0,2,5784
53,0,21209,Sergio Garcia,1177,0,4,5793
54,0,33418,Shawn Stefani,1171,0,3,5799
55,0,26758,David Hearn,1152,0,4,5818
56,0,32640,Troy Merritt,1148,1,3,5822
57,0,27644,Brian Harman,1135,0,3,5835
58,0,27095,Nick Watney,1135,0,3,5835
59,0,40058,Zac Blair,1126,0,2,5844
60,0,33141,Keegan Bradley,1103,0,3,5867
61,0,01810,Phil Mickelson,1091,0,3,5879
62,0,24490,George McNeill,1086,0,1,5884
63,0,34098,Russell Henley,1072,0,4,5898
64,0,28679,Fabián Gómez,1069,1,2,5901
65,0,23621,Rory Sabbatini,1064,0,4,5906
66,0,29420,Billy Horschel,1051,0,2,5919
67,0,24138,Ian Poulter,981,0,4,5989
68,0,08075,Jerry Kelly,966,0,4,6004
69,0,31202,William McGirt,955,0,1,6015
70,0,23800,Bryce Molder,875,0,2,6095
71,0,20472,Alex Cejka,859,1,1,6111
72,0,26851,Marc Leishman,854,0,4,6116
73,0,20645,John Senden,848,0,3,6122
74,0,31557,Jim Herman,840,0,2,6130
75,0,27214,Kevin Streelman,840,0,2,6130
76,0,26289,Boo Weekley,830,0,6,6140
77,0,25345,Carl Pettersson,809,0,3,6161
78,0,29476,Kyle Reifers,804,0,2,6166
79,0,21961,Charles Howell III,792,0,3,6178
80,0,23983,Luke Donald,782,0,2,6188
81,0,34264,Hudson Swafford,776,0,1,6194
82,0,27466,Spencer Levin,764,0,1,6206
83,0,35451,Scott Pinckney,761,0,3,6209
84,0,27770,Camilo Villegas,757,0,6213
85,0,33461,Morgan Hoffmann,749,0,2,6221
86,0,01706,Davis Love III,735,1,2,6235
87,0,26951,Johnson Wagner,733,0,3,6237
88,0,25686,Jason Dufner,730,0,2,6240
89,0,28307,Matt Every,727,1,1,6243
90,0,23353,J.J. Henry,716,1,1,6254
91,0,30711,Colt Knost,714,0,4,6256
92,0,22892,Jason Gore,712,0,2,6258
93,0,33667,Carlos Ortiz,711,0,1,6259
94,0,29479,Scott Brown,696,0,3,6274
95,0,21878,Mark Wilson,681,0,3,6289
96,0,12510,Chad Campbell,670,0,2,6300
97,0,34265,Will Wilcox,649,0,4,6321
98,0,34563,Chesson Hadley,630,0,3,6340
99,0,27936,Martin Laird,628,0,3,6342
100,0,30944,Jason Kokrak,614,0,2,6356
101,0,25493,Nick Taylor,613,1,1,6357
102,0,20229,Stewart Cink,612,0,1,6358
103,0,20766,Padraig Harrington,610,1,1,6360
104,0,20691,Greg Owen,608,0,2,6362
105,0,35541,John Peterson,588,0,6382
106,0,24502,Adam Scott,585,0,3,6385
107,0,33399,Adam Hadwin,584,0,3,6386
108,0,26331,Charl Schwartzel,584,0,3,6386
109,0,20396,Lee Westwood,576,0,1,6394
110,0,34174,John Huh,565,0,6405
111,0,25198,Francesco Molinari,558,0,2,6412
112,0,27436,Graham DeLaet,545,0,3,6425
113,0,34262,Jon Curran,540,0,5,6430
114,0,25892,Steve Wheatcroft,536,0,2,6434
115,0,29720,Andres Gonzales,531,0,3,6439
116,0,27963,Chris Stroud,531,0,2,6439
117,0,20104,Ken Duke,523,0,3,6447
118,0,20157,Retief Goosen,519,0,3,6451
119,0,06567,Vijay Singh,508,0,1,6462
120,0,25720,Chad Collins,504,0,1,6466
121,0,23135,Tim Clark,481,0,1,6489
122,0,30852,Ryo Ishikawa,476,0,2,6494
123,0,27895,Jonas Blixt,471,0,1,6499
124,0,24494,Erik Compton,471,0,1,6499
125,0,28475,Jeff Overton,464,0,1,6506
126,0,24912,Will MacKenzie,458,0,3,6512
127,0,34261,Scott Langley,448,0,6522
128,0,31560,Brian Stuard,447,0,1,6523
129,0,30692,Scott Stallings,447,0,1,6523
130,0,25369,Jamie Donaldson,447,0,2,6523
131,0,28780,Nicholas Thompson,442,0,1,6528
132,0,35532,Tom Hoge,441,0,2,6529
133,0,30946,Alex Prugh,433,0,2,6537
134,0,29289,S.Y. Noh,432,0,1,6538
135,0,34130,Sung Joon Park,426,0,1,6544
136,0,29222,Billy Hurley III,420,0,1,6550
137,0,29223,Sam Saunders,413,0,1,6557
138,0,28486,Michael Putnam,407,0,6563
139,0,27408,Martin Kaymer,406,0,1,6564
140,0,29535,Brice Garnett,398,0,1,6572
141,0,37454,Whee Kim,393,0,2,6577
142,0,08725,Tom Gillis,391,0,1,6579
143,0,21753,Brian Davis,387,0,2,6583
144,0,02206,David Toms,383,0,2,6587
145,0,35545,Blayne Barber,380,0,4,6590
146,0,32150,Michael Thompson,378,0,1,6592
147,0,25900,Lucas Glover,375,0,6595
148,0,35539,Luke Guthrie,373,0,1,6597
149,0,32334,Charlie Beljan,369,0,1,6601
150,0,22056,Cameron Percy,361,0,1,6609
