RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 15'-20',TOTAL 3 PUTTS
1,0,34076,Joel Dahmen,5,42
2,0,47663,Kevin Dougherty,4,32
2,0,35532,Tom Hoge,4,34
2,0,50188,S.H. Kim,4,42
2,0,36884,Ben Kohles,4,46
2,0,34466,Peter Malnati,4,29
2,0,47995,Davis Riley,4,30
2,0,29221,Webb Simpson,4,27
2,0,27214,Kevin Streelman,4,20
2,0,30927,Brendon Todd,4,41
2,0,38991,Alejandro Tosti,4,51
2,0,27064,Jhonattan Vegas,4,33
13,0,51977,Max Greyserman,3,27
13,0,35310,Lanto Griffin,3,40
13,0,27644,Brian Harman,3,24
13,0,46717,Viktor Hovland,3,21
13,0,27936,Martin Laird,3,34
13,0,47993,Denny McCarthy,3,25
13,0,48153,Matthieu Pavon,3,27
13,0,47347,Adam Schenk,3,44
13,0,39327,Ben Silverman,3,26
13,0,46340,Alex Smalley,3,33
13,0,55893,Sam Stevens,3,40
13,0,40115,Adam Svensson,3,57
13,0,48699,Callum Tarren,3,47
13,0,25493,Nick Taylor,3,36
13,0,51634,Sahith Theegala,3,42
13,0,52666,Sami Valimaki,3,29
13,0,27770,Camilo Villegas,3,29
13,0,48887,Matt Wallace,3,41
13,0,54783,Dylan Wu,3,37
13,0,57366,Cameron Young,3,45
33,0,33948,Byeong Hun An,2,33
33,0,37212,Paul Barjon,2,29
33,0,34374,Erik Barnes,2,23
33,0,60004,Jacob Bridgeman,2,27
33,0,32070,Rafael Campos,2,35
33,0,52372,Cameron Champ,2,24
33,0,45157,Cam Davis,2,31
33,0,34099,Harris English,2,32
33,0,29936,Ryan Fox,2,31
33,0,59095,Chris Gotterup,2,39
33,0,60767,Blaine Hale Jr.,2,26
33,0,34098,Russell Henley,2,10
33,0,51287,Ryo Hisatsune,2,32
33,0,39977,Max Homa,2,34
33,0,29420,Billy Horschel,2,30
33,0,35461,Beau Hossler,2,31
33,0,36799,Stephan Jaeger,2,31
33,0,24024,Zach Johnson,2,22
33,0,55182,Tom Kim,2,31
33,0,28775,Nate Lashley,2,36
33,0,40162,Justin Lower,2,40
33,0,28237,Rory McIlroy,2,25
33,0,46442,Maverick McNealy,2,29
33,0,55789,Taylor Montgomery,2,16
33,0,26596,Ryan Moore,2,44
33,0,49947,Taylor Moore,2,33
33,0,33968,ThorbjÃ¸rn Olesen,2,16
33,0,47983,Chad Ramey,2,39
33,0,26476,Chez Reavie,2,27
33,0,37275,Sam Ryder,2,39
33,0,33486,Roger Sloan,2,28
33,0,27330,Josh Teater,2,31
33,0,58168,Davis Thompson,2,36
33,0,48319,Tom Whitney,2,38
33,0,52374,Brandon Wu,2,38
33,0,52513,Carson Young,2,45
33,0,55454,Carl Yuan,2,39
70,0,22371,Aaron Baddeley,1,21
70,0,40026,Daniel Berger,1,27
70,0,45522,Christiaan Bezuidenhout,1,17
70,0,56630,Akshay Bhatia,1,26
70,0,40058,Zac Blair,1,36
70,0,34255,Joseph Bramlett,1,53
70,0,28420,Ryan Brehm,1,29
70,0,32367,Jorge Campillo,1,26
70,0,34021,Bud Cauley,1,24
70,0,51766,Wyndham Clark,1,21
70,0,47591,Eric Cole,1,32
70,0,39997,Corey Conners,1,35
70,0,59442,Parker Coody,1,20
70,0,59836,Pierceson Coody,1,20
70,0,52514,Trace Crowe,1,23
70,0,33653,Thomas Detry,1,25
70,0,50497,Adrien Dumont de Chassart,1,31
70,0,59866,Nick Dunlap,1,34
70,0,51349,Nico Echavarria,1,34
70,0,29725,Tony Finau,1,33
70,0,32102,Rickie Fowler,1,32
70,0,56149,Wilson Furr,1,33
70,0,29535,Brice Garnett,1,30
70,0,52375,Doug Ghim,1,32
70,0,34563,Chesson Hadley,1,28
70,0,33399,Adam Hadwin,1,30
70,0,47988,Nick Hardy,1,43
70,0,54421,Garrick Higgo,1,21
70,0,51696,Rico Hoey,1,38
70,0,12716,Charley Hoffman,1,32
70,0,36801,Mark Hubbard,1,37
70,0,39971,Sungjae Im,1,34
70,0,34587,Chan Kim,1,48
70,0,37455,Si Woo Kim,1,24
70,0,29478,Kevin Kisner,1,34
70,0,32757,Patton Kizzire,1,32
70,0,47420,Jake Knapp,1,33
70,0,32791,K.H. Lee,1,35
70,0,37378,Min Woo Lee,1,23
70,0,36326,David Lipsky,1,38
70,0,27129,Luke List,1,35
70,0,52215,Robert MacIntyre,1,21
70,0,32839,Hideki Matsuyama,1,31
70,0,32640,Troy Merritt,1,29
70,0,39546,Keith Mitchell,1,46
70,0,51070,Vincent Norrman,1,36
70,0,29908,C.T. Pan,1,23
70,0,47806,Raul Pereda,1,21
70,0,57900,Chandler Phillips,1,33
70,0,36699,Patrick Rodgers,1,35
70,0,48081,Xander Schauffele,1,12
70,0,46441,Robby Shelton,1,34
70,0,51890,Greyson Sigg,1,35
70,0,27139,David Skinns,1,28
70,0,50484,Hayden Springer,1,34
70,0,50493,Justin Suh,1,32
70,0,33448,Justin Thomas,1,20
70,0,35617,Martin Trainer,1,25
70,0,40006,Erik van Rooyen,1,34
