RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,46046,Scottie Scheffler,9.94,516.82,-193.79,446.51
2,1,28237,Rory McIlroy,9.07,417.22,-169.14,309.85
3,-1,35891,Cameron Smith,8.92,374.57,-150.38,326.61
4,0,35450,Patrick Cantlay,8.32,349.60,-170.31,261.44
5,0,48081,Xander Schauffele,7.34,330.16,-195.80,238.47
6,0,46970,Jon Rahm,7.30,321.28,-272.25,193.12
7,0,33448,Justin Thomas,6.59,316.31,-218.22,234.95
8,1,47483,Will Zalatoris,6.40,319.75,-104.22,287.21
9,-1,50525,Collin Morikawa,6.33,303.75,-262.82,128.70
10,0,46717,Viktor Hovland,6.00,312.25,-202.18,185.05
11,0,40098,Matt Fitzpatrick,5.89,306.32,-135.53,228.41
12,0,47504,Sam Burns,5.67,277.96,-131.69,165.65
13,0,34046,Jordan Spieth,5.54,260.58,-133.00,173.10
14,0,29725,Tony Finau,5.26,273.26,-158.07,177.29
15,0,29420,Billy Horschel,4.63,235.89,-137.55,157.44
16,0,32839,Hideki Matsuyama,4.55,223.07,-158.61,137.17
17,0,57366,Cameron Young,4.42,220.96,-39.91,209.37
18,0,39971,Sungjae Im,4.21,218.88,-128.38,140.09
19,4,33204,Shane Lowry,4.03,209.80,-85.78,168.77
20,-1,45486,Joaquin Niemann,3.95,205.61,-118.12,164.44
21,0,55182,Tom Kim,3.84,157.35,-34.10,139.42
22,-2,39977,Max Homa,3.76,188.16,-92.28,136.21
23,-1,30925,Dustin Johnson,3.43,137.14,-227.98,80.31
24,0,45526,Abraham Ancer,3.21,166.79,-148.42,62.81
25,0,39997,Corey Conners,3.11,161.77,-91.77,116.11
26,0,29478,Kevin Kisner,3.09,148.36,-96.92,122.48
27,1,36689,Brooks Koepka,3.03,121.09,-123.06,49.09
28,-1,34363,Tyrrell Hatton,3.02,153.80,-149.91,111.04
29,0,30911,Tommy Fleetwood,3.00,156.25,-87.06,116.95
30,0,24502,Adam Scott,2.86,122.80,-67.31,93.98
31,1,25396,Kevin Na,2.78,116.96,-104.98,44.99
