RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,51766,Wyndham Clark,23.33%,60,14
2,0,24024,Zach Johnson,20.00%,50,10
3,0,46717,Viktor Hovland,18.03%,61,11
4,0,33968,ThorbjÃ¸rn Olesen,17.65%,34,6
5,0,51977,Max Greyserman,17.33%,75,13
6,0,59866,Nick Dunlap,16.92%,65,11
7,0,34076,Joel Dahmen,16.05%,81,13
8,0,59143,Mac Meissner,15.71%,70,11
9,0,48153,Matthieu Pavon,15.52%,58,9
10,0,60067,Joe Highsmith,15.22%,46,7
11,0,29478,Kevin Kisner,15.09%,53,8
12,0,55893,Sam Stevens,15.00%,80,12
13,0,24502,Adam Scott,14.49%,69,10
14,0,51634,Sahith Theegala,14.43%,97,14
15,0,28089,Jason Day,14.29%,56,8
16,0,37378,Min Woo Lee,14.04%,57,8
17,0,60767,Blaine Hale Jr.,13.95%,43,6
18,0,29221,Webb Simpson,13.89%,72,10
19,0,32640,Troy Merritt,13.79%,58,8
20,0,33141,Keegan Bradley,13.70%,73,10
21,0,55789,Taylor Montgomery,13.51%,37,5
22,0,34099,Harris English,12.99%,77,10
23,0,47983,Chad Ramey,12.86%,70,9
24,0,54576,Patrick Fishburn,12.82%,78,10
25,0,47993,Denny McCarthy,12.79%,86,11
26,0,34046,Jordan Spieth,12.68%,71,9
27,0,35450,Patrick Cantlay,12.50%,64,8
27,0,51997,Andrew Novak,12.50%,80,10
27,0,37275,Sam Ryder,12.50%,72,9
27,0,27139,David Skinns,12.50%,80,10
27,0,52666,Sami Valimaki,12.50%,56,7
32,0,34255,Joseph Bramlett,12.35%,81,10
33,0,40250,Taylor Pendrith,12.31%,65,8
34,0,36884,Ben Kohles,12.04%,108,13
35,0,47591,Eric Cole,11.96%,92,11
35,0,31646,Emiliano Grillo,11.96%,92,11
37,0,29908,C.T. Pan,11.76%,51,6
38,0,40098,Matt Fitzpatrick,11.69%,77,9
39,0,52513,Carson Young,11.54%,78,9
40,0,49947,Taylor Moore,11.43%,105,12
41,0,39975,Michael Kim,11.27%,71,8
42,0,22405,Justin Rose,11.11%,45,5
42,0,48867,Matti Schmid,11.11%,81,9
44,0,27644,Brian Harman,10.99%,91,10
45,0,51349,Nico Echavarria,10.98%,82,9
46,0,32070,Rafael Campos,10.91%,55,6
47,0,37212,Paul Barjon,10.87%,46,5
47,0,32367,Jorge Campillo,10.87%,46,5
49,0,36799,Stephan Jaeger,10.81%,74,8
50,0,28775,Nate Lashley,10.67%,75,8
51,0,52955,Ludvig Ãberg,10.45%,67,7
52,0,39997,Corey Conners,10.42%,96,10
53,0,39327,Ben Silverman,10.39%,77,8
54,0,48084,Wesley Bryan,10.26%,39,4
55,0,47663,Kevin Dougherty,10.17%,59,6
56,0,50188,S.H. Kim,10.13%,79,8
56,0,46340,Alex Smalley,10.13%,79,8
56,0,25493,Nick Taylor,10.13%,79,8
59,0,40162,Justin Lower,10.00%,90,9
59,0,48119,Ben Taylor,10.00%,60,6
61,0,30927,Brendon Todd,9.88%,81,8
62,0,57900,Chandler Phillips,9.84%,61,6
63,0,51287,Ryo Hisatsune,9.72%,72,7
64,0,60004,Jacob Bridgeman,9.62%,52,5
64,0,50497,Adrien Dumont de Chassart,9.62%,52,5
66,0,54628,Lee Hodges,9.57%,94,9
67,0,12716,Charley Hoffman,9.52%,63,6
67,0,47679,Victor Perez,9.52%,63,6
67,0,33448,Justin Thomas,9.52%,63,6
70,0,32102,Rickie Fowler,9.46%,74,7
71,0,56630,Akshay Bhatia,9.38%,96,9
72,0,27330,Josh Teater,9.30%,43,4
73,0,32757,Patton Kizzire,9.09%,66,6
73,0,47806,Raul Pereda,9.09%,44,4
73,0,57366,Cameron Young,9.09%,66,6
76,0,29936,Ryan Fox,8.97%,78,7
76,0,55182,Tom Kim,8.97%,78,7
78,0,47420,Jake Knapp,8.93%,56,5
79,0,35532,Tom Hoge,8.64%,81,7
80,0,31323,Gary Woodland,8.54%,82,7
81,0,28237,Rory McIlroy,8.43%,83,7
81,0,46441,Robby Shelton,8.43%,83,7
83,0,34374,Erik Barnes,8.33%,48,4
83,0,33204,Shane Lowry,8.33%,60,5
83,0,46414,Aaron Rai,8.33%,96,8
83,0,48081,Xander Schauffele,8.33%,72,6
83,0,47347,Adam Schenk,8.33%,84,7
83,0,51890,Greyson Sigg,8.33%,72,6
83,0,50493,Justin Suh,8.33%,60,5
83,0,32333,Kevin Tway,8.33%,48,4
91,0,28252,Seamus Power,8.25%,97,8
92,0,58168,Davis Thompson,8.24%,85,7
93,0,36801,Mark Hubbard,8.11%,111,9
94,0,40058,Zac Blair,8.06%,62,5
94,0,48699,Callum Tarren,8.06%,62,5
96,0,29725,Tony Finau,8.05%,87,7
97,0,27936,Martin Laird,8.00%,75,6
98,0,55708,Hayden Buckley,7.89%,76,6
98,0,47483,Will Zalatoris,7.89%,76,6
100,0,52375,Doug Ghim,7.87%,89,7
100,0,35506,Mackenzie Hughes,7.87%,89,7
100,0,39971,Sungjae Im,7.87%,89,7
103,0,54421,Garrick Higgo,7.84%,51,4
104,0,26596,Ryan Moore,7.79%,77,6
105,0,46113,Ryan McCormick,7.69%,52,4
105,0,36871,Matt NeSmith,7.69%,65,5
105,0,39324,J.J. Spaun,7.69%,78,6
108,0,34098,Russell Henley,7.59%,79,6
108,0,35461,Beau Hossler,7.59%,79,6
110,0,56149,Wilson Furr,7.55%,53,4
111,0,34256,Andrew Putnam,7.45%,94,7
112,0,22371,Aaron Baddeley,7.41%,54,4
112,0,50484,Hayden Springer,7.41%,54,4
114,0,27214,Kevin Streelman,7.35%,68,5
115,0,34587,Chan Kim,7.32%,82,6
116,0,33399,Adam Hadwin,7.29%,96,7
117,0,33653,Thomas Detry,7.25%,69,5
117,0,23108,Matt Kuchar,7.25%,69,5
119,0,36326,David Lipsky,7.14%,70,5
119,0,27349,Alex Noren,7.14%,70,5
119,0,50095,Austin Smotherman,7.14%,42,3
119,0,27770,Camilo Villegas,7.14%,42,3
123,0,51894,Vince Whaley,7.04%,71,5
124,0,27064,Jhonattan Vegas,7.02%,57,4
125,0,45242,Kevin Yu,6.94%,72,5
126,0,33948,Byeong Hun An,6.85%,73,5
126,0,40026,Daniel Berger,6.85%,73,5
128,0,34563,Chesson Hadley,6.82%,88,6
128,0,52453,Nicolai HÃ¸jgaard,6.82%,44,3
130,0,28420,Ryan Brehm,6.78%,59,4
131,0,59095,Chris Gotterup,6.76%,74,5
132,0,33408,Tyson Alexander,6.67%,75,5
132,0,48319,Tom Whitney,6.67%,60,4
134,0,51696,Rico Hoey,6.59%,91,6
135,0,59836,Pierceson Coody,6.56%,61,4
136,0,57975,Harry Hall,6.45%,62,4
137,0,27129,Luke List,6.41%,78,5
137,0,32839,Hideki Matsuyama,6.41%,78,5
139,0,54783,Dylan Wu,6.25%,80,5
140,0,45609,Tyler Duncan,6.02%,83,5
141,0,40006,Erik van Rooyen,5.88%,85,5
142,0,29420,Billy Horschel,5.75%,87,5
142,0,49771,J.T. Poston,5.75%,87,5
144,0,34021,Bud Cauley,5.66%,53,3
145,0,29535,Brice Garnett,5.56%,54,3
145,0,50525,Collin Morikawa,5.56%,72,4
145,0,27649,Brandt Snedeker,5.56%,54,3
148,0,36699,Patrick Rodgers,5.49%,91,5
149,0,39546,Keith Mitchell,5.41%,74,4
150,0,33486,Roger Sloan,5.36%,56,3
150,0,48887,Matt Wallace,5.36%,56,3
152,0,38991,Alejandro Tosti,5.08%,59,3
153,0,47988,Nick Hardy,5.05%,99,5
154,0,59442,Parker Coody,5.00%,40,2
154,0,32791,K.H. Lee,5.00%,60,3
156,0,30926,Chris Kirk,4.92%,61,3
157,0,23320,Ryan Palmer,4.76%,42,2
158,0,51070,Vincent Norrman,4.65%,43,2
158,0,35617,Martin Trainer,4.65%,43,2
158,0,55454,Carl Yuan,4.65%,43,2
161,0,37455,Si Woo Kim,4.60%,87,4
161,0,52215,Robert MacIntyre,4.60%,87,4
163,0,52514,Trace Crowe,4.55%,44,2
163,0,47995,Davis Riley,4.55%,66,3
165,0,40115,Adam Svensson,4.39%,114,5
166,0,46046,Scottie Scheffler,4.29%,70,3
167,0,30911,Tommy Fleetwood,4.00%,75,3
168,0,45522,Christiaan Bezuidenhout,3.95%,76,3
168,0,48117,Kurt Kitayama,3.95%,76,3
168,0,52374,Brandon Wu,3.95%,76,3
171,0,25900,Lucas Glover,3.90%,77,3
172,0,46442,Maverick McNealy,3.80%,79,3
173,0,30163,Henrik Norlander,3.77%,53,2
174,0,45157,Cam Davis,3.70%,81,3
175,0,47504,Sam Burns,3.45%,58,2
176,0,34466,Peter Malnati,3.33%,90,3
177,0,32366,Kevin Chappell,3.23%,31,1
177,0,39977,Max Homa,3.23%,62,2
179,0,35310,Lanto Griffin,3.03%,66,2
180,0,52372,Cameron Champ,2.99%,67,2
181,0,49960,Sepp Straka,2.94%,68,2
182,0,54591,Ben Griffin,1.87%,107,2
183,0,26476,Chez Reavie,1.59%,63,1
184,0,57362,Austin Eckroat,1.35%,74,1
