RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,47959,Bryson DeChambeau,1413,0
2,0,45523,Thriston Lawrence,337,0
3,0,35891,Cameron Smith,296,0
4,0,46970,Jon Rahm,240,0
5,0,33974,Dean Burmester,239,0
6,0,55955,Matthew Jordan,194,0
7,0,37250,Romain Langasque,190,0
8,0,63807,Neal Shipley,179,0
9,0,57259,Daniel Brown,170,0
10,0,21209,Sergio Garcia,150,0
10,0,34360,Patrick Reed,150,0
12,0,36689,Brooks Koepka,138,0
13,0,51680,Alistair Docherty,135,0
14,0,45734,John Catlin,115,0
15,0,39113,Shubhankar Sharma,114,0
16,0,58696,Peter Kuest,110,0
17,0,49813,Daniel Hillier,108,0
18,0,47888,Taiga Semikawa,102,0
19,0,45486,Joaquin Niemann,101,0
20,0,54218,Yuta Sugiura,86,0
21,0,50223,Ewen Ferguson,85,0
22,0,33199,Matteo Manassero,79,0
23,0,51950,Max McGreevy,77,0
24,0,54190,Richard Mansell,77,0
25,0,34362,Laurie Canter,63,0
25,0,37094,Joseph Dean,63,0
27,0,39335,Kevin Roy,58,0
28,0,52686,Rasmus Hojgaard,57,0
29,0,60369,Sam Bairstow,56,0
30,0,39262,Alvaro Ortiz,54,0
31,0,59018,Ryan Gerard,52,0
32,0,55721,Alex Fitzpatrick,50,0
33,0,50762,Alejandro Del Rey,50,0
33,0,35706,Niklas Norgaard,50,0
33,0,50584,Connor Syme,50,0
36,0,66583,Taisei Shimizu,48,0
37,0,63454,Johnny Keefer,47,0
38,0,34371,Adrien Saddier,46,0
39,0,30957,Max Kieffer,46,0
40,0,30925,Dustin Johnson,43,0
41,0,55930,Fred Biondi,42,0
42,0,48632,Yuto Katsuragawa,40,0
43,0,35296,Haotong Li,39,0
44,0,54422,Christo Lamprecht,39,0
45,0,56100,Ren Yonezawa,37,0
46,0,32344,Lukas Nemecz,37,0
47,0,60065,Ryan Hall,36,0
48,0,48052,Max Rottluff,36,0
49,0,37428,Evan Harmeling,35,0
49,0,48640,Johannes Veerman,35,0
51,0,36824,Paul Peterson,33,0
52,0,46368,Stuart Macdonald,31,0
52,0,57737,Jayden Schaper,31,0
54,0,57586,Jesper Svensson,30,0
55,0,64594,Angel Hidalgo Portillo,29,0
55,0,35314,Andy Sullivan,29,0
57,0,51661,Nick Bachem,29,0
57,0,34500,Ryosuke Kinoshita,29,0
57,0,48051,Yannik Paul,29,0
57,0,46646,Antoine Rozner,29,0
57,0,58359,Mitchell Schow,29,0
62,0,50323,Minkyu Kim,29,0
62,0,39834,Guido Migliozzi,29,0
64,0,56781,Isaiah Salinda,27,0
65,0,31113,Paul Waring,26,0
66,0,01810,Phil Mickelson,25,0
67,0,36852,Jim Knous,24,0
68,0,50823,Tom McKibbin,23,0
69,0,45194,Marcus Armitage,21,0
70,0,46464,Jordan Smith,20,0
71,0,57330,Matthis Besard,20,0
71,0,59077,Spencer Cross,20,0
73,0,58944,Blake McShea,18,0
74,0,39436,Joshua Creel,18,0
74,0,47917,Takumi Kanaya,18,0
76,0,49590,Frankie Capan III,17,0
76,0,50474,Tim Widing,17,0
78,0,39058,Lucas Herbert,15,0
79,0,37446,Jacques Kruyswijk,14,0
79,0,55420,Cooper Musselman,14,0
79,0,30756,Andrea Pavan,14,0
82,0,37066,Grant Forrest,14,0
