RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,24024,Zach Johnson,11' 8",1879.417,161,66' 10",6"
2,0,40162,Justin Lower,11' 2",3572.250,319,58' 3",1"
3,0,29478,Kevin Kisner,11' 1",1607.333,145,57' 3",4"
3,0,48153,Matthieu Pavon,11' 1",2076.083,188,48' 5",1"
5,0,51977,Max Greyserman,11' 0",2779.417,253,74' 7",1"
6,0,47993,Denny McCarthy,10' 10",3208.667,297,73' 4",1"
7,0,32333,Kevin Tway,10' 9",1659.917,154,52' 11",5"
8,0,36884,Ben Kohles,10' 8",2760.083,258,51' 8",1"
9,0,27649,Brandt Snedeker,10' 7",1815.500,172,49' 8",8"
10,0,27936,Martin Laird,10' 6",2200.083,210,57' 7",1"
11,0,33653,Thomas Detry,10' 5",2566.833,246,55' 1",1"
11,0,39327,Ben Silverman,10' 5",2642.833,253,59' 5",3"
11,0,47483,Will Zalatoris,10' 5",1940.500,187,49' 4",4"
14,0,52513,Carson Young,10' 4",2923.250,283,58' 4",2"
15,0,33204,Shane Lowry,10' 3",2327.583,227,44' 11",2"
16,0,34256,Andrew Putnam,10' 2",2781.083,273,82' 5",1"
16,0,27214,Kevin Streelman,10' 2",2088.750,205,67' 7",1"
18,0,45522,Christiaan Bezuidenhout,10' 1",2609.500,259,59' 1",1"
18,0,40058,Zac Blair,10' 1",2427.417,241,54' 3",1"
18,0,50497,Adrien Dumont de Chassart,10' 1",1850.417,183,61' 9",2"
18,0,27139,David Skinns,10' 1",2449.500,243,54' 2",1"
22,0,34099,Harris English,10' 0",2835.167,284,65' 11",1"
22,0,54576,Patrick Fishburn,10' 0",2137.250,214,55' 4",2"
22,0,51287,Ryo Hisatsune,10' 0",2568.583,256,66' 9",3"
22,0,46113,Ryan McCormick,10' 0",1722.000,172,53' 1",6"
22,0,47679,Victor Perez,10' 0",2036.750,204,43' 4",1"
22,0,28252,Seamus Power,10' 0",3255.917,325,48' 3",1"
22,0,33486,Roger Sloan,10' 0",1980.167,198,54' 10",1"
22,0,55893,Sam Stevens,10' 0",3028.833,303,61' 10",1"
30,0,40098,Matt Fitzpatrick,9' 11",2389.833,240,45' 9",2"
30,0,54591,Ben Griffin,9' 11",3453.917,347,58' 4",2"
30,0,52215,Robert MacIntyre,9' 11",2293.750,231,59' 5",1"
30,0,23320,Ryan Palmer,9' 11",1136.000,115,64' 9",1"
30,0,26476,Chez Reavie,9' 11",1917.167,194,57' 2",1"
30,0,40006,Erik van Rooyen,9' 11",2816.750,285,80' 5",1"
36,0,35450,Patrick Cantlay,9' 10",2068.000,211,51' 3",1"
36,0,51349,Nico Echavarria,9' 10",2642.083,268,59' 1",1"
36,0,29936,Ryan Fox,9' 10",2692.333,273,66' 10",1"
36,0,29420,Billy Horschel,9' 10",2278.167,232,63' 9",1"
36,0,39975,Michael Kim,9' 10",2400.750,245,44' 8",1"
36,0,36871,Matt NeSmith,9' 10",1890.417,193,52' 11",5"
36,0,29908,C.T. Pan,9' 10",2041.583,207,60' 1",5"
36,0,47983,Chad Ramey,9' 10",2505.167,254,43' 0",1"
36,0,50493,Justin Suh,9' 10",2249.333,229,55' 7",2"
45,0,32366,Kevin Chappell,9' 9",1407.417,144,56' 11",6"
45,0,34076,Joel Dahmen,9' 9",2506.667,258,39' 8",1"
45,0,46717,Viktor Hovland,9' 9",2207.000,226,46' 10",6"
45,0,23108,Matt Kuchar,9' 9",2146.917,220,45' 5",1"
45,0,32791,K.H. Lee,9' 9",2399.500,246,41' 7",2"
45,0,29221,Webb Simpson,9' 9",1546.833,158,39' 10",4"
51,0,39971,Sungjae Im,9' 8",3165.750,328,64' 5",1"
51,0,49947,Taylor Moore,9' 8",3124.167,322,61' 8",1"
51,0,49771,J.T. Poston,9' 8",2892.167,300,49' 9",1"
51,0,46441,Robby Shelton,9' 8",2227.917,230,55' 2",2"
51,0,51890,Greyson Sigg,9' 8",2017.417,209,44' 5",1"
