RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,29535,Brice Garnett,46.88%,45,96,-0.11
2,0,50525,Collin Morikawa,46.84%,74,158,-0.22
3,0,36871,Matt NeSmith,46.53%,67,144,-0.03
4,0,25493,Nick Taylor,46.39%,77,166,-0.09
5,0,54628,Lee Hodges,45.60%,83,182,-0.07
6,0,34076,Joel Dahmen,44.94%,80,178,+0.10
7,0,37455,Si Woo Kim,44.89%,79,176,-0.06
8,0,39327,Ben Silverman,44.87%,70,156,-0.30
9,0,32839,Hideki Matsuyama,44.59%,66,148,-0.24
10,0,27349,Alex Noren,44.20%,61,138,-0.16
11,0,49960,Sepp Straka,44.16%,68,154,-0.09
12,0,36884,Ben Kohles,44.12%,75,170,-0.05
13,0,34466,Peter Malnati,44.00%,66,150,-0.23
14,0,57900,Chandler Phillips,43.98%,73,166,-0.01
15,0,52375,Doug Ghim,43.96%,80,182,-0.11
16,0,29420,Billy Horschel,43.42%,66,152,-0.20
17,0,55182,Tom Kim,43.04%,68,158,-0.24
18,0,31646,Emiliano Grillo,42.94%,73,170,-0.03
19,0,27644,Brian Harman,42.53%,74,174,-0.22
20,0,57975,Harry Hall,41.88%,67,160,+0.01
21,0,34098,Russell Henley,41.78%,61,146,-0.23
22,0,34021,Bud Cauley,41.67%,45,108,-0.20
22,0,33486,Roger Sloan,41.67%,55,132,-0.29
24,0,40115,Adam Svensson,41.59%,89,214,-0.17
25,0,47983,Chad Ramey,41.57%,69,166,-0.07
26,0,36801,Mark Hubbard,41.41%,82,198,-0.21
27,0,47993,Denny McCarthy,41.38%,72,174,-0.15
28,0,52374,Brandon Wu,41.36%,67,162,-0.15
29,0,35532,Tom Hoge,41.09%,83,202,-0.25
30,0,25900,Lucas Glover,40.86%,76,186,-0.16
31,0,52666,Sami Valimaki,40.83%,49,120,-0.04
32,0,46414,Aaron Rai,40.70%,70,172,-0.24
33,0,27770,Camilo Villegas,40.35%,46,114,-0.09
34,0,40058,Zac Blair,40.24%,66,164,-0.20
35,0,47591,Eric Cole,40.19%,86,214,-0.08
36,0,55708,Hayden Buckley,40.14%,57,142,-0.07
