RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
1,0,23452,Nicolas Colsaerts,9.7
2,0,24358,Robert Garrigus,9.6
2,0,30925,Dustin Johnson,9.6
2,0,23552,Hank Kuehne,9.6
2,0,28237,Rory McIlroy,9.6
2,0,25804,Bubba Watson,9.6
7,0,27141,J.B. Holmes,9.5
7,0,27129,Luke List,9.5
9,0,32800,Franklin Corpening,9.1
9,0,39531,Ken Looper,9.1
11,0,33869,Eric Meierdierks,9.0
11,0,31323,Gary Woodland,9.0
13,0,30944,Jason Kokrak,8.9
13,0,24140,Sean O'Hair,8.9
15,0,28089,Jason Day,8.8
15,0,23320,Ryan Palmer,8.8
15,0,36699,Patrick Rodgers,8.8
15,0,30110,Kyle Stanley,8.8
19,0,32334,Charlie Beljan,8.7
19,0,33141,Keegan Bradley,8.7
19,0,26329,Louis Oosthuizen,8.7
22,0,25274,Steven Bowditch,8.6
22,0,33486,Roger Sloan,8.6
22,0,25632,Jimmy Walker,8.6
22,0,35459,Chris Williams,8.6
26,0,28500,Martin Flores,8.5
26,0,25818,Scott Piercy,8.5
26,0,24502,Adam Scott,8.5
26,0,30692,Scott Stallings,8.5
30,0,20848,Ángel Cabrera,8.4
30,0,23497,Tag Ridings,8.4
32,0,01249,John Daly,8.3
32,0,27436,Graham DeLaet,8.3
32,0,22405,Justin Rose,8.3
35,0,27936,Martin Laird,8.2
35,0,29289,S.Y. Noh,8.2
35,0,23481,Marcel Siem,8.2
38,0,28937,George Coetzee,8.1
38,0,31557,Jim Herman,8.1
38,0,34431,Robert Streb,8.1
41,0,33461,Morgan Hoffmann,8.0
41,0,29223,Sam Saunders,8.0
41,0,26331,Charl Schwartzel,8.0
41,0,33418,Shawn Stefani,8.0
45,0,21961,Charles Howell III,7.9
45,0,33204,Shane Lowry,7.9
45,0,23621,Rory Sabbatini,7.9
45,0,27095,Nick Watney,7.9
49,0,26499,Rafa Cabrera Bello,7.8
49,0,35450,Patrick Cantlay,7.8
49,0,34099,Harris English,7.8
49,0,27330,Josh Teater,7.8
49,0,33448,Justin Thomas,7.8
54,0,37273,Derek Ernst,7.7
54,0,29740,Brad Fritsch,7.7
54,0,25900,Lucas Glover,7.7
54,0,12716,Charley Hoffman,7.7
54,0,31138,Scott Jamieson,7.7
54,0,34360,Patrick Reed,7.7
60,0,29974,Branden Grace,7.6
60,0,28158,Steve Marino,7.6
60,0,27120,Troy Matteson,7.6
60,0,20580,Andre Stolz,7.6
60,0,28118,Peter Tomasulo,7.6
65,0,32366,Kevin Chappell,7.5
65,0,22792,Peter Hanson,7.5
65,0,29420,Billy Horschel,7.5
65,0,29926,Danny Lee,7.5
65,0,01706,Davis Love III,7.5
65,0,24781,Hunter Mahan,7.5
65,0,20691,Greg Owen,7.5
65,0,25562,Andres Romero,7.5
65,0,24459,Richard Sterne,7.5
65,0,28780,Nicholas Thompson,7.5
75,0,27554,Scott Harrington,7.4
75,0,30852,Ryo Ishikawa,7.4
75,0,25345,Carl Pettersson,7.4
75,0,22913,John Rollins,7.4
75,0,34046,Jordan Spieth,7.4
