RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,12.84,539.18,-244.58,442.45
2,0,24502,Adam Scott,9.27,370.86,-182.39,292.54
3,0,01810,Phil Mickelson,8.51,408.59,-168.12,346.85
4,0,21528,Henrik Stenson,8.15,423.58,-68.22,380.78
5,0,22405,Justin Rose,7.54,392.10,-223.94,281.16
6,0,28237,Rory McIlroy,7.31,343.44,-368.73,90.85
7,0,06527,Steve Stricker,6.72,268.61,-148.75,226.75
8,0,23108,Matt Kuchar,6.58,335.41,-181.46,290.53
9,0,27649,Brandt Snedeker,6.20,316.31,-196.14,240.39
10,0,25686,Jason Dufner,5.93,308.32,-172.18,210.65
11,0,24024,Zach Johnson,5.40,280.69,-136.32,204.66
12,0,25572,Graeme McDowell,5.33,277.37,-165.79,189.89
13,0,10809,Jim Furyk,5.09,254.46,-121.70,177.06
14,0,23983,Luke Donald,5.08,248.99,-299.78,109.03
15,0,33141,Keegan Bradley,4.97,258.24,-180.05,178.95
16,0,28089,Jason Day,4.89,215.19,-118.90,207.02
17,0,21209,Sergio Garcia,4.49,224.34,-161.91,154.26
18,0,20396,Lee Westwood,4.44,230.62,-216.64,133.55
19,0,26331,Charl Schwartzel,4.43,230.59,-164.37,143.96
20,1,34046,Jordan Spieth,4.34,173.53,-10.39,178.81
21,1,30925,Dustin Johnson,4.32,198.82,-158.44,148.04
22,-2,24138,Ian Poulter,4.32,207.46,-146.81,99.38
23,0,06522,Ernie Els,4.20,218.30,-135.63,131.19
24,0,29221,Webb Simpson,4.12,210.23,-195.47,149.32
25,0,25804,Bubba Watson,3.97,182.50,-168.49,91.56
26,0,24781,Hunter Mahan,3.95,205.44,-155.73,160.81
27,0,27095,Nick Watney,3.88,201.87,-151.89,118.40
28,0,24924,Bill Haas,3.84,199.89,-129.72,166.38
29,0,26329,Louis Oosthuizen,3.79,197.32,-193.39,70.00
30,0,32839,Hideki Matsuyama,3.56,142.46,-33.67,124.45
31,0,33199,Matteo Manassero,3.01,156.26,-85.45,107.02
32,0,27436,Graham DeLaet,2.95,147.71,-29.20,136.63
