RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
34,0,26596,Ryan Moore,7.63,61,799,-0.016
35,0,28310,Lee Williams,7.61,54,710,+0.056
36,0,30926,Chris Kirk,7.59,86,1133,+0.198
37,0,24024,Zach Johnson,7.58,71,937,-0.014
38,0,08793,Tiger Woods,7.48,45,602,+0.267
39,0,25834,Daniel Summerhays,7.37,80,1086,+0.113
40,0,20098,Stuart Appleby,7.36,81,1100,+0.136
41,0,12782,Tim Herron,7.35,45,612,-0.022
42,0,25572,Graeme McDowell,7.34,38,518,-0.026
43,0,20593,Greg Chalmers,7.29,71,974,+0.338
44,0,22371,Aaron Baddeley,7.20,59,820,+0.254
44,0,20229,Stewart Cink,7.20,56,778,+0.286
44,0,23788,D.J. Trahan,7.20,38,528,+0.158
47,0,28135,Aaron Watkins,7.16,35,489,+0.429
48,0,27933,John Merrick,7.15,68,951,+0.044
49,0,25240,D.A. Points,7.07,67,948,+0.179
50,0,28259,Sangmoon Bae,6.99,70,1002,+0.186
51,0,20160,Charlie Wi,6.97,64,918,+0.156
52,0,27120,Troy Matteson,6.94,57,821,+0.158
53,0,06527,Steve Stricker,6.90,34,493,-0.176
54,0,23638,Brendon de Jonge,6.88,93,1352,+0.054
54,0,26331,Charl Schwartzel,6.88,52,756,+0.058
56,0,21753,Brian Davis,6.83,79,1157,+0.114
57,0,22806,Doug LaBelle II,6.80,56,823,+0.107
58,0,19846,Brian Gay,6.77,67,990,+0.164
59,0,26300,Matt Jones,6.76,66,976,-0.030
60,0,23497,Tag Ridings,6.70,54,806,+0.315
61,0,28092,D.H. Lee,6.68,54,808,+0.222
61,0,30163,Henrik Norlander,6.68,55,823,+0.127
63,0,27214,Kevin Streelman,6.66,63,946,-0.016
64,0,08075,Jerry Kelly,6.63,59,890,+0.119
64,0,24140,Sean O'Hair,6.63,47,709,+0.043
66,0,36884,Ben Kohles,6.61,57,862,+0.246
67,0,24490,George McNeill,6.59,59,895,+0.169
68,0,30711,Colt Knost,6.58,53,806,+0.321
69,0,25818,Scott Piercy,6.56,57,869,+0.211
70,0,20848,Ángel Cabrera,6.55,52,794,E
70,0,26679,Kevin Stadler,6.55,63,962,+0.079
72,0,24846,Ricky Barnes,6.51,59,906,+0.085
73,0,25345,Carl Pettersson,6.48,58,895,+0.293
73,0,33418,Shawn Stefani,6.48,45,694,+0.111
75,0,23108,Matt Kuchar,6.44,62,963,-0.016
76,0,24494,Erik Compton,6.41,58,905,+0.103
77,0,32698,Bobby Gates,6.40,34,531,+0.235
78,0,23409,James Driscoll,6.39,56,877,+0.304
78,0,24781,Hunter Mahan,6.39,61,955,-0.049
80,0,24357,K.J. Choi,6.38,56,878,+0.071
80,0,34431,Robert Streb,6.38,55,862,+0.255
82,0,21731,Freddie Jacobson,6.37,41,644,+0.098
82,0,22961,David Mathis,6.37,55,864,+0.073
84,0,27408,Martin Kaymer,6.31,37,586,-0.027
84,0,22295,Darron Stiles,6.31,37,586,+0.243
86,0,21209,Sergio Garcia,6.27,41,654,E
87,0,21099,David Lynn,6.26,49,783,+0.122
88,0,29289,S.Y. Noh,6.24,54,865,-0.019
89,0,26476,Chez Reavie,6.21,58,934,+0.069
90,0,26758,David Hearn,6.18,63,1019,-0.063
91,0,24361,Pat Perez,6.17,55,891,+0.164
92,0,10860,Justin Leonard,6.13,64,1044,+0.234
93,0,28089,Jason Day,6.12,52,850,+0.096
94,0,32200,Roberto Castro,6.07,71,1170,+0.113
95,0,33419,Cameron Tringale,6.03,63,1044,-0.016
96,0,29479,Scott Brown,6.01,46,766,+0.130
97,0,25686,Jason Dufner,5.98,51,853,+0.020
98,0,27503,Steve LeBrun,5.94,44,741,+0.091
98,0,25336,Alistair Presnell,5.94,38,640,+0.158
100,0,24227,Justin Bolli,5.93,38,641,+0.184
101,0,30750,Tommy Gainey,5.90,62,1050,+0.113
101,0,27649,Brandt Snedeker,5.90,48,813,+0.021
103,0,24502,Adam Scott,5.88,36,612,-0.056
104,0,24138,Ian Poulter,5.83,32,549,+0.281
104,0,29221,Webb Simpson,5.83,57,978,+0.018
106,0,22405,Justin Rose,5.75,37,644,-0.081
107,0,27770,Camilo Villegas,5.72,51,892,+0.137
108,0,20572,Rod Pampling,5.71,28,490,+0.357
109,0,02206,David Toms,5.63,25,444,+0.200
110,0,24507,Jason Bohn,5.54,51,920,+0.098
111,0,21528,Henrik Stenson,5.52,34,616,E
112,0,20766,Padraig Harrington,5.51,27,490,+0.259
113,0,30110,Kyle Stanley,5.46,46,842,+0.130
114,0,31202,William McGirt,5.45,54,990,+0.315
115,0,34409,David Lingmerth,5.43,43,792,+0.047
116,0,19970,Robert Karlsson,5.42,28,517,+0.143
117,0,27095,Nick Watney,5.39,55,1021,+0.109
118,0,23452,Nicolas Colsaerts,5.36,27,504,+0.037
119,0,23541,Ben Crane,5.35,41,767,+0.146
120,0,33141,Keegan Bradley,5.34,54,1011,+0.056
121,0,25274,Steven Bowditch,5.32,43,808,+0.070
121,0,29518,Brendan Steele,5.32,57,1072,+0.053
123,0,35539,Luke Guthrie,5.30,48,906,+0.354
124,0,24358,Robert Garrigus,5.29,36,680,-0.028
124,0,22913,John Rollins,5.29,50,946,+0.040
124,0,20645,John Senden,5.29,45,850,+0.267
127,0,30944,Jason Kokrak,5.28,53,1004,+0.226
128,0,32366,Kevin Chappell,5.25,49,934,+0.184
129,0,06567,Vijay Singh,5.24,35,668,-0.114
130,0,30852,Ryo Ishikawa,5.22,40,767,+0.175
131,0,30692,Scott Stallings,5.20,48,923,+0.354
132,0,22792,Peter Hanson,5.19,24,462,+0.417
132,0,25804,Bubba Watson,5.19,43,829,+0.209
134,0,22046,Geoff Ogilvy,5.15,30,582,+0.267
134,0,22056,Cameron Percy,5.15,41,796,+0.268
136,0,27129,Luke List,5.11,37,724,+0.568
137,0,34098,Russell Henley,5.10,47,921,+0.043
138,0,23621,Rory Sabbatini,5.08,51,1003,+0.098
138,0,25632,Jimmy Walker,5.08,53,1044,-0.057
140,0,27936,Martin Laird,5.03,37,736,+0.189
141,0,24924,Bill Haas,4.96,48,968,+0.146
142,0,24663,Y.E. Yang,4.72,27,572,+0.296
143,0,29425,Andrew Svoboda,4.70,23,489,+0.348
144,0,23320,Ryan Palmer,4.69,45,960,+0.111
145,0,20691,Greg Owen,4.67,43,920,+0.116
146,0,32448,James Hahn,4.60,43,934,+0.279
147,0,27330,Josh Teater,4.59,39,849,+0.231
148,0,08725,Tom Gillis,4.55,38,836,+0.026
149,0,28500,Martin Flores,4.53,48,1059,+0.104
150,0,23623,Bo Van Pelt,4.51,34,754,+0.088
151,0,23325,Vaughn Taylor,4.46,25,560,+0.120
152,0,25900,Lucas Glover,4.43,32,722,+0.125
153,0,31323,Gary Woodland,4.40,51,1159,+0.078
154,0,21961,Charles Howell III,4.38,49,1118,+0.184
155,0,12716,Charley Hoffman,4.33,44,1016,+0.136
155,0,28780,Nicholas Thompson,4.33,52,1200,+0.346
157,0,24399,Scott Gardiner,4.28,31,725,+0.161
158,0,28455,Will Claxton,4.23,33,781,+0.242
159,0,30925,Dustin Johnson,4.18,30,717,+0.300
160,0,06522,Ernie Els,4.17,28,672,-0.036
160,0,28475,Jeff Overton,4.17,43,1030,+0.209
162,0,29420,Billy Horschel,4.15,48,1156,+0.250
163,0,34099,Harris English,4.12,47,1142,+0.170
164,0,28679,Fabián Gómez,4.10,32,780,+0.250
165,0,23135,Tim Clark,3.99,24,601,+0.083
166,0,33461,Morgan Hoffmann,3.78,28,741,-0.143
167,0,01724,Jeff Maggert,3.77,30,796,+0.267
168,0,31557,Jim Herman,3.75,23,614,-0.087
169,0,37273,Derek Ernst,3.65,25,685,+0.240
170,0,27644,Brian Harman,3.59,38,1059,+0.289
171,0,34360,Patrick Reed,3.58,37,1033,+0.027
172,0,28307,Matt Every,3.49,39,1117,+0.359
173,0,26289,Boo Weekley,3.46,40,1156,+0.200
174,0,34046,Jordan Spieth,3.43,32,934,-0.031
175,0,25562,Andres Romero,3.31,24,726,+0.208
176,0,33869,Eric Meierdierks,3.30,17,515,+0.412
177,0,20396,Lee Westwood,3.22,23,714,-0.043
178,0,34021,Bud Cauley,2.56,20,781,+0.250
179,0,28237,Rory McIlroy,2.09,12,573,+0.333
180,0,01810,Phil Mickelson,1.88,15,796,+0.067
