RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,33448,Justin Thomas,25.88,368,1422,46
2,0,34046,Jordan Spieth,25.50,358,1404,4
3,0,32839,Hideki Matsuyama,24.71,338,1368,16
4,0,32102,Rickie Fowler,24.20,331,1368,51
5,0,36689,Brooks Koepka,24.10,347,1440,148
6,0,28089,Jason Day,23.99,285,1188,139
7,0,46970,Jon Rahm,23.56,352,1494,21
8,0,22405,Justin Rose,23.26,268,1152,25
9,0,27129,Luke List,23.19,409,1764,14
10,0,29725,Tony Finau,23.02,431,1872,17
11,0,25818,Scott Piercy,22.97,277,1206,59
12,0,30925,Dustin Johnson,22.86,288,1260,9
13,0,27649,Brandt Snedeker,22.78,205,900,48
14,0,31420,Anirban Lahiri,22.61,293,1296,149
15,0,24358,Robert Garrigus,22.53,292,1296,9
16,0,12716,Charley Hoffman,22.43,436,1944,67
17,0,01810,Phil Mickelson,22.29,321,1440,163
18,0,25364,Paul Casey,22.10,358,1620,3
18,0,34213,Grayson Murray,22.10,358,1620,135
20,0,29223,Sam Saunders,22.06,278,1260,110
21,0,20229,Stewart Cink,22.04,369,1674,18
21,0,48081,Xander Schauffele,22.04,365,1656,26
23,0,35891,Cameron Smith,22.02,325,1476,157
24,0,28237,Rory McIlroy,21.99,190,864,96
24,0,25198,Francesco Molinari,21.99,285,1296,41
26,0,23621,Rory Sabbatini,21.97,257,1170,39
27,0,40026,Daniel Berger,21.96,340,1548,64
28,0,26851,Marc Leishman,21.91,355,1620,50
29,0,30110,Kyle Stanley,21.83,393,1800,2
30,0,46601,Trey Mullinax,21.82,322,1476,52
31,0,29518,Brendan Steele,21.76,329,1512,42
32,0,35532,Tom Hoge,21.74,180,828,85
33,0,34098,Russell Henley,21.71,379,1746,30
34,0,25686,Jason Dufner,21.68,320,1476,44
35,0,25396,Kevin Na,21.61,319,1476,102
36,0,49771,J.T. Poston,21.58,338,1566,101
37,0,33141,Keegan Bradley,21.57,396,1836,20
38,0,46501,Ollie Schniederjans,21.46,336,1566,86
39,0,27770,Camilo Villegas,21.45,278,1296,177
40,0,33204,Shane Lowry,21.43,189,882,34
41,0,35450,Patrick Cantlay,21.41,185,864,13
41,0,29461,Jamie Lovemark,21.41,370,1728,82
43,0,23497,Tag Ridings,21.37,227,1062,89
44,0,24502,Adam Scott,21.36,223,1044,49
45,0,27141,J.B. Holmes,21.35,292,1368,169
46,0,35545,Blayne Barber,21.28,272,1278,33
47,0,28252,Seamus Power,21.25,306,1440,96
48,0,32366,Kevin Chappell,21.23,344,1620,109
49,0,29926,Danny Lee,21.22,340,1602,81
50,0,46550,Brandon Hagy,21.21,294,1386,125
51,0,24361,Pat Perez,21.17,343,1620,78
52,0,27974,Sung Kang,21.13,388,1836,84
52,0,25572,Graeme McDowell,21.13,213,1008,167
54,0,21209,Sergio Garcia,21.06,235,1116,8
55,0,29720,Andres Gonzales,21.01,261,1242,31
56,0,25900,Lucas Glover,20.99,340,1620,6
56,0,29221,Webb Simpson,20.99,374,1782,104
58,0,28307,Matt Every,20.95,264,1260,184
59,0,26476,Chez Reavie,20.94,358,1710,40
60,0,31323,Gary Woodland,20.91,335,1602,11
61,0,27963,Chris Stroud,20.90,222,1062,77
62,0,27644,Brian Harman,20.89,376,1800,137
62,0,34360,Patrick Reed,20.89,376,1800,173
64,0,33122,Russell Knox,20.87,263,1260,69
65,0,27436,Graham DeLaet,20.83,285,1368,22
65,0,32333,Kevin Tway,20.83,330,1584,120
67,0,31416,Derek Fathauer,20.81,281,1350,164
67,0,34409,David Lingmerth,20.81,281,1350,158
69,0,34264,Hudson Swafford,20.80,337,1620,23
70,0,48822,Sebastián Muñoz,20.75,183,882,154
70,0,29289,S.Y. Noh,20.75,325,1566,99
72,0,46440,Smylie Kaufman,20.74,265,1278,108
73,0,23325,Vaughn Taylor,20.70,313,1512,64
74,0,30926,Chris Kirk,20.68,309,1494,62
75,0,30944,Jason Kokrak,20.64,353,1710,58
76,0,39954,Cody Gribble,20.63,286,1386,165
76,0,31646,Emiliano Grillo,20.63,323,1566,54
78,0,23108,Matt Kuchar,20.59,341,1656,62
79,0,26331,Charl Schwartzel,20.56,222,1080,179
80,0,33413,Ben Martin,20.53,292,1422,68
81,0,33399,Adam Hadwin,20.52,362,1764,114
82,0,24140,Sean O'Hair,20.50,310,1512,73
83,0,39975,Michael Kim,20.49,332,1620,93
84,0,34021,Bud Cauley,20.45,324,1584,38
85,0,27958,Ryan Blaum,20.37,352,1728,107
85,0,37189,Harold Varner III,20.37,363,1782,32
87,0,47959,Bryson DeChambeau,20.35,326,1602,105
87,0,29478,Kevin Kisner,20.35,359,1764,75
89,0,27064,Jhonattan Vegas,20.31,329,1620,88
90,0,29740,Brad Fritsch,20.30,190,936,129
91,0,28420,Ryan Brehm,20.27,281,1386,37
92,0,35506,Mackenzie Hughes,20.25,379,1872,119
92,0,32757,Patton Kizzire,20.25,277,1368,147
94,0,27936,Martin Laird,20.21,302,1494,90
95,0,26596,Ryan Moore,20.18,287,1422,115
96,0,29222,Billy Hurley III,20.14,290,1440,142
97,0,34099,Harris English,20.10,275,1368,134
98,0,29479,Scott Brown,20.09,329,1638,128
99,0,27895,Jonas Blixt,20.08,253,1260,180
100,0,26300,Matt Jones,20.04,202,1008,159
100,0,37278,Nicholas Lindheim,20.04,202,1008,95
102,0,39324,J.J. Spaun,20.03,310,1548,47
103,0,25804,Bubba Watson,20.02,227,1134,161
104,0,40009,Dominic Bozzelli,20.00,234,1170,175
105,0,21961,Charles Howell III,19.92,294,1476,52
106,0,46732,Rick Lamb,19.89,179,900,56
106,0,47128,Richy Werenski,19.89,265,1332,36
108,0,24024,Zach Johnson,19.84,275,1386,129
109,0,37454,Whee Kim,19.83,257,1296,168
110,0,33461,Morgan Hoffmann,19.82,314,1584,143
111,0,32640,Troy Merritt,19.81,271,1368,117
112,0,34466,Peter Malnati,19.74,302,1530,171
113,0,46443,Brian Campbell,19.72,181,918,152
114,0,31557,Jim Herman,19.70,266,1350,24
115,0,22371,Aaron Baddeley,19.69,202,1026,169
116,0,33419,Cameron Tringale,19.68,294,1494,127
117,0,33948,Byeong Hun An,19.60,254,1296,131
118,0,34358,Jonathan Randolph,19.58,222,1134,161
119,0,27214,Kevin Streelman,19.57,310,1584,64
120,0,30692,Scott Stallings,19.55,271,1386,28
121,0,24138,Ian Poulter,19.53,239,1224,126
122,0,22056,Cameron Percy,19.49,228,1170,7
123,0,24924,Bill Haas,19.48,298,1530,27
124,0,48084,Wesley Bryan,19.47,319,1638,183
125,0,26499,Rafa Cabrera Bello,19.44,210,1080,166
125,0,25349,Tim Wilkinson,19.44,203,1044,133
127,0,25493,Nick Taylor,19.42,332,1710,79
128,0,28500,Martin Flores,19.41,283,1458,1
128,0,26289,Boo Weekley,19.41,255,1314,19
130,0,30191,Julián Etulain,19.40,220,1134,59
130,0,28679,Fabián Gómez,19.40,206,1062,123
132,0,34431,Robert Streb,19.39,328,1692,112
133,0,20771,Steven Alker,19.31,219,1134,113
134,0,28132,Tyrone Van Aswegen,19.30,337,1746,75
135,0,25632,Jimmy Walker,19.23,225,1170,143
136,0,32448,James Hahn,19.21,332,1728,82
137,0,20157,Retief Goosen,19.20,159,828,136
137,0,25240,D.A. Points,19.20,235,1224,57
137,0,33418,Shawn Stefani,19.20,235,1224,35
140,0,19803,Ryan Armour,19.11,203,1062,5
141,0,19846,Brian Gay,19.09,268,1404,145
141,0,25834,Daniel Summerhays,19.09,323,1692,150
143,0,12510,Chad Campbell,19.07,333,1746,15
144,0,24846,Ricky Barnes,19.02,315,1656,145
145,0,28093,Miguel Angel Carballo,19.01,195,1026,116
146,0,27095,Nick Watney,19.00,236,1242,72
147,0,29420,Billy Horschel,18.99,294,1548,28
148,0,35879,Kelly Kraft,18.94,242,1278,154
149,0,34174,John Huh,18.88,299,1584,92
150,0,33120,Mark Anderson,18.80,176,936,98
151,0,29485,Brett Stegmaier,18.79,257,1368,61
152,0,23541,Ben Crane,18.78,267,1422,93
152,0,26951,Johnson Wagner,18.78,213,1134,55
154,0,26329,Louis Oosthuizen,18.73,209,1116,111
155,0,22986,Søren Kjeldsen,18.71,165,882,174
155,0,31560,Brian Stuard,18.71,293,1566,151
157,0,35110,Brett Drewitt,18.66,178,954,118
158,0,25191,Gonzalo Fernandez-Castaño,18.65,188,1008,172
159,0,40058,Zac Blair,18.63,332,1782,122
160,0,30852,Ryo Ishikawa,18.55,187,1008,152
161,0,20593,Greg Chalmers,18.54,237,1278,185
162,0,26758,David Hearn,18.43,282,1530,120
163,0,31202,William McGirt,18.41,275,1494,45
164,0,36699,Patrick Rodgers,18.39,245,1332,91
165,0,25345,Carl Pettersson,18.27,194,1062,188
166,0,29974,Branden Grace,18.25,207,1134,73
167,0,24781,Hunter Mahan,18.08,231,1278,124
168,0,23320,Ryan Palmer,18.03,172,954,70
169,0,25720,Chad Collins,17.92,200,1116,182
169,0,20104,Ken Duke,17.92,229,1278,140
171,0,32150,Michael Thompson,17.86,180,1008,140
172,0,35300,Andrew Loupe,17.84,167,936,186
173,0,29908,C.T. Pan,17.83,276,1548,43
174,0,23983,Luke Donald,17.82,154,864,176
175,0,22046,Geoff Ogilvy,17.75,230,1296,102
176,0,24357,K.J. Choi,17.59,209,1188,160
177,0,37455,Si Woo Kim,17.56,237,1350,187
178,0,36801,Mark Hubbard,17.49,233,1332,106
