RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,28089,Jason Day,27.08,351,1296
2,0,34046,Jordan Spieth,25.69,407,1584
3,0,25804,Bubba Watson,25.08,307,1224
4,0,22405,Justin Rose,24.83,295,1188
5,0,30925,Dustin Johnson,24.61,319,1296
6,0,33448,Justin Thomas,23.90,456,1908
7,0,32839,Hideki Matsuyama,23.44,384,1638
8,0,29725,Tony Finau,23.43,447,1908
9,0,27141,J.B. Holmes,23.40,358,1530
10,0,36689,Brooks Koepka,23.05,336,1458
11,0,25632,Jimmy Walker,23.00,356,1548
12,0,21528,Henrik Stenson,22.96,248,1080
13,0,32102,Rickie Fowler,22.76,295,1296
14,0,29518,Brendan Steele,22.75,344,1512
15,0,26300,Matt Jones,22.61,350,1548
16,0,01810,Phil Mickelson,22.54,284,1260
17,0,34265,Will Wilcox,22.53,219,972
18,0,24361,Pat Perez,22.51,389,1728
19,0,29926,Danny Lee,22.50,486,2160
20,0,24507,Jason Bohn,22.46,384,1710
20,0,33418,Shawn Stefani,22.46,380,1692
22,0,34431,Robert Streb,22.37,443,1980
23,0,34264,Hudson Swafford,22.34,382,1710
24,0,21209,Sergio Garcia,22.32,225,1008
25,0,34360,Patrick Reed,22.28,401,1800
26,0,23108,Matt Kuchar,22.22,376,1692
26,0,25892,Steve Wheatcroft,22.22,332,1494
28,0,24024,Zach Johnson,22.16,347,1566
29,0,36699,Patrick Rodgers,22.12,211,954
30,0,12716,Charley Hoffman,22.10,374,1692
31,0,25364,Paul Casey,22.02,325,1476
31,0,34098,Russell Henley,22.02,333,1512
33,0,25396,Kevin Na,21.99,376,1710
34,0,35532,Tom Hoge,21.87,311,1422
35,0,33141,Keegan Bradley,21.83,330,1512
36,0,40026,Daniel Berger,21.82,381,1746
37,0,23621,Rory Sabbatini,21.81,318,1458
38,0,26596,Ryan Moore,21.79,306,1404
38,0,20396,Lee Westwood,21.79,204,936
40,0,34563,Chesson Hadley,21.73,395,1818
40,0,33413,Ben Martin,21.73,352,1620
42,0,30944,Jason Kokrak,21.72,344,1584
43,0,29420,Billy Horschel,21.70,375,1728
44,0,25818,Scott Piercy,21.67,351,1620
45,0,26329,Louis Oosthuizen,21.60,245,1134
46,0,33667,Carlos Ortiz,21.53,372,1728
46,0,24502,Adam Scott,21.53,186,864
48,0,32366,Kevin Chappell,21.51,333,1548
49,0,35545,Blayne Barber,21.47,286,1332
50,0,22892,Jason Gore,21.45,278,1296
50,0,08075,Jerry Kelly,21.45,305,1422
52,0,27095,Nick Watney,21.43,351,1638
53,0,24140,Sean O'Hair,21.38,331,1548
54,0,23320,Ryan Palmer,21.36,296,1386
55,0,27649,Brandt Snedeker,21.35,365,1710
56,0,30852,Ryo Ishikawa,21.34,338,1584
57,0,27963,Chris Stroud,21.30,322,1512
58,0,23638,Brendon de Jonge,21.28,406,1908
59,0,25274,Steven Bowditch,21.25,394,1854
60,0,30926,Chris Kirk,21.23,279,1314
61,0,25834,Daniel Summerhays,21.18,385,1818
62,0,34099,Harris English,21.13,388,1836
63,0,26289,Boo Weekley,21.10,300,1422
64,0,29289,S.Y. Noh,21.03,246,1170
65,0,34409,David Lingmerth,20.99,340,1620
66,0,29479,Scott Brown,20.90,365,1746
67,0,20645,John Senden,20.89,282,1350
68,0,26851,Marc Leishman,20.87,263,1260
68,0,29221,Webb Simpson,20.87,293,1404
70,0,37454,Whee Kim,20.85,259,1242
70,0,24138,Ian Poulter,20.85,244,1170
70,0,30927,Brendon Todd,20.85,349,1674
73,0,33122,Russell Knox,20.83,360,1728
74,0,20229,Stewart Cink,20.78,288,1386
74,0,25686,Jason Dufner,20.78,273,1314
74,0,33461,Morgan Hoffmann,20.78,318,1530
77,0,25493,Nick Taylor,20.76,340,1638
78,0,27770,Camilo Villegas,20.75,310,1494
79,0,30711,Colt Knost,20.74,321,1548
80,0,26758,David Hearn,20.73,362,1746
81,0,27936,Martin Laird,20.71,287,1386
82,0,24490,George McNeill,20.67,346,1674
83,0,10809,Jim Furyk,20.66,238,1152
84,0,22371,Aaron Baddeley,20.65,275,1332
85,0,32448,James Hahn,20.63,349,1692
85,0,22056,Cameron Percy,20.63,260,1260
87,0,24925,Jonathan Byrd,20.60,241,1170
87,0,27436,Graham DeLaet,20.60,241,1170
87,0,35539,Luke Guthrie,20.60,304,1476
90,0,32150,Michael Thompson,20.58,300,1458
91,0,27895,Jonas Blixt,20.57,274,1332
92,0,30692,Scott Stallings,20.56,222,1080
93,0,25345,Carl Pettersson,20.55,392,1908
93,0,26331,Charl Schwartzel,20.55,233,1134
95,0,28259,Sangmoon Bae,20.52,362,1764
96,0,24494,Erik Compton,20.48,317,1548
96,0,29720,Andres Gonzales,20.48,317,1548
98,0,20593,Greg Chalmers,20.47,199,972
99,0,25900,Lucas Glover,20.46,291,1422
100,0,35451,Scott Pinckney,20.45,324,1584
101,0,26476,Chez Reavie,20.44,206,1008
102,0,23623,Bo Van Pelt,20.39,290,1422
103,0,32334,Charlie Beljan,20.37,264,1296
104,0,30946,Alex Prugh,20.35,293,1440
105,0,31557,Jim Herman,20.27,321,1584
106,0,27644,Brian Harman,20.25,328,1620
107,0,24781,Hunter Mahan,20.24,306,1512
108,0,27933,John Merrick,20.20,269,1332
109,0,20472,Alex Cejka,20.17,334,1656
110,0,28780,Nicholas Thompson,20.16,312,1548
111,0,33399,Adam Hadwin,20.13,337,1674
112,0,06567,Vijay Singh,20.09,282,1404
113,0,28679,Fabián Gómez,20.08,300,1494
114,0,23800,Bryce Molder,20.05,314,1566
115,0,20771,Steven Alker,20.00,216,1080
116,0,28475,Jeff Overton,19.99,331,1656
117,0,31323,Gary Woodland,19.97,266,1332
118,0,24358,Robert Garrigus,19.95,237,1188
119,0,29478,Kevin Kisner,19.93,373,1872
120,0,20848,Ángel Cabrera,19.92,190,954
121,0,20104,Ken Duke,19.91,319,1602
121,0,36801,Mark Hubbard,19.91,276,1386
123,0,29223,Sam Saunders,19.89,290,1458
124,0,29476,Kyle Reifers,19.87,329,1656
124,0,25562,Andres Romero,19.87,236,1188
126,0,31202,William McGirt,19.80,367,1854
127,0,34256,Andrew Putnam,19.79,228,1152
128,0,27214,Kevin Streelman,19.78,324,1638
129,0,27064,Jhonattan Vegas,19.70,305,1548
130,0,34261,Scott Langley,19.69,326,1656
130,0,26951,Johnson Wagner,19.69,241,1224
132,0,12510,Chad Campbell,19.64,343,1746
133,0,31416,Derek Fathauer,19.55,271,1386
133,0,30736,Oscar Fraustro,19.55,190,972
133,0,33486,Roger Sloan,19.55,183,936
136,0,24846,Ricky Barnes,19.52,274,1404
136,0,39977,Max Homa,19.52,260,1332
138,0,33419,Cameron Tringale,19.50,337,1728
139,0,06522,Ernie Els,19.49,200,1026
140,0,24924,Bill Haas,19.44,301,1548
141,0,25191,Gonzalo Fernandez-Castaño,19.41,269,1386
141,0,28486,Michael Putnam,19.41,297,1530
141,0,21878,Mark Wilson,19.41,297,1530
144,0,28500,Martin Flores,19.35,317,1638
145,0,25720,Chad Collins,19.34,275,1422
146,0,28023,Byron Smith,19.29,191,990
147,0,24357,K.J. Choi,19.27,215,1116
148,0,34174,John Huh,19.25,350,1818
149,0,40058,Zac Blair,19.23,360,1872
150,0,22046,Geoff Ogilvy,19.21,166,864
151,0,29535,Brice Garnett,19.20,273,1422
152,0,29425,Andrew Svoboda,19.16,269,1404
153,0,21961,Charles Howell III,19.15,362,1890
154,0,20157,Retief Goosen,19.12,265,1386
155,0,35541,John Peterson,19.05,288,1512
156,0,20691,Greg Owen,18.97,198,1044
157,0,31560,Brian Stuard,18.82,315,1674
158,0,34358,Jonathan Randolph,18.81,237,1260
159,0,34262,Jon Curran,18.78,267,1422
159,0,37273,Derek Ernst,18.78,240,1278
161,0,27466,Spencer Levin,18.73,327,1746
162,0,28132,Tyrone Van Aswegen,18.62,181,972
163,0,20766,Padraig Harrington,18.61,201,1080
164,0,21753,Brian Davis,18.56,274,1476
165,0,32640,Troy Merritt,18.50,303,1638
166,0,25198,Francesco Molinari,18.45,176,954
167,0,25240,D.A. Points,18.33,231,1260
