YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2024,0,47959,Bryson DeChambeau,$6993000,6993000,0.0
2024,0,45523,Thriston Lawrence,$896350,896350,0.0
2024,0,35891,Cameron Smith,$831096,831096,0.0
2024,0,37250,Romain Langasque,$590850,590850,0.0
2024,0,33974,Dean Burmester,$576727,576727,0.0
2024,0,46970,Jon Rahm,$509033,509033,0.0
2024,0,34360,Patrick Reed,$437587,437587,0.0
2024,0,63807,Neal Shipley,$410268,410268,0.0
2024,0,21209,Sergio Garcia,$409279,409279,0.0
2024,0,55955,Matthew Jordan,$390883,390883,0.0
2024,0,36689,Brooks Koepka,$381643,381643,0.0
2024,0,51680,Alistair Docherty,$356000,356000,0.0
2024,0,57259,Daniel Brown,$341293,341293,0.0
2024,0,58696,Peter Kuest,$336100,336100,0.0
2024,0,47888,Taiga Semikawa,$323459,323459,0.0
2024,0,45486,Joaquin Niemann,$284498,284498,0.0
2024,0,54218,Yuta Sugiura,$266050,266050,0.0
2024,0,54190,Richard Mansell,$228568,228568,0.0
2024,0,39113,Shubhankar Sharma,$221817,221817,0.0
2024,0,33199,Matteo Manassero,$221020,221020,0.0
2024,0,49813,Daniel Hillier,$207736,207736,0.0
2024,0,45734,John Catlin,$202700,202700,0.0
2024,0,51950,Max McGreevy,$189918,189918,0.0
2024,0,52686,Rasmus Hojgaard,$172766,172766,0.0
2024,0,39335,Kevin Roy,$166740,166740,0.0
2024,0,50223,Ewen Ferguson,$151067,151067,0.0
2024,0,39262,Alvaro Ortiz,$145125,145125,0.0
2024,0,60369,Sam Bairstow,$139740,139740,0.0
2024,0,30925,Dustin Johnson,$139189,139189,0.0
2024,0,50762,Alejandro Del Rey,$130800,130800,0.0
2024,0,35706,Niklas Norgaard,$130800,130800,0.0
2024,0,50584,Connor Syme,$130800,130800,0.0
2024,0,34362,Laurie Canter,$124617,124617,0.0
2024,0,37094,Joseph Dean,$124617,124617,0.0
2024,0,66583,Taisei Shimizu,$121210,121210,0.0
2024,0,59018,Ryan Gerard,$120600,120600,0.0
2024,0,1810,Phil Mickelson,$113325,113325,0.0
2024,0,50823,Tom McKibbin,$112585,112585,0.0
2024,0,30957,Max Kieffer,$111050,111050,0.0
2024,0,56781,Isaiah Salinda,$110894,110894,0.0
2024,0,55721,Alex Fitzpatrick,$100670,100670,0.0
2024,0,35296,Haotong Li,$97650,97650,0.0
2024,0,37428,Evan Harmeling,$97000,97000,0.0
2024,0,48632,Yuto Katsuragawa,$95579,95579,0.0
2024,0,48640,Johannes Veerman,$93000,93000,0.0
2024,0,50323,Minkyu Kim,$90220,90220,0.0
2024,0,39834,Guido Migliozzi,$90220,90220,0.0
2024,0,57586,Jesper Svensson,$89377,89377,0.0
2024,0,32344,Lukas Nemecz,$88632,88632,0.0
2024,0,34371,Adrien Saddier,$87800,87800,0.0
2024,0,63454,Johnny Keefer,$86515,86515,0.0
2024,0,55930,Fred Biondi,$81540,81540,0.0
2024,0,56100,Ren Yonezawa,$79560,79560,0.0
2024,0,54422,Christo Lamprecht,$76674,76674,0.0
2024,0,57737,Jayden Schaper,$76000,76000,0.0
2024,0,48052,Max Rottluff,$74400,74400,0.0
2024,0,51661,Nick Bachem,$73350,73350,0.0
2024,0,48051,Yannik Paul,$73350,73350,0.0
2024,0,46646,Antoine Rozner,$73350,73350,0.0
2024,0,49590,Frankie Capan III,$72305,72305,0.0
2024,0,50474,Tim Widing,$72305,72305,0.0
2024,0,60065,Ryan Hall,$68020,68020,0.0
2024,0,46464,Jordan Smith,$66848,66848,0.0
2024,0,27408,Martin Kaymer,$64715,64715,0.0
2024,0,36824,Paul Peterson,$63460,63460,0.0
2024,0,46368,Stuart Macdonald,$61695,61695,0.0
2024,0,23481,Marcel Siem,$61605,61605,0.0
2024,0,64594,Angel Hidalgo Portillo,$61000,61000,0.0
2024,0,35314,Andy Sullivan,$61000,61000,0.0
2024,0,58359,Mitchell Schow,$59000,59000,0.0
2024,0,59652,Sam Bennett,$57748,57748,0.0
2024,0,34500,Ryosuke Kinoshita,$57035,57035,0.0
2024,0,36852,Jim Knous,$53000,53000,0.0
2024,0,54869,Chase Johnson,$51000,51000,0.0
2024,0,39058,Lucas Herbert,$48969,48969,0.0
2024,0,61193,David Puig,$46501,46501,0.0
2024,0,37066,Grant Forrest,$45450,45450,0.0
2024,0,31113,Paul Waring,$45267,45267,0.0
2024,0,39524,Sean Crocker,$45238,45238,0.0
2024,0,46443,Brian Campbell,$44546,44546,0.0
2024,0,45526,Abraham Ancer,$42150,42150,0.0
2024,0,39958,Jeunghun Wang,$41325,41325,0.0
2024,0,39436,Joshua Creel,$39200,39200,0.0
2024,0,60019,Jackson Suber,$39113,39113,0.0
2024,0,36521,Young-han Song,$38925,38925,0.0
2024,0,57944,Andy Ogletree,$38275,38275,0.0
2024,0,20721,Darren Fichardt,$38150,38150,0.0
2024,0,58944,Blake McShea,$37946,37946,0.0
2024,0,47917,Takumi Kanaya,$37060,37060,0.0
2024,0,51734,Nicolo Galletti,$33990,33990,0.0
2024,0,45194,Marcus Armitage,$33400,33400,0.0
2024,0,48936,Ugo Coussaud,$31369,31369,0.0
2024,0,47443,Junghwan Lee,$31369,31369,0.0
2024,0,57330,Matthis Besard,$30733,30733,0.0
2024,0,59077,Spencer Cross,$30733,30733,0.0
2024,0,46879,Naoyuki Kataoka,$29410,29410,0.0
2024,0,46402,Talor Gooch,$27017,27017,0.0
2024,0,46405,Sebastian Soderberg,$23538,23538,0.0
2024,0,37446,Jacques Kruyswijk,$23400,23400,0.0
2024,0,55420,Cooper Musselman,$23400,23400,0.0
2024,0,30756,Andrea Pavan,$23400,23400,0.0
2024,0,63181,Braden Shattuck,$22830,22830,0.0
2024,0,39859,Cristobal Del Solar,$22194,22194,0.0
2024,0,46628,Jeremy Wells,$22140,22140,0.0
2024,0,51151,Todd Clements,$21800,21800,0.0
2024,0,57688,Casey Jarvis,$21800,21800,0.0
2024,0,56555,Myles Creighton,$21526,21526,0.0
2024,0,33870,Ashun Wu,$20700,20700,0.0
2024,0,35490,Wil Bateman,$20586,20586,0.0
2024,0,49120,Kensei Hirata,$20358,20358,0.0
2024,0,57123,Steven Fisk,$20292,20292,0.0
2024,0,33459,Jens Dantorp,$19440,19440,0.0
2024,0,46837,Yuxin Lin,$19404,19404,0.0
2024,0,58188,James Nicholas,$19135,19135,0.0
2024,0,28340,Julien Guerrier,$18900,18900,0.0
2024,0,28593,Jesse Mueller,$18392,18392,0.0
2024,0,58816,Marcus Byrd,$17925,17925,0.0
2024,0,59567,Emilio Gonzalez,$17654,17654,0.0
2024,0,46594,Ricardo Gouveia,$17400,17400,0.0
2024,0,59827,Tom Vaillant,$17400,17400,0.0
2024,0,29939,Fabrizio Zanotti,$17400,17400,0.0
2024,0,52411,Kyle Westmoreland,$17200,17200,0.0
2024,0,32775,Shugo Imahira,$16830,16830,0.0
2024,0,30852,Ryo Ishikawa,$16830,16830,0.0
2024,0,48001,Zach Bauchou,$15984,15984,0.0
2024,0,29675,Dan McCarthy,$15330,15330,0.0
2024,0,27747,Hiroshi Iwata,$14960,14960,0.0
2024,0,65465,Connor Jones,$14766,14766,0.0
2024,0,32686,Takahiro Hataji,$14705,14705,0.0
2024,0,12195,Tom Johnson,$14563,14563,0.0
2024,0,46270,Takashi Ogiso,$14280,14280,0.0
2024,0,33404,Chris Baker,$14007,14007,0.0
2024,0,55623,Kaito Onishi,$13770,13770,0.0
2024,0,65423,Egor Eroshenko,$13455,13455,0.0
2024,0,27506,Oliver Wilson,$13400,13400,0.0
2024,0,47125,Matt Atkins,$12240,12240,0.0
2024,0,34607,Francesco Laporta,$10307,10307,0.0
2024,0,51635,Chris Nido,$10253,10253,0.0
2024,0,52462,Chase Hanna,$9640,9640,0.0
2024,0,55509,Hurly Long,$9640,9640,0.0
2024,0,55074,Sebastian Friedrichsen,$9360,9360,0.0
2024,0,46404,Marcus Kinhult,$9360,9360,0.0
2024,0,55940,Andrew Wilson,$9360,9360,0.0
2024,0,48929,Santiago Tarrio,$9240,9240,0.0
2024,0,32662,Michael Gligic,$9160,9160,0.0
2024,0,32627,Espen Kofstad,$9080,9080,0.0
2024,0,58989,Brandon Berry,$8600,8600,0.0
2024,0,59570,Tyler Collet,$8360,8360,0.0
2024,0,51690,Taylor Dickson,$8360,8360,0.0
2024,0,24494,Erik Compton,$8200,8200,0.0
2024,0,64052,Angel Ayora,$8120,8120,0.0
2023,0,36689,Brooks Koepka,$5057192,5057192,0.0
2023,0,35891,Cameron Smith,$1637180,1637180,0.0
2023,0,1810,Phil Mickelson,$1617250,1617250,0.0
2023,0,34360,Patrick Reed,$1086934,1086934,0.0
2023,0,52215,Robert MacIntyre,$1023050,1023050,0.0
2023,0,47959,Bryson DeChambeau,$960052,960052,0.0
2023,0,47679,Victor Perez,$669594,555832,113762.0
2023,0,33974,Dean Burmester,$612165,612165,0.0
2023,0,51287,Ryo Hisatsune,$588502,588502,0.0
2023,0,33674,Adrian Meronk,$584369,364460,219909.0
