RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
83,0,33448,Justin Thomas,6,6,4,4,2013260
83,0,33419,Cameron Tringale,6,0,2,12,2013030
83,0,26951,Johnson Wagner,6,3,1,12,2013220
83,0,25841,Marc Warren,6,0,1,17,2013350
83,0,27095,Nick Watney,6,0,1,1,2013140
83,0,32139,Danny Willett,6,1,1,12,2013310
132,0,20771,Steven Alker,5,0,1,2,2013020
132,0,33120,Mark Anderson,5,5,3,9,2013020
132,0,01024,Billy Andrade,5,0,1,18,2013320
132,0,24227,Justin Bolli,5,1,2,8,2013210
132,0,12510,Chad Campbell,5,3,4,6,2013240
132,0,37450,Donald Constable,5,0,1,16,2013190
132,0,01249,John Daly,5,1,4,4,2013240
132,0,23638,Brendon de Jonge,5,4,1,2,2013260
132,0,27436,Graham DeLaet,5,0,1,1,2013140
132,0,06251,Chris DiMarco,5,0,2,2,2013320
132,0,25369,Jamie Donaldson,5,1,1,4,2013090
132,0,20104,Ken Duke,5,1,4,9,2013340
132,0,01320,Bob Estes,5,0,1,14,2013150
132,0,28307,Matt Every,5,1,1,10,2013370
132,0,25191,Gonzalo Fernandez-Castaño,5,1,4,14,2013250
132,0,39412,Zack Fischer,5,2,1,9,2013210
132,0,30750,Tommy Gainey,5,0,1,4,2013350
132,0,23718,Nathan Green,5,2,1,13,2013150
132,0,32448,James Hahn,5,1,1,16,2013360
132,0,01473,Todd Hamilton,5,0,3,4,2013060
132,0,27644,Brian Harman,5,1,1,13,2013170
132,0,31557,Jim Herman,5,5,2,16,2013320
132,0,12716,Charley Hoffman,5,1,4,11,2013350
132,0,26908,Yuta Ikeda,5,5,1,4,2013020
132,0,21350,Ryuji Imada,5,0,2,16,2013210
132,0,30852,Ryo Ishikawa,5,0,2,13,2013120
132,0,06573,Brandt Jobe,5,0,4,5,2013220
132,0,26300,Matt Jones,5,1,1,11,2013240
132,0,35087,Bio Kim,5,5,2,12,2013250
132,0,33122,Russell Knox,5,1,2,7,2013100
132,0,23552,Hank Kuehne,5,0,4,10,2013040
132,0,19904,Paul Lawrie,5,0,1,6,2013340
132,0,27503,Steve LeBrun,5,0,2,8,2013270
132,0,28092,D.H. Lee,5,4,1,12,2013040
132,0,26695,Michael Letzig,5,4,2,7,2013290
132,0,01706,Davis Love III,5,0,4,16,2013240
132,0,23548,Bill Lunde,5,0,2,1,2013060
132,0,33199,Matteo Manassero,5,0,1,4,2013340
132,0,28237,Rory McIlroy,5,2,1,6,2013110
132,0,24490,George McNeill,5,0,2,11,2013370
132,0,01810,Phil Mickelson,5,2,4,14,2013040
132,0,26596,Ryan Moore,5,0,1,1,2013220
132,0,22348,Nick O'Hern,5,0,4,2,2013060
132,0,28475,Jeff Overton,5,0,3,8,2013090
132,0,20691,Greg Owen,5,0,1,8,2013260
132,0,01928,Corey Pavin,5,2,2,12,2013070
132,0,24361,Pat Perez,5,0,1,12,2013230
132,0,27556,Ted Potter Jr.,5,1,2,18,2013250
132,0,26476,Chez Reavie,5,2,2,4,2013190
132,0,36699,Patrick Rodgers,5,5,1,5,2013290
132,0,23621,Rory Sabbatini,5,1,2,18,2013260
132,0,26331,Charl Schwartzel,5,3,3,14,2013230
132,0,24502,Adam Scott,5,0,1,16,2013070
132,0,20645,John Senden,5,0,1,1,2013130
132,0,06567,Vijay Singh,5,1,2,4,2013270
132,0,33486,Roger Sloan,5,0,1,4,2013320
132,0,22293,Heath Slocum,5,3,1,12,2013100
132,0,08375,Paul Stankowski,5,5,1,2,2013300
132,0,30110,Kyle Stanley,5,1,2,6,2013090
132,0,24459,Richard Sterne,5,0,3,4,2013340
132,0,34431,Robert Streb,5,2,1,1,2013150
132,0,27963,Chris Stroud,5,0,2,10,2013220
132,0,31560,Brian Stuard,5,1,3,4,2013220
132,0,25834,Daniel Summerhays,5,0,1,7,2013300
132,0,06595,Kevin Sutherland,5,0,2,1,2013240
132,0,23325,Vaughn Taylor,5,3,1,8,2013220
132,0,36471,Guan Tian Liang,5,1,3,16,2013160
132,0,02239,Scott Verplank,5,3,1,6,2013170
132,0,28135,Aaron Watkins,5,0,3,13,2013060
132,0,25804,Bubba Watson,5,1,4,5,2013340
132,0,26289,Boo Weekley,5,2,3,6,2013290
132,0,08793,Tiger Woods,5,5,3,10,2013400
132,0,24663,Y.E. Yang,5,0,1,5,2013020
205,0,10885,Robert Allenby,4,0,4,8,2013230
205,0,24846,Ricky Barnes,4,1,2,15,2013210
205,0,01116,Michael Bradley,4,1,1,18,2013170
205,0,29479,Scott Brown,4,0,1,2,2013320
205,0,20848,Ángel Cabrera,4,0,4,15,2013340
205,0,35450,Patrick Cantlay,4,1,2,6,2013070
205,0,25364,Paul Casey,4,3,2,5,2013340
205,0,28455,Will Claxton,4,2,2,6,2013090
205,0,01226,Fred Couples,4,2,2,3,2013230
205,0,34262,Jon Curran,4,0,2,4,2013100
205,0,22621,Ben Curtis,4,0,2,2,2013270
205,0,08931,Glen Day,4,4,3,15,2013300
205,0,06522,Ernie Els,4,1,1,3,2013130
205,0,37273,Derek Ernst,4,0,2,6,2013370
205,0,01329,Brad Faxon,4,1,1,7,2013260
205,0,27896,Ross Fisher,4,1,1,16,2013140
205,0,07457,Steve Flesch,4,1,1,18,2013060
205,0,24083,Marcus Fraser,4,1,3,12,2013110
205,0,20376,Stephen Gallacher,4,0,3,3,2013340
205,0,24358,Robert Garrigus,4,0,4,7,2013050
205,0,32698,Bobby Gates,4,1,2,1,2013140
205,0,28679,Fabián Gómez,4,1,3,13,2013320
205,0,29974,Branden Grace,4,0,1,4,2013130
205,0,24604,Hunter Haas,4,0,2,3,2013140
205,0,35901,Paul Haley II,4,3,1,1,2013300
205,0,26758,David Hearn,4,0,2,2,2013290
205,0,23353,J.J. Henry,4,0,4,17,2013320
205,0,25444,Justin Hicks,4,0,1,1,2013220
205,0,24024,Zach Johnson,4,0,1,8,2013290
205,0,27408,Martin Kaymer,4,0,3,16,2013360
205,0,24503,Jeff Klauk,4,0,2,16,2013120
205,0,36884,Ben Kohles,4,0,2,2,2013140
205,0,34261,Scott Langley,4,0,2,15,2013290
205,0,24940,Edward Loar,4,0,2,15,2013050
205,0,27060,John Mallinger,4,0,4,2,2013060
205,0,10585,Scott McCarron,4,0,1,7,2013030
205,0,33869,Eric Meierdierks,4,0,1,7,2013100
205,0,23800,Bryce Molder,4,3,1,14,2013370
205,0,21949,Joe Ogilvie,4,4,2,9,2013300
205,0,33968,Thorbjørn Olesen,4,4,4,6,2013350
205,0,23320,Ryan Palmer,4,2,4,10,2013270
205,0,12660,Jesper Parnevik,4,4,1,16,2013320
205,0,35541,John Peterson,4,0,4,1,2013220
205,0,29531,Richie Ramsay,4,2,3,13,2013310
205,0,29476,Kyle Reifers,4,2,2,9,2013220
205,0,20127,Chris Riley,4,1,3,5,2013060
205,0,23797,Brett Rumford,4,0,2,8,2013340
205,0,20580,Andre Stolz,4,0,1,8,2013300
205,0,30927,Brendon Todd,4,4,2,18,2013290
205,0,28118,Peter Tomasulo,4,0,3,13,2013190
205,0,29484,Peter Uihlein,4,1,1,16,2013100
205,0,27770,Camilo Villegas,4,1,3,5,2013360
205,0,21878,Mark Wilson,4,1,1,15,2013360
205,0,31323,Gary Woodland,4,2,2,8,2013290
259,0,27796,Joe Affrunti,3,0,1,4,2013320
259,0,23048,Eric Axley,3,0,1,7,2013100
259,0,19824,Craig Barlow,3,2,1,10,2013300
259,0,26525,Grégory Bourdy,3,0,1,14,2013310
259,0,23204,Gary Christian,3,0,3,15,2013210
259,0,23452,Nicolas Colsaerts,3,0,1,12,2013230
259,0,32800,Franklin Corpening,3,1,1,5,2013220
259,0,06034,Marco Dawson,3,0,2,3,2013300
259,0,25108,Chip Deason,3,3,1,14,2013240
259,0,09011,David Duval,3,0,2,8,2013290
259,0,01343,Jon Fiedler,3,3,2,10,2013040
259,0,40098,Matt Fitzpatrick,3,3,3,16,2013310
259,0,38985,Steven Fox,3,1,1,2,2013240
259,0,12823,Carlos Franco,3,0,1,5,2013300
259,0,01388,Robert Gamez,3,3,2,8,2013300
259,0,23903,Stephen Gangluff,3,3,2,9,2013320
259,0,11132,Bob Gaus,3,3,2,15,2013350
259,0,33931,Andrew Georgiou,3,0,1,18,2013320
259,0,22892,Jason Gore,3,1,3,14,2013060
259,0,20105,Jeff Gove,3,3,3,9,2013320
259,0,06643,Paul Goydos,3,0,1,2,2013240
259,0,20378,Mathias Grönberg,3,3,2,1,2013150
259,0,27141,J.B. Holmes,3,2,4,16,2013060
259,0,31138,Scott Jamieson,3,0,2,4,2013110
259,0,23290,Andrew Johnson,3,1,2,5,2013300
259,0,20218,Shingo Katayama,3,3,3,14,2013310
259,0,28308,Troy Kelly,3,0,2,4,2013060
259,0,28258,K.T. Kim,3,1,2,5,2013310
259,0,37455,Si Woo Kim,3,3,1,16,2013320
259,0,32816,Satoshi Kodaira,3,0,2,11,2013340
259,0,36689,Brooks Koepka,3,3,1,18,2013350
259,0,35879,Kelly Kraft,3,0,3,2,2013060
259,0,11032,Frank Lickliter II,3,0,2,1,2013260
259,0,12067,Mitch Lowe,3,0,1,2,2013060
259,0,28300,Joost Luiten,3,3,1,11,2013350
259,0,22961,David Mathis,3,1,3,10,2013320
259,0,01766,Billy Mayfair,3,0,2,1,2013150
259,0,36871,Matthew NeSmith,3,0,1,2,2013240
259,0,20628,Arron Oberholser,3,0,1,14,2013140
259,0,26329,Louis Oosthuizen,3,1,1,14,2013140
259,0,01945,Kenny Perry,3,0,1,7,2013230
259,0,25863,Rod Perry,3,1,3,2,2013130
259,0,34258,Kevin Phelan,3,3,4,6,2013250
259,0,33592,Andy Pope,3,0,1,6,2013120
259,0,34358,Jonathan Randolph,3,3,4,13,2013300
259,0,40105,Nathaniel Rau,3,1,1,6,2013300
259,0,07013,Wes Short Jr.,3,3,2,8,2013300
259,0,27657,Nathan Smith,3,3,1,4,2013160
259,0,21951,Joey Snyder III,3,1,2,6,2013090
259,0,12309,Bob Sowards,3,3,2,7,2013350
259,0,36973,Ben Stow,3,3,2,3,2013310
259,0,02166,Chip Sullivan,3,3,2,18,2013350
259,0,29425,Andrew Svoboda,3,0,3,11,2013180
259,0,26668,Marc Turnesa,3,0,1,2,2013300
259,0,27064,Jhonattan Vegas,3,0,2,2,2013030
259,0,29454,Bernd Wiesberger,3,3,4,10,2013310
259,0,12602,Dean Wilson,3,1,3,9,2013020
259,0,22000,Chris Wood,3,0,1,6,2013340
259,0,28928,Gareth Wright,3,0,2,8,2013310
318,0,07867,Woody Austin,2,0,1,11,2013350
318,0,31627,Todd Baek,2,0,3,14,2013150
318,0,35545,Blayne Barber,2,0,1,1,2013210
318,0,23614,Rich Beem,2,1,2,16,2013150
318,0,10505,Shane Bertsch,2,2,4,15,2013020
318,0,10944,Thomas Bjørn,2,1,3,9,2013310
318,0,27958,Ryan Blaum,2,2,2,14,2013300
318,0,24671,David Bradshaw,2,1,1,17,2013120
318,0,01132,Mark Brooks,2,1,1,2,2013300
318,0,01142,Bart Bryant,2,2,2,15,2013030
318,0,26499,Rafa Cabrera Bello,2,1,3,11,2013350
318,0,01161,Mark Calcavecchia,2,2,2,15,2013310
318,0,19825,Darren Clarke,2,0,1,17,2013310
318,0,01200,Keith Clearwater,2,0,2,2,2013220
318,0,39997,Corey Conners,2,0,1,4,2013320
318,0,23790,Eduardo De La Riva,2,2,3,14,2013310
318,0,36983,Matt Dobyns,2,1,1,13,2013140
318,0,06621,Joe Durant,2,0,1,1,2013060
318,0,34096,Matt Fast,2,2,1,8,2013180
318,0,27144,Caine Fitzgerald,2,0,1,2,2013350
318,0,01378,David Frost,2,2,4,12,2013220
318,0,21284,Hiroyuki Fujita,2,1,2,2,2013250
318,0,33399,Adam Hadwin,2,2,1,18,2013320
318,0,31044,Matt Harmon,2,0,1,1,2013250
318,0,27554,Scott Harrington,2,0,1,16,2013070
318,0,19991,Peter Hedblom,2,0,3,11,2013250
318,0,01510,Nolan Henke,2,0,1,3,2013300
318,0,20433,Mark Hensby,2,2,1,12,2013300
318,0,20933,Kohki Idoki,2,0,2,11,2013350
318,0,39974,Steven Ihm,2,2,1,2,2013290
318,0,36799,Stephan Jaeger,2,1,1,7,2013100
318,0,24511,Thongchai Jaidee,2,2,4,4,2013350
318,0,23725,Brendan Jones,2,1,2,10,2013310
318,0,27899,Rikard Karlberg,2,0,2,12,2013250
318,0,39975,Michael Kim,2,0,2,2,2013250
318,0,29478,Kevin Kisner,2,0,3,7,2013300
318,0,25431,Rob Labritz,2,2,1,11,2013350
318,0,06332,Neal Lancaster,2,0,1,1,2013150
318,0,01666,Bernhard Langer,2,1,3,7,2013160
318,0,27400,Peter Laws,2,0,1,17,2013320
318,0,20634,Peter Lonard,2,2,1,12,2013300
318,0,12461,Paul McGinley,2,2,2,17,2013350
318,0,34469,Joey McLister,2,2,1,16,2013190
318,0,06515,Shaun Micheel,2,0,2,5,2013300
318,0,28369,George Murray,2,0,1,9,2013310
318,0,31672,Daniel Nisbet,2,1,1,3,2013170
318,0,06373,José María Olazábal,2,1,3,4,2013160
318,0,28723,John Parry,2,2,3,10,2013250
318,0,25449,Justin Peters,2,2,2,5,2013290
318,0,40190,Ryan Polzin,2,2,1,17,2013350
318,0,35957,Daniel Popovic,2,0,3,17,2013340
318,0,21959,Ted Purdy,2,2,1,15,2013300
318,0,28486,Michael Putnam,2,0,1,16,2013140
318,0,07749,Brett Quigley,2,2,3,5,2013030
318,0,25457,Alexandre Rocha,2,0,1,18,2013060
318,0,29223,Sam Saunders,2,2,4,2,2013060
318,0,21660,Jason Schultz,2,0,2,18,2013210
318,0,34259,Mark Silvers,2,2,2,18,2013280
318,0,07707,Mike Small,2,2,2,15,2013350
318,0,02133,Craig Stadler,2,2,2,16,2013160
318,0,02136,Chris Starkjohann,2,0,1,2,2013030
318,0,21498,Hideto Tanihara,2,0,2,6,2013020
318,0,27821,Steven Tiley,2,0,2,16,2013310
318,0,23788,D.J. Trahan,2,0,2,7,2013300
318,0,08385,Omar Uresti,2,2,1,12,2013300
318,0,34167,Jorge DO NOT USE Garcia,2,0,3,16,2013100
318,0,23623,Bo Van Pelt,2,0,2,11,2013340
318,0,20110,John Wade,2,0,2,3,2013310
318,0,02256,Tom Watson,2,0,2,8,2013310
318,0,36444,Michael Weaver,2,0,4,1,2013250
318,0,35459,Chris Williams,2,1,1,10,2013250
318,0,31190,Peter Williamson,2,0,1,1,2013230
318,0,20436,Garrett Willis,2,2,1,10,2013300
318,0,22110,Thaworn Wiratchant,2,0,4,13,2013110
318,0,33870,Ashun Wu,2,2,2,3,2013310
318,0,30261,Ryan Yip,2,2,2,6,2013250
394,0,29910,Blake Adams,1,1,3,17,2013030
394,0,24461,Thomas Aiken,1,0,2,15,2013310
394,0,31587,Max Alverio,1,1,2,6,2013100
394,0,06006,JC Anderson,1,0,1,10,2013350
394,0,40148,Eric Banks,1,1,2,17,2013320
394,0,39990,Kyle Bilodeau,1,0,1,17,2013260
394,0,28087,Kris Blanks,1,1,2,16,2013050
394,0,39301,Matt Bova,1,0,1,2,2013170
394,0,32868,Brandon Brown,1,0,2,3,2013250
394,0,22313,Mark Brown,1,1,1,18,2013350
394,0,32262,Mark Brown,1,0,3,16,2013310
394,0,32960,Angel Cabrera Jr.,1,0,1,18,2013100
394,0,32070,Rafael Campos,1,0,4,6,2013100
394,0,28100,Kevin Carll,1,1,2,15,2013020
394,0,01175,Jim Carter,1,1,2,2,2013300
394,0,27731,Pat Carter,1,0,2,3,2013280
394,0,20472,Alex Cejka,1,1,3,5,2013060
394,0,35540,Albin Choi,1,1,2,10,2013320
394,0,27382,Wil Collins,1,0,2,16,2013320
394,0,06150,Carl Cooper,1,1,2,13,2013150
394,0,01235,Ben Crenshaw,1,1,2,18,2013160
394,0,34308,Brandon Crick,1,1,2,17,2013250
394,0,29253,Jeff Curl,1,0,2,12,2013100
394,0,19883,Joe Daley,1,0,1,8,2013200
394,0,19881,Robert Damron,1,1,2,9,2013300
394,0,24178,Chris Doak,1,1,2,10,2013250
394,0,01326,Nick Faldo,1,0,1,7,2013310
394,0,20585,Niclas Fasth,1,0,1,4,2013310
394,0,36788,Jack Fields,1,0,1,5,2013190
394,0,28923,Oliver Fisher,1,1,4,12,2013310
394,0,27348,Oscar Floren,1,0,2,3,2013310
394,0,01374,Robin Freeman,1,1,2,5,2013300
394,0,33181,Charles Frost,1,0,2,8,2013190
394,0,01381,Fred Funk,1,0,2,4,2013020
394,0,20574,Mathew Goggin,1,0,1,9,2013250
394,0,31577,Tano Goya,1,0,1,13,2013310
394,0,39954,Cody Gribble,1,0,1,4,2013240
394,0,39040,Glen Griffith,1,1,1,6,2013050
394,0,34563,Chesson Hadley,1,1,2,5,2013360
394,0,39978,John Hahn,1,0,2,9,2013250
394,0,34432,Gavin Hall,1,0,1,12,2013250
394,0,01478,Kirk Hanefeld,1,1,1,1,2013350
394,0,28938,Justin Harding,1,1,2,16,2013310
394,0,34363,Tyrrell Hatton,1,0,2,15,2013310
394,0,39021,Richard Hattori,1,0,1,5,2013020
394,0,29930,Mike Hendry,1,0,2,7,2013110
394,0,39394,Charlie Holland,1,0,1,10,2013240
394,0,39977,Max Homa,1,1,1,13,2013250
394,0,20608,David Howell,1,0,1,13,2013250
394,0,35506,Mackenzie Hughes,1,0,1,6,2013250
394,0,35612,John Hurley,1,0,1,9,2013050
394,0,33520,Randall Hutchison,1,0,1,9,2013250
394,0,34554,Jung-gon Hwang,1,0,1,9,2013250
394,0,24956,Mikko Ilonen,1,1,1,7,2013350
394,0,24115,Makoto Inoue,1,1,2,18,2013310
394,0,25289,Steven Jeffress,1,1,2,15,2013310
394,0,10733,Kent Jones,1,0,1,2,2013300
394,0,01599,Steve Jones,1,1,3,3,2013030
394,0,27929,Shiv Kapur,1,1,4,16,2013310
394,0,26733,John Kimbell,1,0,4,16,2013290
394,0,12705,Cliff Kresge,1,1,2,3,2013250
394,0,30079,Chad Kurmel,1,0,1,7,2013100
394,0,29670,Pablo Larrazabal,1,1,1,9,2013350
394,0,29926,Danny Lee,1,0,4,16,2013020
394,0,01677,Tom Lehman,1,0,4,3,2013310
394,0,33020,Darryn Lloyd,1,0,2,15,2013310
394,0,39531,Ken Looper,1,0,3,18,2013300
394,0,01707,Steve Lowery,1,0,1,5,2013300
394,0,30741,Randy Lowry,1,0,1,16,2013140
394,0,01717,Sandy Lyle,1,1,4,18,2013310
394,0,32694,Morten Orum Madsen,1,1,4,9,2013250
394,0,27938,Jeff Martin,1,0,2,13,2013350
394,0,21470,Daisuke Maruyama,1,1,2,12,2013310
394,0,32741,Michael McCabe,1,0,1,10,2013040
394,0,10375,Sean McCarty,1,0,1,8,2013290
394,0,24449,Parker McLachlin,1,1,1,8,2013300
394,0,22122,Andrew McLardy,1,0,1,15,2013360
394,0,19795,Kelly Mitchum,1,1,2,15,2013360
394,0,01823,Larry Mize,1,0,2,5,2013160
394,0,40099,Jimmy Mullen,1,1,4,3,2013310
394,0,40189,David Muttitt,1,1,2,12,2013350
394,0,39537,Chris Naegel,1,1,2,5,2013290
394,0,23174,Jake Narro,1,0,1,18,2013180
394,0,25861,Ryan Nelson,1,0,2,8,2013250
394,0,21159,John Nieporte,1,1,2,6,2013250
394,0,23123,Bret Nutt,1,1,3,5,2013060
394,0,01887,Mark O'Meara,1,1,4,10,2013310
394,0,29908,C.T. Pan,1,0,1,18,2013250
394,0,25661,Bryn Parry,1,0,2,2,2013320
394,0,01938,David Peoples,1,0,1,10,2013300
394,0,34709,Eddie Pepperell,1,1,2,8,2013250
394,0,34644,Josh Persons,1,0,2,3,2013020
394,0,36976,Garrick Porteous,1,1,2,15,2013310
394,0,25190,Jeff Quinney,1,0,1,7,2013210
394,0,27485,Lee Rhind,1,0,2,6,2013350
394,0,36496,Brian Ricketts,1,1,2,13,2013210
394,0,28373,Lloyd Saltman,1,0,1,12,2013310
394,0,23929,Paul Scaletta,1,1,2,7,2013090
394,0,02076,Peter Senior,1,0,4,5,2013310
394,0,33544,Mark Sheftic,1,1,2,9,2013350
394,0,24808,Kevin Shields,1,0,1,16,2013280
394,0,06132,Sonny Skinner,1,1,2,8,2013350
394,0,27139,David Skinns,1,1,2,17,2013120
394,0,32190,Jesse Smith,1,1,2,6,2013320
394,0,28103,Stuart Smith,1,1,2,10,2013350
394,0,18874,Miguel Suarez,1,0,2,9,2013100
394,0,40115,Adam Svensson,1,1,2,12,2013320
394,0,20935,Toru Taniguchi,1,1,4,2,2013340
394,0,23364,Yui Ueda,1,0,2,13,2013250
394,0,24457,Jaco Van Zyl,1,0,1,9,2013350
394,0,37189,Harold Varner III,1,0,2,3,2013250
394,0,35469,Sebastián Vázquez,1,1,3,17,2013100
394,0,39480,T.J. Vogel,1,0,1,6,2013290
394,0,26498,Matt Weibring,1,0,2,3,2013250
