RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE IN INCHES
1,0,51977,Max Greyserman,58
2,0,40162,Justin Lower,56
2,0,48153,Matthieu Pavon,56
4,0,24024,Zach Johnson,55
4,0,52513,Carson Young,55
6,0,51766,Wyndham Clark,54
6,0,46717,Viktor Hovland,54
6,0,47993,Denny McCarthy,54
9,0,60004,Jacob Bridgeman,53
9,0,33653,Thomas Detry,53
9,0,34099,Harris English,53
9,0,40098,Matt Fitzpatrick,53
9,0,29936,Ryan Fox,53
9,0,35461,Beau Hossler,53
9,0,55789,Taylor Montgomery,53
9,0,40250,Taylor Pendrith,53
9,0,33486,Roger Sloan,53
9,0,55893,Sam Stevens,53
9,0,51634,Sahith Theegala,53
9,0,40006,Erik van Rooyen,53
21,0,33408,Tyson Alexander,52
21,0,45522,Christiaan Bezuidenhout,52
21,0,47504,Sam Burns,52
21,0,35450,Patrick Cantlay,52
21,0,59836,Pierceson Coody,52
21,0,59866,Nick Dunlap,52
21,0,51287,Ryo Hisatsune,52
21,0,35532,Tom Hoge,52
21,0,29420,Billy Horschel,52
21,0,35506,Mackenzie Hughes,52
21,0,32791,K.H. Lee,52
21,0,46046,Scottie Scheffler,52
21,0,48867,Matti Schmid,52
21,0,39327,Ben Silverman,52
21,0,50484,Hayden Springer,52
21,0,50493,Justin Suh,52
21,0,30927,Brendon Todd,52
21,0,35617,Martin Trainer,52
39,0,52955,Ludvig Åberg,51
39,0,32366,Kevin Chappell,51
39,0,28089,Jason Day,51
39,0,51349,Nico Echavarria,51
39,0,54576,Patrick Fishburn,51
39,0,34563,Chesson Hadley,51
39,0,34098,Russell Henley,51
39,0,51696,Rico Hoey,51
39,0,39971,Sungjae Im,51
39,0,39975,Michael Kim,51
39,0,29478,Kevin Kisner,51
39,0,36884,Ben Kohles,51
39,0,27936,Martin Laird,51
39,0,33204,Shane Lowry,51
39,0,52215,Robert MacIntyre,51
39,0,46113,Ryan McCormick,51
39,0,59143,Mac Meissner,51
39,0,57900,Chandler Phillips,51
39,0,28252,Seamus Power,51
39,0,34256,Andrew Putnam,51
39,0,22405,Justin Rose,51
39,0,37275,Sam Ryder,51
39,0,48081,Xander Schauffele,51
39,0,47347,Adam Schenk,51
39,0,27139,David Skinns,51
39,0,27649,Brandt Snedeker,51
39,0,25493,Nick Taylor,51
39,0,52666,Sami Valimaki,51
39,0,51894,Vince Whaley,51
68,0,48084,Wesley Bryan,50
68,0,52372,Cameron Champ,50
68,0,47591,Eric Cole,50
68,0,32102,Rickie Fowler,50
68,0,56149,Wilson Furr,50
68,0,54591,Ben Griffin,50
68,0,57975,Harry Hall,50
68,0,39977,Max Homa,50
68,0,34587,Chan Kim,50
68,0,28775,Nate Lashley,50
68,0,32839,Hideki Matsuyama,50
68,0,28237,Rory McIlroy,50
68,0,46442,Maverick McNealy,50
68,0,49947,Taylor Moore,50
68,0,33968,Thorbjørn Olesen,50
68,0,47806,Raul Pereda,50
68,0,49771,J.T. Poston,50
68,0,47983,Chad Ramey,50
68,0,47995,Davis Riley,50
68,0,24502,Adam Scott,50
68,0,46441,Robby Shelton,50
68,0,27214,Kevin Streelman,50
68,0,32333,Kevin Tway,50
68,0,48887,Matt Wallace,50
68,0,54783,Dylan Wu,50
68,0,57366,Cameron Young,50
94,0,34374,Erik Barnes,49
94,0,56630,Akshay Bhatia,49
94,0,40058,Zac Blair,49
94,0,33141,Keegan Bradley,49
94,0,39997,Corey Conners,49
94,0,52514,Trace Crowe,49
94,0,35310,Lanto Griffin,49
94,0,31646,Emiliano Grillo,49
94,0,33399,Adam Hadwin,49
94,0,60767,Blaine Hale Jr.,49
94,0,27644,Brian Harman,49
94,0,50188,S.H. Kim,49
94,0,27129,Luke List,49
94,0,34466,Peter Malnati,49
94,0,32640,Troy Merritt,49
94,0,50525,Collin Morikawa,49
94,0,29908,C.T. Pan,49
94,0,36699,Patrick Rodgers,49
94,0,29221,Webb Simpson,49
94,0,34046,Jordan Spieth,49
94,0,52374,Brandon Wu,49
115,0,33948,Byeong Hun An,48
115,0,37212,Paul Barjon,48
115,0,34255,Joseph Bramlett,48
115,0,32367,Jorge Campillo,48
115,0,30911,Tommy Fleetwood,48
115,0,47988,Nick Hardy,48
115,0,12716,Charley Hoffman,48
115,0,36799,Stephan Jaeger,48
115,0,55182,Tom Kim,48
115,0,32757,Patton Kizzire,48
115,0,47420,Jake Knapp,48
115,0,23108,Matt Kuchar,48
115,0,39546,Keith Mitchell,48
115,0,50095,Austin Smotherman,48
115,0,38991,Alejandro Tosti,48
130,0,32070,Rafael Campos,47
130,0,34076,Joel Dahmen,47
130,0,45157,Cam Davis,47
130,0,50497,Adrien Dumont de Chassart,47
130,0,57362,Austin Eckroat,47
130,0,29725,Tony Finau,47
130,0,52375,Doug Ghim,47
130,0,25900,Lucas Glover,47
130,0,54421,Garrick Higgo,47
130,0,52453,Nicolai Højgaard,47
130,0,36801,Mark Hubbard,47
130,0,36326,David Lipsky,47
130,0,27349,Alex Noren,47
130,0,51997,Andrew Novak,47
130,0,23320,Ryan Palmer,47
130,0,47679,Victor Perez,47
130,0,26476,Chez Reavie,47
130,0,46340,Alex Smalley,47
130,0,39324,J.J. Spaun,47
130,0,49960,Sepp Straka,47
130,0,48699,Callum Tarren,47
130,0,27330,Josh Teater,47
130,0,58168,Davis Thompson,47
130,0,27064,Jhonattan Vegas,47
130,0,31323,Gary Woodland,47
130,0,47483,Will Zalatoris,47
156,0,22371,Aaron Baddeley,46
156,0,40026,Daniel Berger,46
156,0,47663,Kevin Dougherty,46
156,0,29535,Brice Garnett,46
156,0,59095,Chris Gotterup,46
156,0,60067,Joe Highsmith,46
156,0,54628,Lee Hodges,46
156,0,37455,Si Woo Kim,46
156,0,37378,Min Woo Lee,46
156,0,36871,Matt NeSmith,46
156,0,46414,Aaron Rai,46
156,0,40115,Adam Svensson,46
156,0,48119,Ben Taylor,46
156,0,48319,Tom Whitney,46
156,0,55454,Carl Yuan,46
171,0,34021,Bud Cauley,45
171,0,30926,Chris Kirk,45
171,0,48117,Kurt Kitayama,45
171,0,26596,Ryan Moore,45
