YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
2022,101,0,40006,Erik van Rooyen,1.09,1,92,98.91
2022,103,0,34466,Peter Malnati,1.12,2,178,98.88
2022,104,0,54628,Lee Hodges,1.14,2,175,98.86
2022,105,0,19803,Ryan Armour,1.18,1,85,98.82
2022,105,0,52372,Cameron Champ,1.18,1,85,98.82
2022,107,0,29926,Danny Lee,1.2,1,83,98.8
2022,108,0,28089,Jason Day,1.22,1,82,98.78
2022,108,0,27214,Kevin Streelman,1.22,2,164,98.78
2022,110,0,49964,Aaron Wise,1.28,2,156,98.72
2022,110,0,56278,Matthew Wolff,1.28,1,78,98.72
2022,112,0,47995,Davis Riley,1.3,2,154,98.7
2022,113,0,34256,Andrew Putnam,1.31,2,153,98.69
2022,114,0,46414,Aaron Rai,1.32,2,151,98.68
2022,115,0,30692,Scott Stallings,1.33,2,150,98.67
2022,116,0,20229,Stewart Cink,1.37,2,146,98.63
2022,116,0,22405,Justin Rose,1.37,1,73,98.63
2022,116,0,49960,Sepp Straka,1.37,2,146,98.63
2022,119,0,29970,Dylan Frittelli,1.4,2,143,98.6
2022,120,0,57366,Cameron Young,1.41,2,142,98.59
2022,121,0,33597,Harry Higgs,1.48,2,135,98.52
2022,121,0,36871,Matthew NeSmith,1.48,2,135,98.52
2022,123,0,33490,Bo Hoag,1.49,1,67,98.51
2022,123,0,33419,Cameron Tringale,1.49,2,134,98.51
2022,125,0,31646,Emiliano Grillo,1.5,2,133,98.5
2022,125,0,35532,Tom Hoge,1.5,2,133,98.5
2022,125,0,24502,Adam Scott,1.5,2,133,98.5
2022,125,0,31560,Brian Stuard,1.5,2,133,98.5
2022,125,0,32150,Michael Thompson,1.5,2,133,98.5
2022,130,0,35461,Beau Hossler,1.52,2,132,98.48
2022,131,0,34255,Joseph Bramlett,1.53,2,131,98.47
2022,132,0,45486,Joaquin Niemann,1.55,2,129,98.45
2022,133,0,32757,Patton Kizzire,1.56,2,128,98.44
2022,134,0,35506,Mackenzie Hughes,1.57,2,127,98.43
2022,135,0,30926,Chris Kirk,1.59,2,126,98.41
2022,136,0,34174,John Huh,1.6,2,125,98.4
2022,136,0,39546,Keith Mitchell,1.6,2,125,98.4
2022,138,0,45609,Tyler Duncan,1.63,2,123,98.37
2022,139,0,39436,Joshua Creel,1.64,1,61,98.36
2022,140,0,34563,Chesson Hadley,1.72,2,116,98.28
2022,141,0,31323,Gary Woodland,1.74,2,115,98.26
2022,142,0,28252,Seamus Power,1.75,2,114,98.25
2022,143,0,28775,Nate Lashley,1.8,2,111,98.2
2022,143,0,33448,Justin Thomas,1.8,2,111,98.2
2022,145,0,46550,Brandon Hagy,1.82,2,110,98.18
2022,145,0,46970,Jon Rahm,1.82,2,110,98.18
2022,147,0,34610,Matthias Schwab,1.89,2,106,98.11
2022,148,0,40162,Justin Lower,1.92,2,104,98.08
2022,149,0,29478,Kevin Kisner,1.94,2,103,98.06
2022,150,0,47347,Adam Schenk,1.95,3,154,98.05
2022,151,0,51997,Andrew Novak,1.98,2,101,98.02
2022,152,0,40098,Matt Fitzpatrick,2.02,2,99,97.98
2022,152,0,48117,Kurt Kitayama,2.02,2,99,97.98
2022,154,0,32640,Troy Merritt,2.08,3,144,97.92
2022,154,0,50525,Collin Morikawa,2.08,2,96,97.92
2022,154,0,26476,Chez Reavie,2.08,3,144,97.92
2022,157,0,39324,J.J. Spaun,2.1,3,143,97.9
2022,158,0,26300,Matt Jones,2.11,2,95,97.89
2022,159,0,48887,Matt Wallace,2.13,2,94,97.87
2022,160,0,55708,Hayden Buckley,2.16,4,185,97.84
2022,161,0,28237,Rory McIlroy,2.2,2,91,97.8
2022,162,0,39997,Corey Conners,2.22,3,135,97.78
2022,162,0,27644,Brian Harman,2.22,3,135,97.78
2022,164,0,29289,S.Y. Noh,2.25,2,89,97.75
2022,165,0,52374,Brandon Wu,2.3,2,87,97.7
2022,166,0,24925,Jonathan Byrd,2.33,2,86,97.67
2022,167,0,37189,Harold Varner III,2.35,2,85,97.65
2022,168,0,54421,Garrick Higgo,2.44,2,82,97.56
2022,169,0,32662,Michael Gligic,2.46,3,122,97.54
2022,170,0,46340,Alex Smalley,2.48,4,161,97.52
2022,171,0,32139,Danny Willett,2.56,2,78,97.44
2022,172,0,30978,Kiradech Aphibarnrat,2.74,2,73,97.26
2022,173,0,28114,Dawie van der Walt,2.83,3,106,97.17
2022,174,0,32839,Hideki Matsuyama,2.88,3,104,97.12
2022,175,0,30911,Tommy Fleetwood,2.9,2,69,97.1
2022,176,0,25198,Francesco Molinari,3.03,2,66,96.97
2022,176,0,23621,Rory Sabbatini,3.03,3,99,96.97
2022,178,0,48822,Sebastián Muñoz,3.08,4,130,96.92
2022,179,0,34046,Jordan Spieth,3.09,3,97,96.91
2022,180,0,32102,Rickie Fowler,3.13,3,96,96.87
2022,181,0,39953,Chase Seiffert,3.19,3,94,96.81
2022,182,0,46046,Scottie Scheffler,3.54,4,113,96.46
2022,183,0,23320,Ryan Palmer,3.81,4,105,96.19
2022,184,0,36326,David Lipsky,3.87,6,155,96.13
2022,185,0,25900,Lucas Glover,3.93,7,178,96.07
2022,186,0,35617,Martin Trainer,3.94,5,127,96.06
2022,187,0,35110,Brett Drewitt,4.0,3,75,96.0
2022,188,0,24361,Pat Perez,4.35,3,69,95.65
2022,189,0,51634,Sahith Theegala,4.4,8,182,95.6
2022,190,0,27129,Luke List,5.74,7,122,94.26
2022,191,0,48084,Wesley Bryan,5.8,4,69,94.2
2022,192,0,29221,Webb Simpson,6.52,6,92,93.48
2022,193,0,25686,Jason Dufner,7.41,6,81,92.59
2024,1,0,52955,Ludvig Åberg,.00%,0,126,100.0
2024,1,0,33408,Tyson Alexander,.00%,0,103,100.0
2024,1,0,33141,Keegan Bradley,.00%,0,138,100.0
2024,1,0,48084,Wesley Bryan,.00%,0,62,100.0
2024,1,0,55708,Hayden Buckley,.00%,0,106,100.0
2024,1,0,47504,Sam Burns,.00%,0,119,100.0
2024,1,0,35450,Patrick Cantlay,.00%,0,101,100.0
2024,1,0,32366,Kevin Chappell,.00%,0,89,100.0
2024,1,0,28089,Jason Day,.00%,0,110,100.0
2024,1,0,45609,Tyler Duncan,.00%,0,97,100.0
2024,1,0,57362,Austin Eckroat,.00%,0,155,100.0
2024,1,0,54576,Patrick Fishburn,.00%,0,112,100.0
2024,1,0,40098,Matt Fitzpatrick,.00%,0,105,100.0
2024,1,0,30911,Tommy Fleetwood,.00%,0,113,100.0
2024,1,0,25900,Lucas Glover,.00%,0,149,100.0
2024,1,0,54591,Ben Griffin,.00%,0,177,100.0
2024,1,0,31646,Emiliano Grillo,.00%,0,156,100.0
2024,1,0,57975,Harry Hall,.00%,0,136,100.0
2024,1,0,60067,Joe Highsmith,.00%,0,113,100.0
2024,1,0,54628,Lee Hodges,.00%,0,182,100.0
2024,1,0,52453,Nicolai Højgaard,.00%,0,101,100.0
2024,1,0,35506,Mackenzie Hughes,.00%,0,147,100.0
2024,1,0,39975,Michael Kim,.00%,0,107,100.0
2024,1,0,30926,Chris Kirk,.00%,0,119,100.0
2024,1,0,48117,Kurt Kitayama,.00%,0,139,100.0
2024,1,0,23108,Matt Kuchar,.00%,0,134,100.0
2024,1,0,33204,Shane Lowry,.00%,0,97,100.0
2024,1,0,46113,Ryan McCormick,.00%,0,76,100.0
2024,1,0,59143,Mac Meissner,.00%,0,121,100.0
2024,1,0,50525,Collin Morikawa,.00%,0,141,100.0
2024,1,0,36871,Matt NeSmith,.00%,0,140,100.0
2024,1,0,27349,Alex Noren,.00%,0,95,100.0
2024,1,0,30163,Henrik Norlander,.00%,0,94,100.0
2024,1,0,51997,Andrew Novak,.00%,0,165,100.0
2024,1,0,23320,Ryan Palmer,.00%,0,59,100.0
2024,1,0,40250,Taylor Pendrith,.00%,0,146,100.0
2024,1,0,47679,Victor Perez,.00%,0,131,100.0
2024,1,0,49771,J.T. Poston,.00%,0,142,100.0
2024,1,0,28252,Seamus Power,.00%,0,192,100.0
2024,1,0,34256,Andrew Putnam,.00%,0,141,100.0
2024,1,0,46414,Aaron Rai,.00%,0,128,100.0
2024,1,0,22405,Justin Rose,.00%,0,89,100.0
2024,1,0,46046,Scottie Scheffler,.00%,0,120,100.0
2024,1,0,48867,Matti Schmid,.00%,0,113,100.0
2024,1,0,24502,Adam Scott,.00%,0,92,100.0
2024,1,0,50095,Austin Smotherman,.00%,0,86,100.0
2024,1,0,27649,Brandt Snedeker,.00%,0,90,100.0
2024,1,0,39324,J.J. Spaun,.00%,0,140,100.0
2024,1,0,34046,Jordan Spieth,.00%,0,120,100.0
2024,1,0,49960,Sepp Straka,.00%,0,124,100.0
2024,1,0,48119,Ben Taylor,.00%,0,88,100.0
2024,1,0,32333,Kevin Tway,.00%,0,91,100.0
2024,1,0,51894,Vince Whaley,.00%,0,86,100.0
2024,1,0,31323,Gary Woodland,.00%,0,143,100.0
2024,1,0,45242,Kevin Yu,.00%,0,136,100.0
2024,1,0,47483,Will Zalatoris,.00%,0,125,100.0
2024,57,0,36699,Patrick Rodgers,.54%,1,184,99.46
2024,58,0,52375,Doug Ghim,.56%,1,179,99.44
2024,59,0,47591,Eric Cole,.62%,1,161,99.38
2024,59,0,39997,Corey Conners,.62%,1,161,99.38
2024,61,0,36801,Mark Hubbard,.65%,1,154,99.35
2024,61,0,39971,Sungjae Im,.65%,1,154,99.35
2024,61,0,51890,Greyson Sigg,.65%,1,154,99.35
2024,64,0,56630,Akshay Bhatia,.66%,1,151,99.34
2024,65,0,39546,Keith Mitchell,.68%,1,148,99.32
2024,66,0,45522,Christiaan Bezuidenhout,.69%,1,145,99.31
2024,67,0,32791,K.H. Lee,.70%,1,143,99.3
2024,67,0,40006,Erik van Rooyen,.70%,1,143,99.3
2024,69,0,40058,Zac Blair,.71%,1,140,99.29
2024,69,0,33399,Adam Hadwin,.71%,1,141,99.29
2024,71,0,32102,Rickie Fowler,.72%,1,139,99.28
2024,71,0,47988,Nick Hardy,.72%,1,138,99.28
2024,73,0,37455,Si Woo Kim,.73%,1,137,99.27
2024,74,0,57900,Chandler Phillips,.74%,1,136,99.26
2024,75,0,34587,Chan Kim,.75%,1,133,99.25
2024,76,0,50493,Justin Suh,.76%,1,131,99.24
2024,77,0,40026,Daniel Berger,.78%,1,128,99.22
2024,77,0,51349,Nico Echavarria,.78%,1,129,99.22
2024,77,0,54421,Garrick Higgo,.78%,1,128,99.22
2024,77,0,47420,Jake Knapp,.78%,1,128,99.22
2024,77,0,32640,Troy Merritt,.78%,1,128,99.22
2024,82,0,27139,David Skinns,.79%,1,126,99.21
2024,83,0,34255,Joseph Bramlett,.82%,1,122,99.18
2024,83,0,50497,Adrien Dumont de Chassart,.82%,1,122,99.18
2024,83,0,50484,Hayden Springer,.82%,1,122,99.18
2024,86,0,59866,Nick Dunlap,.83%,1,121,99.17
2024,87,0,51696,Rico Hoey,.84%,1,119,99.16
2024,87,0,32839,Hideki Matsuyama,.84%,1,119,99.16
2024,89,0,52514,Trace Crowe,.85%,1,117,99.15
2024,89,0,29725,Tony Finau,.85%,1,118,99.15
2024,89,0,33448,Justin Thomas,.85%,1,117,99.15
2024,92,0,27129,Luke List,.87%,1,115,99.13
2024,93,0,59836,Pierceson Coody,.88%,1,114,99.12
2024,94,0,52215,Robert MacIntyre,.90%,1,111,99.1
2024,95,0,12716,Charley Hoffman,.91%,1,110,99.09
2024,96,0,51766,Wyndham Clark,.92%,1,109,99.08
2024,96,0,46441,Robby Shelton,.92%,1,109,99.08
2024,98,0,34563,Chesson Hadley,.93%,1,108,99.07
2024,98,0,37378,Min Woo Lee,.93%,1,107,99.07
2024,98,0,36326,David Lipsky,.93%,1,108,99.07
2024,98,0,51070,Vincent Norrman,.93%,1,108,99.07
2024,98,0,29908,C.T. Pan,.93%,1,107,99.07
2024,103,0,33653,Thomas Detry,.94%,1,106,99.06
2024,103,0,48081,Xander Schauffele,.94%,1,106,99.06
2024,105,0,56149,Wilson Furr,.97%,1,103,99.03
2024,106,0,34021,Bud Cauley,.98%,1,102,99.02
2024,107,0,22371,Aaron Baddeley,1.06%,1,94,98.94
2024,107,0,29478,Kevin Kisner,1.06%,1,94,98.94
2024,109,0,32757,Patton Kizzire,1.10%,1,91,98.9
2024,110,0,49947,Taylor Moore,1.14%,2,176,98.86
2024,111,0,36799,Stephan Jaeger,1.20%,2,166,98.8
2024,112,0,59442,Parker Coody,1.27%,1,79,98.73
2024,113,0,58168,Davis Thompson,1.28%,2,156,98.72
2024,114,0,40162,Justin Lower,1.29%,2,155,98.71
2024,115,0,28420,Ryan Brehm,1.30%,1,77,98.7
2024,116,0,35461,Beau Hossler,1.32%,2,151,98.68
2024,117,0,34099,Harris English,1.36%,2,147,98.64
2024,118,0,51287,Ryo Hisatsune,1.41%,2,142,98.59
2024,119,0,26596,Ryan Moore,1.42%,2,141,98.58
2024,120,0,55182,Tom Kim,1.45%,2,138,98.55
2024,120,0,52513,Carson Young,1.45%,2,138,98.55
2024,122,0,29420,Billy Horschel,1.46%,2,137,98.54
2024,123,0,29535,Brice Garnett,1.47%,1,68,98.53
2024,124,0,32367,Jorge Campillo,1.49%,1,67,98.51
2024,124,0,35617,Martin Trainer,1.49%,1,67,98.51
2024,126,0,46442,Maverick McNealy,1.50%,2,133,98.5
2024,127,0,28775,Nate Lashley,1.52%,2,132,98.48
2024,128,0,60004,Jacob Bridgeman,1.53%,2,131,98.47
2024,128,0,29936,Ryan Fox,1.53%,2,131,98.47
2024,130,0,33948,Byeong Hun An,1.55%,2,129,98.45
2024,131,0,33486,Roger Sloan,1.56%,2,128,98.44
2024,132,0,40115,Adam Svensson,1.60%,3,188,98.4
2024,133,0,59095,Chris Gotterup,1.67%,2,120,98.33
2024,134,0,34098,Russell Henley,1.71%,2,117,98.29
2024,135,0,47983,Chad Ramey,1.72%,2,116,98.28
2024,136,0,45157,Cam Davis,1.79%,2,112,98.21
2024,136,0,47806,Raul Pereda,1.79%,1,56,98.21
2024,136,0,55893,Sam Stevens,1.79%,3,168,98.21
2024,139,0,51634,Sahith Theegala,1.81%,3,166,98.19
2024,140,0,28237,Rory McIlroy,1.82%,2,110,98.18
2024,141,0,39977,Max Homa,1.85%,2,108,98.15
2024,142,0,27644,Brian Harman,1.90%,3,158,98.1
2024,143,0,52374,Brandon Wu,1.94%,2,103,98.06
2024,144,0,26476,Chez Reavie,1.96%,2,102,98.04
2024,144,0,39327,Ben Silverman,1.96%,3,153,98.04
2024,146,0,55454,Carl Yuan,1.98%,2,101,98.02
2024,147,0,37275,Sam Ryder,2.08%,2,96,97.92
2024,147,0,47347,Adam Schenk,2.08%,3,144,97.92
2024,147,0,48319,Tom Whitney,2.08%,2,96,97.92
2024,147,0,57366,Cameron Young,2.08%,3,144,97.92
2024,151,0,52372,Cameron Champ,2.11%,2,95,97.89
2024,152,0,37212,Paul Barjon,2.13%,2,94,97.87
2024,153,0,32070,Rafael Campos,2.15%,2,93,97.85
2024,154,0,25493,Nick Taylor,2.17%,3,138,97.83
2024,155,0,51977,Max Greyserman,2.22%,3,135,97.78
2024,155,0,24024,Zach Johnson,2.22%,2,90,97.78
2024,157,0,30927,Brendon Todd,2.25%,4,178,97.75
2024,158,0,35532,Tom Hoge,2.31%,4,173,97.69
2024,158,0,47993,Denny McCarthy,2.31%,3,130,97.69
2024,160,0,34374,Erik Barnes,2.33%,2,86,97.67
2024,161,0,33968,Thorbjørn Olesen,2.35%,2,85,97.65
2024,162,0,60767,Blaine Hale Jr.,2.38%,2,84,97.62
2024,163,0,54783,Dylan Wu,2.42%,3,124,97.58
2024,164,0,47995,Davis Riley,2.63%,4,152,97.37
2024,165,0,46340,Alex Smalley,2.65%,3,113,97.35
2024,166,0,36884,Ben Kohles,2.70%,4,148,97.3
2024,167,0,50188,S.H. Kim,2.78%,4,144,97.22
2024,167,0,27936,Martin Laird,2.78%,3,108,97.22
2024,169,0,46717,Viktor Hovland,2.80%,3,107,97.2
2024,170,0,55789,Taylor Montgomery,2.82%,2,71,97.18
2024,171,0,52666,Sami Valimaki,2.86%,3,105,97.14
2024,172,0,35310,Lanto Griffin,2.88%,3,104,97.12
2024,173,0,48887,Matt Wallace,2.91%,3,103,97.09
2024,174,0,38991,Alejandro Tosti,3.05%,4,131,96.95
2024,175,0,48699,Callum Tarren,3.13%,3,96,96.87
2024,176,0,27330,Josh Teater,3.17%,2,63,96.83
2024,177,0,27064,Jhonattan Vegas,3.23%,4,124,96.77
2024,178,0,48153,Matthieu Pavon,3.26%,3,92,96.74
2024,179,0,34076,Joel Dahmen,3.50%,5,143,96.5
2024,180,0,34466,Peter Malnati,3.54%,4,113,96.46
2024,181,0,27214,Kevin Streelman,3.67%,4,109,96.33
2024,182,0,27770,Camilo Villegas,3.80%,3,79,96.2
2024,183,0,29221,Webb Simpson,4.40%,4,91,95.6
2024,184,0,47663,Kevin Dougherty,4.44%,4,90,95.56
2023,1,0,52955,Ludvig Åberg,.00%,0,89,100.0
2023,1,0,22371,Aaron Baddeley,.00%,0,106,100.0
2023,1,0,34255,Joseph Bramlett,.00%,0,134,100.0
2023,1,0,28420,Ryan Brehm,.00%,0,132,100.0
2023,1,0,24925,Jonathan Byrd,.00%,0,54,100.0
2023,1,0,28089,Jason Day,.00%,0,130,100.0
2023,1,0,51349,Nico Echavarria,.00%,0,122,100.0
2023,1,0,34099,Harris English,.00%,0,146,100.0
2023,1,0,40098,Matt Fitzpatrick,.00%,0,105,100.0
2023,1,0,54591,Ben Griffin,.00%,0,149,100.0
2023,1,0,31557,Jim Herman,.00%,0,137,100.0
2023,1,0,52453,Nicolai Hojgaard,.00%,0,61,100.0
2023,1,0,46717,Viktor Hovland,.00%,0,143,100.0
2023,1,0,36801,Mark Hubbard,.00%,0,164,100.0
2023,1,0,37455,Si Woo Kim,.00%,0,157,100.0
2023,1,0,48117,Kurt Kitayama,.00%,0,100,100.0
2023,1,0,23108,Matt Kuchar,.00%,0,138,100.0
2023,1,0,58696,Peter Kuest,.00%,0,84,100.0
2023,1,0,35449,Adam Long,.00%,0,137,100.0
2023,1,0,32839,Hideki Matsuyama,.00%,0,149,100.0
2023,1,0,31202,William McGirt,.00%,0,82,100.0
2023,1,0,46442,Maverick McNealy,.00%,0,91,100.0
2023,1,0,26596,Ryan Moore,.00%,0,129,100.0
2023,1,0,50525,Collin Morikawa,.00%,0,128,100.0
2023,1,0,46601,Trey Mullinax,.00%,0,136,100.0
2023,1,0,29908,C.T. Pan,.00%,0,79,100.0
2023,1,0,40250,Taylor Pendrith,.00%,0,179,100.0
2023,1,0,28252,Seamus Power,.00%,0,122,100.0
2023,1,0,34256,Andrew Putnam,.00%,0,148,100.0
2023,1,0,34610,Matthias Schwab,.00%,0,131,100.0
2023,1,0,39324,J.J. Spaun,.00%,0,160,100.0
2023,1,0,27963,Chris Stroud,.00%,0,71,100.0
2023,1,0,31560,Brian Stuard,.00%,0,95,100.0
2023,1,0,25493,Nick Taylor,.00%,0,140,100.0
2023,1,0,51634,Sahith Theegala,.00%,0,162,100.0
2023,1,0,25632,Jimmy Walker,.00%,0,132,100.0
2023,37,0,47591,Eric Cole,.49%,1,205,99.51
2023,38,0,49771,J.T. Poston,.54%,1,185,99.46
2023,39,0,54628,Lee Hodges,.57%,1,174,99.43
2023,39,0,46414,Aaron Rai,.57%,1,175,99.43
2023,39,0,51890,Greyson Sigg,.57%,1,175,99.43
2023,39,0,58168,Davis Thompson,.57%,1,175,99.43
2023,43,0,31646,Emiliano Grillo,.58%,1,172,99.42
2023,43,0,32791,K.H. Lee,.58%,1,172,99.42
2023,45,0,27644,Brian Harman,.60%,1,167,99.4
2023,45,0,39977,Max Homa,.60%,1,168,99.4
2023,45,0,28775,Nate Lashley,.60%,1,167,99.4
2023,45,0,49947,Taylor Moore,.60%,1,167,99.4
2023,49,0,49960,Sepp Straka,.61%,1,164,99.39
2023,50,0,47993,Denny McCarthy,.62%,1,162,99.38
2023,50,0,48119,Ben Taylor,.62%,1,162,99.38
2023,52,0,30163,Henrik Norlander,.63%,1,158,99.37
2023,52,0,46441,Robby Shelton,.63%,1,160,99.37
2023,52,0,32333,Kevin Tway,.63%,1,158,99.37
2023,55,0,25900,Lucas Glover,.64%,1,157,99.36
2023,55,0,55182,Tom Kim,.64%,1,157,99.36
2023,57,0,32757,Patton Kizzire,.66%,1,152,99.34
2023,58,0,27936,Martin Laird,.68%,1,148,99.32
2023,58,0,51070,Vincent Norrman,.68%,1,147,99.32
2023,60,0,34098,Russell Henley,.69%,1,145,99.31
2023,60,0,52513,Carson Young,.69%,1,144,99.31
2023,62,0,33141,Keegan Bradley,.70%,1,143,99.3
2023,62,0,40162,Justin Lower,.70%,1,143,99.3
2023,62,0,30927,Brendon Todd,.70%,1,142,99.3
2023,65,0,47504,Sam Burns,.71%,1,141,99.29
2023,65,0,35901,Paul Haley II,.71%,1,141,99.29
2023,67,0,35506,Mackenzie Hughes,.72%,1,138,99.28
2023,67,0,39971,Sungjae Im,.72%,1,139,99.28
2023,69,0,51997,Andrew Novak,.73%,1,137,99.27
2023,70,0,55454,Carl Yuan,.74%,1,135,99.26
2023,71,0,33653,Thomas Detry,.75%,1,134,99.25
2023,71,0,35879,Kelly Kraft,.75%,1,133,99.25
2023,73,0,57366,Cameron Young,.76%,1,131,99.24
2023,74,0,32448,James Hahn,.78%,1,129,99.22
2023,75,0,20229,Stewart Cink,.80%,1,125,99.2
2023,76,0,35450,Patrick Cantlay,.83%,1,121,99.17
2023,77,0,33204,Shane Lowry,.84%,1,119,99.16
2023,78,0,56630,Akshay Bhatia,.85%,1,117,99.15
2023,78,0,34046,Jordan Spieth,.85%,1,118,99.15
2023,80,0,39954,Cody Gribble,.86%,1,116,99.14
2023,81,0,46970,Jon Rahm,.87%,1,115,99.13
2023,82,0,29970,Dylan Frittelli,.90%,1,111,99.1
2023,82,0,48081,Xander Schauffele,.90%,1,111,99.1
2023,82,0,34431,Robert Streb,.90%,1,111,99.1
2023,85,0,45242,Kevin Yu,.92%,1,109,99.08
2023,86,0,30911,Tommy Fleetwood,.93%,1,108,99.07
2023,86,0,28237,Rory McIlroy,.93%,1,108,99.07
2023,88,0,27095,Nick Watney,.96%,1,104,99.04
2023,89,0,52372,Cameron Champ,.97%,1,103,99.03
2023,89,0,32139,Danny Willett,.97%,1,103,99.03
2023,91,0,47347,Adam Schenk,.99%,2,203,99.01
2023,91,0,24502,Adam Scott,.99%,1,101,99.01
2023,91,0,29221,Webb Simpson,.99%,1,101,99.01
2023,94,0,59018,Ryan Gerard,1.01%,1,99,98.99
2023,95,0,39058,Lucas Herbert,1.05%,1,95,98.95
2023,96,0,46435,Austin Cook,1.06%,1,94,98.94
2023,97,0,56762,Will Gordon,1.08%,2,185,98.92
2023,97,0,49766,Hank Lebioda,1.08%,1,93,98.92
2023,99,0,33122,Russell Knox,1.10%,2,182,98.9
2023,100,0,51491,Brandon Matthews,1.11%,1,90,98.89
2023,101,0,12716,Charley Hoffman,1.12%,1,89,98.88
2023,102,0,35461,Beau Hossler,1.15%,2,174,98.85
2023,103,0,35310,Lanto Griffin,1.16%,1,86,98.84
2023,103,0,54783,Dylan Wu,1.16%,2,172,98.84
2023,105,0,36699,Patrick Rodgers,1.17%,2,171,98.83
2023,106,0,48867,Matti Schmid,1.18%,1,85,98.82
2023,106,0,52374,Brandon Wu,1.18%,2,170,98.82
2023,108,0,33399,Adam Hadwin,1.20%,2,167,98.8
2023,108,0,31323,Gary Woodland,1.20%,2,167,98.8
2023,110,0,54421,Garrick Higgo,1.21%,2,165,98.79
2023,111,0,55708,Hayden Buckley,1.27%,2,157,98.73
2023,112,0,55789,Taylor Montgomery,1.28%,2,156,98.72
2023,113,0,45609,Tyler Duncan,1.29%,2,155,98.71
2023,114,0,50095,Austin Smotherman,1.31%,2,153,98.69
2023,115,0,34466,Peter Malnati,1.32%,2,151,98.68
2023,116,0,39997,Corey Conners,1.33%,2,150,98.67
2023,117,0,32102,Rickie Fowler,1.36%,2,147,98.64
2023,117,0,34563,Chesson Hadley,1.36%,2,147,98.64
2023,119,0,40115,Adam Svensson,1.38%,3,218,98.62
2023,120,0,47995,Davis Riley,1.40%,2,143,98.6
2023,121,0,33408,Tyson Alexander,1.41%,2,142,98.59
2023,121,0,33948,Byeong Hun An,1.41%,2,142,98.59
2023,123,0,57975,Harry Hall,1.43%,2,140,98.57
2023,124,0,34076,Joel Dahmen,1.44%,2,139,98.56
2023,124,0,50493,Justin Suh,1.44%,3,209,98.56
2023,126,0,29725,Tony Finau,1.48%,2,135,98.52
2023,127,0,36871,Matt NeSmith,1.49%,3,201,98.51
2023,127,0,46046,Scottie Scheffler,1.49%,2,134,98.51
2023,129,0,27349,Alex Noren,1.61%,2,124,98.39
2023,130,0,47079,Harrison Endycott,1.65%,2,121,98.35
2023,130,0,46340,Alex Smalley,1.65%,3,182,98.35
2023,132,0,32366,Kevin Chappell,1.67%,1,60,98.33
2023,132,0,34363,Tyrrell Hatton,1.67%,2,120,98.33
2023,134,0,52411,Kyle Westmoreland,1.68%,2,119,98.32
2023,135,0,27974,Sung Kang,1.69%,1,59,98.31
2023,136,0,35532,Tom Hoge,1.71%,3,175,98.29
2023,137,0,22405,Justin Rose,1.74%,2,115,98.26
2023,137,0,39335,Kevin Roy,1.74%,2,115,98.26
2023,137,0,55893,Sam Stevens,1.74%,3,172,98.26
2023,140,0,24140,Sean O'Hair,1.75%,1,57,98.25
2023,140,0,23320,Ryan Palmer,1.75%,2,114,98.25
2023,140,0,26476,Chez Reavie,1.75%,3,171,98.25
2023,143,0,29420,Billy Horschel,1.79%,2,112,98.21
2023,144,0,24024,Zach Johnson,1.80%,2,111,98.2
2023,145,0,29289,S.Y. Noh,1.83%,2,109,98.17
2023,145,0,25818,Scott Piercy,1.83%,2,109,98.17
2023,147,0,37275,Sam Ryder,1.86%,3,161,98.14
2023,148,0,30926,Chris Kirk,1.90%,3,158,98.1
2023,149,0,39067,MJ Daffue,1.92%,3,156,98.08
2023,150,0,39975,Michael Kim,1.97%,3,152,98.03
2023,151,0,33597,Harry Higgs,2.04%,2,98,97.96
2023,151,0,36326,David Lipsky,2.04%,3,147,97.96
2023,153,0,33413,Ben Martin,2.05%,3,146,97.95
2023,154,0,51766,Wyndham Clark,2.07%,3,145,97.93
2023,154,0,47988,Nick Hardy,2.07%,4,193,97.93
2023,154,0,33410,Andrew Landry,2.07%,3,145,97.93
2023,157,0,27129,Luke List,2.11%,4,190,97.89
2023,158,0,47128,Richy Werenski,2.14%,3,140,97.86
2023,159,0,48699,Callum Tarren,2.17%,3,138,97.83
2023,160,0,50188,S.H. Kim,2.19%,4,183,97.81
2023,161,0,19803,Ryan Armour,2.22%,3,135,97.78
2023,161,0,40006,Erik van Rooyen,2.22%,2,90,97.78
2023,163,0,30692,Scott Stallings,2.31%,3,130,97.69
2023,164,0,48887,Matt Wallace,2.33%,3,129,97.67
2023,165,0,31577,Tano Goya,2.36%,3,127,97.64
2023,166,0,58967,Trevor Werbylo,2.40%,3,125,97.6
2023,167,0,29535,Brice Garnett,2.42%,3,124,97.58
2023,168,0,36724,Augusto Núñez,2.44%,3,123,97.56
2023,169,0,49453,Trevor Cone,2.48%,3,121,97.52
2023,169,0,36799,Stephan Jaeger,2.48%,5,202,97.52
2023,171,0,53165,Doc Redman,2.65%,4,151,97.35
2023,172,0,27554,Scott Harrington,2.68%,3,112,97.32
2023,173,0,32662,Michael Gligic,2.70%,3,111,97.3
2023,174,0,47983,Chad Ramey,2.75%,5,182,97.25
2023,175,0,52375,Doug Ghim,2.81%,5,178,97.19
2023,176,0,32816,Satoshi Kodaira,2.82%,2,71,97.18
