YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,3RD,2ND
2022,128,0,30944,Jason Kokrak,1,1.0,0.0,0.0
2022,128,0,27936,Martin Laird,1,0.0,1.0,0.0
2022,128,0,28775,Nate Lashley,1,0.0,0.0,0.0
2022,128,0,33413,Ben Martin,1,0.0,0.0,1.0
2022,128,0,40042,Tyler McCumber,1,0.0,0.0,0.0
2022,128,0,31202,William McGirt,1,0.0,0.0,0.0
2022,128,0,25198,Francesco Molinari,1,0.0,0.0,0.0
2022,128,0,30163,Henrik Norlander,1,0.0,0.0,0.0
2022,128,0,24140,Sean O'Hair,1,0.0,0.0,0.0
2022,128,0,33667,Carlos Ortiz,1,0.0,0.0,1.0
2022,128,0,23320,Ryan Palmer,1,0.0,0.0,0.0
2022,128,0,25818,Scott Piercy,1,0.0,0.0,0.0
2022,128,0,53165,Doc Redman,1,0.0,1.0,0.0
2022,128,0,47856,Seth Reeves,1,0.0,0.0,0.0
2022,128,0,23621,Rory Sabbatini,1,0.0,1.0,0.0
2022,128,0,48867,Matti Schmid,1,0.0,0.0,0.0
2022,128,0,31569,Jason Scrivener,1,0.0,0.0,0.0
2022,128,0,51890,Greyson Sigg,1,0.0,0.0,0.0
2022,128,0,29221,Webb Simpson,1,0.0,0.0,0.0
2022,128,0,50095,Austin Smotherman,1,0.0,0.0,0.0
2022,128,0,34264,Hudson Swafford,1,1.0,0.0,0.0
2022,128,0,23325,Vaughn Taylor,1,0.0,0.0,0.0
2022,128,0,10381,Curtis Thompson,1,0.0,0.0,0.0
2022,128,0,57364,Michael Thorbjornsen,1,0.0,0.0,0.0
2022,128,0,32333,Kevin Tway,1,0.0,0.0,1.0
2022,128,0,40006,Erik van Rooyen,1,0.0,0.0,0.0
2022,128,0,27064,Jhonattan Vegas,1,0.0,0.0,0.0
2022,128,0,27095,Nick Watney,1,0.0,0.0,1.0
2022,128,0,25804,Bubba Watson,1,0.0,0.0,0.0
2022,128,0,32139,Danny Willett,1,0.0,0.0,0.0
2022,128,0,54783,Dylan Wu,1,0.0,0.0,0.0
2022,128,0,45242,Kevin Yu,1,0.0,0.0,0.0
2024,1,0,46046,Scottie Scheffler,16,7.0,1.0,2.0
2024,2,0,48081,Xander Schauffele,15,2.0,1.0,3.0
2024,3,0,51634,Sahith Theegala,9,0.0,1.0,2.0
2024,4,0,52955,Ludvig Åberg,8,0.0,0.0,3.0
2024,4,0,47504,Sam Burns,8,0.0,1.0,1.0
2024,4,0,51766,Wyndham Clark,8,1.0,1.0,2.0
2024,4,0,39971,Sungjae Im,8,0.0,1.0,0.0
2024,4,0,50525,Collin Morikawa,8,0.0,1.0,2.0
2024,9,0,34098,Russell Henley,7,0.0,0.0,0.0
2024,9,0,29420,Billy Horschel,7,1.0,0.0,1.0
2024,9,0,33204,Shane Lowry,7,1.0,1.0,0.0
2024,9,0,32839,Hideki Matsuyama,7,2.0,0.0,0.0
2024,9,0,28237,Rory McIlroy,7,2.0,1.0,1.0
2024,9,0,40250,Taylor Pendrith,7,1.0,0.0,0.0
2024,15,0,51977,Max Greyserman,6,0.0,0.0,3.0
2024,15,0,35506,Mackenzie Hughes,6,0.0,1.0,0.0
2024,15,0,52215,Robert MacIntyre,6,2.0,0.0,0.0
2024,15,0,46442,Maverick McNealy,6,1.0,1.0,0.0
2024,15,0,49771,J.T. Poston,6,1.0,0.0,0.0
2024,15,0,46414,Aaron Rai,6,1.0,0.0,1.0
2024,15,0,33448,Justin Thomas,6,0.0,1.0,1.0
2024,15,0,57366,Cameron Young,6,0.0,0.0,1.0
2024,23,0,33948,Byeong Hun An,5,0.0,1.0,1.0
2024,23,0,47591,Eric Cole,5,0.0,0.0,0.0
2024,23,0,29725,Tony Finau,5,0.0,1.0,1.0
2024,23,0,54576,Patrick Fishburn,5,0.0,2.0,0.0
2024,23,0,54591,Ben Griffin,5,0.0,0.0,1.0
2024,23,0,33399,Adam Hadwin,5,0.0,1.0,0.0
2024,23,0,40162,Justin Lower,5,0.0,1.0,1.0
2024,23,0,51997,Andrew Novak,5,0.0,0.0,1.0
2024,23,0,36699,Patrick Rodgers,5,0.0,0.0,0.0
2024,23,0,24502,Adam Scott,5,0.0,0.0,2.0
2024,23,0,58168,Davis Thompson,5,1.0,0.0,2.0
2024,23,0,45242,Kevin Yu,5,1.0,1.0,0.0
2024,35,0,35450,Patrick Cantlay,4,0.0,2.0,0.0
2024,35,0,66743,Luke Clanton,4,0.0,0.0,2.0
2024,35,0,39997,Corey Conners,4,0.0,0.0,0.0
2024,35,0,28089,Jason Day,4,0.0,0.0,0.0
2024,35,0,33653,Thomas Detry,4,0.0,0.0,1.0
2024,35,0,59866,Nick Dunlap,4,2.0,0.0,0.0
2024,35,0,51349,Nico Echavarria,4,1.0,0.0,1.0
2024,35,0,34099,Harris English,4,0.0,0.0,0.0
2024,35,0,30911,Tommy Fleetwood,4,0.0,1.0,0.0
2024,35,0,51696,Rico Hoey,4,0.0,1.0,1.0
2024,35,0,35532,Tom Hoge,4,0.0,1.0,0.0
2024,35,0,36799,Stephan Jaeger,4,1.0,2.0,1.0
2024,35,0,48117,Kurt Kitayama,4,0.0,0.0,0.0
2024,35,0,47420,Jake Knapp,4,1.0,1.0,0.0
2024,35,0,32791,K.H. Lee,4,0.0,0.0,0.0
2024,35,0,36326,David Lipsky,4,0.0,0.0,1.0
2024,35,0,47993,Denny McCarthy,4,0.0,0.0,1.0
2024,35,0,39546,Keith Mitchell,4,0.0,1.0,0.0
2024,35,0,27349,Alex Noren,4,0.0,1.0,0.0
2024,35,0,48153,Matthieu Pavon,4,1.0,1.0,0.0
2024,35,0,51890,Greyson Sigg,4,0.0,0.0,0.0
2024,35,0,39324,J.J. Spaun,4,0.0,1.0,0.0
2024,35,0,50484,Hayden Springer,4,0.0,1.0,0.0
2024,35,0,55893,Sam Stevens,4,0.0,0.0,0.0
2024,35,0,49960,Sepp Straka,4,0.0,0.0,0.0
2024,35,0,40006,Erik van Rooyen,4,0.0,0.0,1.0
2024,61,0,45522,Christiaan Bezuidenhout,3,0.0,0.0,1.0
2024,61,0,56630,Akshay Bhatia,3,1.0,0.0,1.0
2024,61,0,33141,Keegan Bradley,3,1.0,0.0,2.0
2024,61,0,47959,Bryson DeChambeau,3,1.0,0.0,1.0
2024,61,0,57362,Austin Eckroat,3,2.0,0.0,0.0
2024,61,0,40098,Matt Fitzpatrick,3,0.0,0.0,0.0
2024,61,0,29936,Ryan Fox,3,0.0,0.0,0.0
2024,61,0,27644,Brian Harman,3,0.0,0.0,1.0
2024,61,0,60067,Joe Highsmith,3,0.0,0.0,0.0
2024,61,0,12716,Charley Hoffman,3,0.0,0.0,1.0
2024,61,0,39977,Max Homa,3,0.0,1.0,0.0
2024,61,0,35461,Beau Hossler,3,0.0,0.0,1.0
2024,61,0,36801,Mark Hubbard,3,0.0,2.0,0.0
2024,61,0,34587,Chan Kim,3,0.0,0.0,0.0
2024,61,0,37455,Si Woo Kim,3,0.0,0.0,0.0
2024,61,0,30926,Chris Kirk,3,1.0,0.0,0.0
2024,61,0,32757,Patton Kizzire,3,1.0,0.0,0.0
2024,61,0,59143,Mac Meissner,3,0.0,0.0,0.0
2024,61,0,29908,C.T. Pan,3,0.0,1.0,1.0
2024,61,0,47679,Victor Perez,3,0.0,2.0,0.0
2024,61,0,48867,Matti Schmid,3,0.0,1.0,0.0
2024,61,0,34046,Jordan Spieth,3,0.0,1.0,0.0
2024,61,0,25493,Nick Taylor,3,1.0,0.0,0.0
2024,61,0,57364,Michael Thorbjornsen,3,0.0,0.0,1.0
2024,61,0,51894,Vince Whaley,3,0.0,0.0,1.0
2024,61,0,52513,Carson Young,3,0.0,0.0,1.0
2024,61,0,47483,Will Zalatoris,3,0.0,0.0,1.0
2024,88,0,40026,Daniel Berger,2,0.0,0.0,1.0
2024,88,0,40058,Zac Blair,2,0.0,0.0,1.0
2024,88,0,48084,Wesley Bryan,2,0.0,0.0,1.0
2024,88,0,55708,Hayden Buckley,2,0.0,0.0,0.0
2024,88,0,32070,Rafael Campos,2,1.0,0.0,0.0
2024,88,0,59836,Pierceson Coody,2,0.0,0.0,1.0
2024,88,0,45157,Cam Davis,2,1.0,0.0,0.0
2024,88,0,50497,Adrien Dumont de Chassart,2,0.0,1.0,0.0
2024,88,0,52375,Doug Ghim,2,0.0,0.0,1.0
2024,88,0,25900,Lucas Glover,2,0.0,2.0,0.0
2024,88,0,31646,Emiliano Grillo,2,0.0,0.0,0.0
2024,88,0,34563,Chesson Hadley,2,0.0,0.0,0.0
2024,88,0,57975,Harry Hall,2,1.0,0.0,0.0
2024,88,0,54421,Garrick Higgo,2,0.0,0.0,0.0
2024,88,0,54628,Lee Hodges,2,0.0,0.0,0.0
2024,88,0,46717,Viktor Hovland,2,0.0,1.0,1.0
2024,88,0,39975,Michael Kim,2,0.0,0.0,0.0
2024,88,0,55182,Tom Kim,2,0.0,0.0,1.0
2024,88,0,36884,Ben Kohles,2,0.0,0.0,1.0
2024,88,0,58696,Peter Kuest,2,0.0,0.0,0.0
2024,88,0,27936,Martin Laird,2,0.0,0.0,0.0
2024,88,0,37378,Min Woo Lee,2,0.0,0.0,2.0
2024,88,0,34466,Peter Malnati,2,1.0,0.0,0.0
2024,88,0,49947,Taylor Moore,2,0.0,0.0,1.0
2024,88,0,34213,Grayson Murray,2,1.0,0.0,0.0
2024,88,0,36871,Matt NeSmith,2,0.0,0.0,1.0
2024,88,0,57900,Chandler Phillips,2,0.0,1.0,0.0
2024,88,0,34256,Andrew Putnam,2,0.0,0.0,0.0
2024,88,0,22405,Justin Rose,2,0.0,0.0,1.0
2024,88,0,27139,David Skinns,2,0.0,0.0,0.0
2024,88,0,46340,Alex Smalley,2,0.0,0.0,0.0
2024,88,0,40115,Adam Svensson,2,0.0,0.0,0.0
2024,88,0,30927,Brendon Todd,2,0.0,0.0,0.0
2024,88,0,38991,Alejandro Tosti,2,0.0,0.0,1.0
2024,88,0,32333,Kevin Tway,2,0.0,1.0,0.0
2024,88,0,55454,Carl Yuan,2,0.0,0.0,0.0
2024,124,0,60369,Sam Bairstow,1,0.0,0.0,0.0
2024,124,0,37212,Paul Barjon,1,0.0,0.0,0.0
2024,124,0,34374,Erik Barnes,1,0.0,0.0,1.0
2024,124,0,28420,Ryan Brehm,1,0.0,1.0,0.0
2024,124,0,57259,Daniel Brown,1,0.0,0.0,0.0
2024,124,0,32367,Jorge Campillo,1,0.0,0.0,0.0
2024,124,0,34021,Bud Cauley,1,0.0,0.0,0.0
2024,124,0,59442,Parker Coody,1,0.0,0.0,0.0
2024,124,0,46435,Austin Cook,1,0.0,0.0,0.0
2024,124,0,52514,Trace Crowe,1,0.0,0.0,0.0
2024,124,0,34076,Joel Dahmen,1,0.0,0.0,0.0
2024,124,0,51680,Alistair Docherty,1,0.0,0.0,1.0
2024,124,0,32102,Rickie Fowler,1,0.0,0.0,0.0
2024,124,0,29535,Brice Garnett,1,1.0,0.0,0.0
2024,124,0,59095,Chris Gotterup,1,1.0,0.0,0.0
2024,124,0,35310,Lanto Griffin,1,0.0,0.0,0.0
2024,124,0,47988,Nick Hardy,1,0.0,0.0,0.0
2024,124,0,37428,Evan Harmeling,1,0.0,0.0,0.0
2024,124,0,34363,Tyrrell Hatton,1,0.0,0.0,0.0
2024,124,0,51287,Ryo Hisatsune,1,0.0,1.0,0.0
2024,124,0,52453,Nicolai Højgaard,1,0.0,0.0,1.0
2024,124,0,55955,Matthew Jordan,1,0.0,0.0,0.0
2024,124,0,50188,S.H. Kim,1,0.0,0.0,0.0
2024,124,0,23108,Matt Kuchar,1,0.0,1.0,0.0
2024,124,0,37250,Romain Langasque,1,0.0,1.0,0.0
2024,124,0,28775,Nate Lashley,1,0.0,1.0,0.0
2024,124,0,45523,Thriston Lawrence,1,0.0,0.0,0.0
2024,124,0,27129,Luke List,1,0.0,0.0,1.0
2024,124,0,54190,Richard Mansell,1,0.0,0.0,0.0
2024,124,0,33413,Ben Martin,1,0.0,0.0,0.0
2024,124,0,59141,Matt McCarty,1,1.0,0.0,0.0
2024,124,0,46113,Ryan McCormick,1,0.0,0.0,0.0
2024,124,0,32640,Troy Merritt,1,0.0,0.0,0.0
2024,124,0,26596,Ryan Moore,1,0.0,0.0,0.0
2024,124,0,29289,S.Y. Noh,1,0.0,0.0,0.0
2024,124,0,30163,Henrik Norlander,1,0.0,0.0,0.0
2024,124,0,28252,Seamus Power,1,0.0,0.0,0.0
2024,124,0,46970,Jon Rahm,1,0.0,0.0,0.0
2024,124,0,47983,Chad Ramey,1,0.0,0.0,1.0
2024,124,0,26476,Chez Reavie,1,0.0,0.0,0.0
2024,124,0,47995,Davis Riley,1,1.0,0.0,0.0
2024,124,0,37275,Sam Ryder,1,0.0,0.0,0.0
2024,124,0,47347,Adam Schenk,1,0.0,0.0,0.0
2024,124,0,47888,Taiga Semikawa,1,0.0,0.0,0.0
2024,124,0,46441,Robby Shelton,1,0.0,0.0,0.0
2024,124,0,63807,Neal Shipley,1,0.0,0.0,0.0
2024,124,0,39327,Ben Silverman,1,0.0,0.0,0.0
2024,124,0,35891,Cameron Smith,1,0.0,0.0,0.0
2024,124,0,50095,Austin Smotherman,1,0.0,0.0,0.0
2024,124,0,51600,Jimmy Stanger,1,0.0,1.0,0.0
2024,124,0,27214,Kevin Streelman,1,0.0,1.0,0.0
2024,124,0,54218,Yuta Sugiura,1,0.0,0.0,0.0
2024,124,0,48119,Ben Taylor,1,0.0,0.0,0.0
2024,124,0,35617,Martin Trainer,1,0.0,0.0,1.0
2024,124,0,52666,Sami Valimaki,1,0.0,0.0,1.0
2024,124,0,57864,Jackson Van Paris,1,0.0,0.0,0.0
2024,124,0,48640,Johannes Veerman,1,0.0,0.0,0.0
2024,124,0,27064,Jhonattan Vegas,1,1.0,0.0,0.0
2024,124,0,48887,Matt Wallace,1,0.0,0.0,0.0
2024,124,0,31323,Gary Woodland,1,0.0,0.0,0.0
2024,124,0,52374,Brandon Wu,1,0.0,0.0,0.0
2024,124,0,54783,Dylan Wu,1,0.0,0.0,0.0
2024,124,0,54328,Norman Xiong,1,0.0,0.0,0.0
2023,1,0,46046,Scottie Scheffler,17,2.0,5.0,2.0
2023,2,0,39977,Max Homa,13,2.0,1.0,1.0
2023,2,0,28237,Rory McIlroy,13,2.0,2.0,2.0
2023,4,0,48081,Xander Schauffele,11,0.0,1.0,2.0
2023,5,0,35450,Patrick Cantlay,10,0.0,2.0,2.0
2023,5,0,46970,Jon Rahm,10,4.0,1.0,2.0
2023,7,0,30911,Tommy Fleetwood,9,0.0,2.0,1.0
2023,7,0,46717,Viktor Hovland,9,3.0,1.0,1.0
2023,7,0,39971,Sungjae Im,9,0.0,0.0,0.0
2023,7,0,55182,Tom Kim,9,2.0,0.0,1.0
2023,11,0,51766,Wyndham Clark,8,2.0,2.0,0.0
2023,11,0,45157,Cam Davis,8,0.0,1.0,0.0
2023,11,0,28089,Jason Day,8,1.0,0.0,1.0
2023,11,0,32102,Rickie Fowler,8,1.0,0.0,1.0
2023,11,0,31646,Emiliano Grillo,8,1.0,0.0,0.0
2023,11,0,47993,Denny McCarthy,8,0.0,0.0,1.0
2023,11,0,49771,J.T. Poston,8,0.0,1.0,1.0
2023,11,0,51634,Sahith Theegala,8,1.0,0.0,1.0
2023,19,0,47591,Eric Cole,7,0.0,2.0,2.0
2023,19,0,27644,Brian Harman,7,1.0,0.0,3.0
2023,19,0,34363,Tyrrell Hatton,7,0.0,2.0,1.0
2023,19,0,50525,Collin Morikawa,7,1.0,1.0,2.0
2023,19,0,47347,Adam Schenk,7,0.0,0.0,2.0
2023,19,0,34046,Jordan Spieth,7,0.0,1.0,1.0
2023,19,0,30927,Brendon Todd,7,0.0,0.0,2.0
2023,26,0,33141,Keegan Bradley,6,2.0,0.0,1.0
2023,26,0,47504,Sam Burns,6,1.0,0.0,0.0
2023,26,0,40098,Matt Fitzpatrick,6,1.0,0.0,1.0
2023,26,0,33399,Adam Hadwin,6,0.0,0.0,3.0
2023,26,0,36801,Mark Hubbard,6,0.0,0.0,0.0
2023,26,0,23108,Matt Kuchar,6,0.0,1.0,1.0
2023,26,0,34256,Andrew Putnam,6,0.0,0.0,1.0
2023,26,0,25493,Nick Taylor,6,1.0,0.0,2.0
2023,34,0,56630,Akshay Bhatia,5,1.0,0.0,1.0
2023,34,0,39997,Corey Conners,5,1.0,0.0,0.0
2023,34,0,34076,Joel Dahmen,5,0.0,1.0,0.0
2023,34,0,34099,Harris English,5,0.0,1.0,1.0
2023,34,0,29725,Tony Finau,5,2.0,0.0,0.0
2023,34,0,25900,Lucas Glover,5,2.0,0.0,0.0
2023,34,0,34098,Russell Henley,5,1.0,0.0,1.0
2023,34,0,35461,Beau Hossler,5,0.0,1.0,1.0
2023,34,0,37455,Si Woo Kim,5,1.0,0.0,1.0
2023,34,0,34409,David Lingmerth,5,0.0,1.0,0.0
2023,34,0,39546,Keith Mitchell,5,0.0,0.0,0.0
2023,34,0,55789,Taylor Montgomery,5,0.0,1.0,0.0
2023,34,0,36699,Patrick Rodgers,5,0.0,1.0,1.0
2023,34,0,22405,Justin Rose,5,1.0,0.0,0.0
2023,34,0,37275,Sam Ryder,5,0.0,1.0,0.0
2023,34,0,24502,Adam Scott,5,0.0,0.0,0.0
2023,34,0,49960,Sepp Straka,5,1.0,0.0,2.0
2023,34,0,57366,Cameron Young,5,0.0,0.0,1.0
2023,52,0,52955,Ludvig Åberg,4,1.0,0.0,1.0
2023,52,0,33948,Byeong Hun An,4,0.0,1.0,1.0
2023,52,0,55708,Hayden Buckley,4,0.0,0.0,1.0
2023,52,0,57362,Austin Eckroat,4,0.0,0.0,1.0
2023,52,0,35532,Tom Hoge,4,0.0,2.0,0.0
2023,52,0,35506,Mackenzie Hughes,4,1.0,0.0,1.0
2023,52,0,39975,Michael Kim,4,0.0,0.0,0.0
2023,52,0,30926,Chris Kirk,4,1.0,2.0,0.0
2023,52,0,48117,Kurt Kitayama,4,1.0,0.0,1.0
2023,52,0,32791,K.H. Lee,4,0.0,1.0,0.0
2023,52,0,37378,Min Woo Lee,4,0.0,0.0,0.0
2023,52,0,49947,Taylor Moore,4,1.0,0.0,0.0
2023,52,0,36871,Matt NeSmith,4,0.0,0.0,1.0
2023,52,0,27349,Alex Noren,4,0.0,1.0,1.0
2023,52,0,40250,Taylor Pendrith,4,0.0,1.0,0.0
2023,52,0,46340,Alex Smalley,4,0.0,0.0,1.0
2023,52,0,39324,J.J. Spaun,4,0.0,0.0,0.0
2023,52,0,50493,Justin Suh,4,0.0,0.0,0.0
2023,52,0,40115,Adam Svensson,4,1.0,0.0,0.0
2023,52,0,48119,Ben Taylor,4,0.0,1.0,0.0
2023,52,0,33448,Justin Thomas,4,0.0,0.0,0.0
2023,52,0,40006,Erik van Rooyen,4,1.0,0.0,0.0
2023,74,0,22371,Aaron Baddeley,3,0.0,0.0,0.0
2023,74,0,34255,Joseph Bramlett,3,0.0,0.0,0.0
2023,74,0,52372,Cameron Champ,3,0.0,0.0,0.0
2023,74,0,33653,Thomas Detry,3,0.0,0.0,1.0
2023,74,0,45609,Tyler Duncan,3,0.0,3.0,0.0
2023,74,0,54591,Ben Griffin,3,0.0,1.0,1.0
2023,74,0,34563,Chesson Hadley,3,0.0,0.0,0.0
2023,74,0,57975,Harry Hall,3,0.0,1.0,0.0
2023,74,0,54628,Lee Hodges,3,1.0,0.0,0.0
2023,74,0,29420,Billy Horschel,3,0.0,0.0,0.0
2023,74,0,28775,Nate Lashley,3,0.0,1.0,0.0
2023,74,0,40162,Justin Lower,3,0.0,0.0,0.0
2023,74,0,33413,Ben Martin,3,0.0,0.0,0.0
2023,74,0,46442,Maverick McNealy,3,0.0,0.0,0.0
2023,74,0,32640,Troy Merritt,3,0.0,1.0,0.0
2023,74,0,26596,Ryan Moore,3,0.0,0.0,0.0
2023,74,0,51070,Vincent Norrman,3,1.0,0.0,0.0
2023,74,0,23320,Ryan Palmer,3,0.0,0.0,0.0
2023,74,0,29908,C.T. Pan,3,0.0,1.0,0.0
2023,74,0,28252,Seamus Power,3,1.0,1.0,0.0
2023,74,0,46414,Aaron Rai,3,0.0,1.0,0.0
2023,74,0,46441,Robby Shelton,3,0.0,0.0,0.0
2023,74,0,55893,Sam Stevens,3,0.0,1.0,1.0
2023,74,0,52374,Brandon Wu,3,0.0,1.0,1.0
2023,74,0,45242,Kevin Yu,3,0.0,1.0,0.0
2023,99,0,33408,Tyson Alexander,2,0.0,0.0,1.0
2023,99,0,40058,Zac Blair,2,0.0,0.0,1.0
2023,99,0,59018,Ryan Gerard,2,0.0,0.0,0.0
2023,99,0,39954,Cody Gribble,2,0.0,0.0,0.0
2023,99,0,47988,Nick Hardy,2,1.0,0.0,0.0
2023,99,0,51287,Ryo Hisatsune,2,0.0,0.0,0.0
2023,99,0,52453,Nicolai Hojgaard,2,0.0,0.0,1.0
2023,99,0,36799,Stephan Jaeger,2,0.0,0.0,0.0
2023,99,0,50188,S.H. Kim,2,0.0,0.0,1.0
2023,99,0,32757,Patton Kizzire,2,0.0,0.0,0.0
2023,99,0,36689,Brooks Koepka,2,1.0,0.0,1.0
2023,99,0,36326,David Lipsky,2,0.0,0.0,0.0
2023,99,0,34466,Peter Malnati,2,0.0,0.0,0.0
2023,99,0,32839,Hideki Matsuyama,2,0.0,0.0,0.0
2023,99,0,46601,Trey Mullinax,2,0.0,0.0,0.0
2023,99,0,34213,Grayson Murray,2,0.0,0.0,0.0
2023,99,0,51997,Andrew Novak,2,0.0,0.0,0.0
2023,99,0,26476,Chez Reavie,2,0.0,0.0,0.0
2023,99,0,47995,Davis Riley,2,1.0,0.0,0.0
2023,99,0,48867,Matti Schmid,2,0.0,1.0,0.0
2023,99,0,34610,Matthias Schwab,2,0.0,0.0,0.0
2023,99,0,51890,Greyson Sigg,2,0.0,0.0,0.0
2023,99,0,29221,Webb Simpson,2,0.0,0.0,0.0
2023,99,0,35891,Cameron Smith,2,0.0,0.0,0.0
2023,99,0,27214,Kevin Streelman,2,0.0,0.0,1.0
2023,99,0,48699,Callum Tarren,2,0.0,0.0,1.0
2023,99,0,58168,Davis Thompson,2,0.0,0.0,1.0
2023,99,0,27770,Camilo Villegas,2,1.0,0.0,1.0
2023,99,0,48887,Matt Wallace,2,1.0,0.0,0.0
2023,99,0,31323,Gary Woodland,2,0.0,0.0,0.0
2023,99,0,54783,Dylan Wu,2,0.0,0.0,0.0
2023,99,0,52513,Carson Young,2,0.0,1.0,0.0
2023,99,0,55454,Carl Yuan,2,0.0,0.0,0.0
2023,132,0,34374,Erik Barnes,1,0.0,0.0,0.0
2023,132,0,24846,Ricky Barnes,1,0.0,0.0,0.0
2023,132,0,45522,Christiaan Bezuidenhout,1,0.0,0.0,0.0
2023,132,0,57259,Daniel Brown,1,0.0,0.0,0.0
2023,132,0,48084,Wesley Bryan,1,0.0,0.0,0.0
2023,132,0,33974,Dean Burmester,1,0.0,0.0,0.0
2023,132,0,20229,Stewart Cink,1,0.0,0.0,0.0
2023,132,0,49453,Trevor Cone,1,0.0,1.0,0.0
2023,132,0,46435,Austin Cook,1,0.0,0.0,0.0
2023,132,0,39524,Sean Crocker,1,0.0,0.0,0.0
2023,132,0,33459,Jens Dantorp,1,0.0,1.0,0.0
2023,132,0,47959,Bryson DeChambeau,1,0.0,0.0,0.0
2023,132,0,37338,Zecheng Dou,1,0.0,0.0,0.0
2023,132,0,51349,Nico Echavarria,1,1.0,0.0,0.0
2023,132,0,47079,Harrison Endycott,1,0.0,0.0,0.0
2023,132,0,29535,Brice Garnett,1,0.0,0.0,0.0
2023,132,0,56762,Will Gordon,1,0.0,1.0,0.0
2023,132,0,51414,Brent Grant,1,0.0,0.0,0.0
2023,132,0,28340,Julien Guerrier,1,0.0,1.0,0.0
2023,132,0,32448,James Hahn,1,0.0,0.0,0.0
2023,132,0,35901,Paul Haley II,1,0.0,0.0,0.0
2023,132,0,47987,Cole Hammer,1,0.0,0.0,0.0
2023,132,0,20766,Padraig Harrington,1,0.0,0.0,0.0
2023,132,0,39058,Lucas Herbert,1,0.0,0.0,0.0
2023,132,0,54421,Garrick Higgo,1,0.0,1.0,0.0
2023,132,0,33597,Harry Higgs,1,0.0,0.0,0.0
2023,132,0,49120,Kensei Hirata,1,0.0,0.0,0.0
2023,132,0,30852,Ryo Ishikawa,1,0.0,0.0,0.0
2023,132,0,30925,Dustin Johnson,1,0.0,0.0,0.0
2023,132,0,55955,Matthew Jordan,1,0.0,0.0,0.0
2023,132,0,32815,Masahiro Kawamura,1,0.0,0.0,0.0
2023,132,0,45426,Nathan Kimsey,1,0.0,0.0,1.0
2023,132,0,36884,Ben Kohles,1,0.0,0.0,0.0
2023,132,0,58696,Peter Kuest,1,0.0,0.0,0.0
2023,132,0,27936,Martin Laird,1,0.0,0.0,1.0
2023,132,0,34579,Alexander Levy,1,0.0,0.0,0.0
2023,132,0,27129,Luke List,1,1.0,0.0,0.0
2023,132,0,33204,Shane Lowry,1,0.0,0.0,0.0
2023,132,0,52215,Robert MacIntyre,1,0.0,0.0,1.0
2023,132,0,51491,Brandon Matthews,1,0.0,0.0,0.0
2023,132,0,51950,Max McGreevy,1,0.0,0.0,0.0
2023,132,0,1810,Phil Mickelson,1,0.0,0.0,1.0
2023,132,0,30163,Henrik Norlander,1,0.0,0.0,1.0
2023,132,0,24140,Sean O'Hair,1,0.0,0.0,0.0
2023,132,0,47529,Mito Pereira,1,0.0,0.0,0.0
2023,132,0,47983,Chad Ramey,1,0.0,0.0,0.0
2023,132,0,52287,David Ravetto,1,0.0,0.0,0.0
2023,132,0,53165,Doc Redman,1,0.0,0.0,0.0
2023,132,0,34360,Patrick Reed,1,0.0,0.0,0.0
2023,132,0,45847,JC Ritchie,1,0.0,0.0,0.0
2023,132,0,39335,Kevin Roy,1,0.0,0.0,0.0
2023,132,0,34371,Adrien Saddier,1,0.0,1.0,0.0
2023,132,0,56781,Isaiah Salinda,1,0.0,0.0,0.0
2023,132,0,39113,Shubhankar Sharma,1,0.0,0.0,0.0
2023,132,0,50095,Austin Smotherman,1,0.0,0.0,0.0
2023,132,0,46405,Sebastian Soderberg,1,0.0,0.0,0.0
2023,132,0,30692,Scott Stallings,1,0.0,0.0,1.0
2023,132,0,27963,Chris Stroud,1,0.0,0.0,0.0
2023,132,0,38991,Alejandro Tosti,1,0.0,0.0,0.0
2023,132,0,35617,Martin Trainer,1,0.0,0.0,0.0
2023,132,0,55573,John VanDerLaan,1,0.0,0.0,0.0
2023,132,0,51894,Vince Whaley,1,0.0,0.0,0.0
2023,132,0,32139,Danny Willett,1,0.0,0.0,1.0
2023,132,0,49964,Aaron Wise,1,0.0,0.0,0.0
2023,132,0,47483,Will Zalatoris,1,0.0,0.0,0.0
2015,1,0,34046,Jordan Spieth,15,5.0,1.0,4.0
2015,2,0,28089,Jason Day,11,5.0,,1.0
2015,2,0,30925,Dustin Johnson,11,1.0,,2.0
2015,4,0,24024,Zach Johnson,10,1.0,,1.0
2015,4,0,25804,Bubba Watson,10,2.0,2.0,3.0
2015,6,0,32839,Hideki Matsuyama,9,1.0,,2.0
2015,6,0,34431,Robert Streb,9,1.0,,1.0
2015,8,0,25364,Paul Casey,8,2.0,,2.0
2015,8,0,36689,Brooks Koepka,8,1.0,,1.0
2015,8,0,29926,Danny Lee,8,1.0,2.0,1.0
2015,8,0,22405,Justin Rose,8,1.0,1.0,3.0
2015,8,0,27649,Brandt Snedeker,8,1.0,,1.0
2015,8,0,21528,Henrik Stenson,8,4.0,,
2015,14,0,32102,Rickie Fowler,7,2.0,1.0,1.0
2015,14,0,10809,Jim Furyk,7,1.0,,1.0
2015,14,0,12716,Charley Hoffman,7,1.0,1.0,2.0
